"CUADRO Nº 17: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia PURUS (000)",1053,322,140,453,9,121,8
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",9,9,,,,,
"Profes., científicos e intelectuales (002)",161,153,,8,,,
"Técnicos de nivel medio y trab. asimilados (003)",28,26,,2,,,
"Jefes y empleados de oficina (004)",81,81,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",69,13,1,42,1,12,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",303,,,302,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",51,,26,22,1,2,
"Obreros construc.,conf.,papel, fab., instr. (008)",52,,23,28,,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",184,11,84,14,,67,8
"Otra (010)",9,9,,,,,
"Ocupación no especificada (011)",106,20,6,35,6,39,
"Hombres (012)",824,226,119,404,4,66,5
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",5,5,,,,,
"Profes., científicos e intelectuales (014)",103,96,,7,,,
"Técnicos de nivel medio y trab. asimilados (015)",27,25,,2,,,
"Jefes y empleados de oficina (016)",56,56,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",36,11,,20,,5,
"Agricult.trabaj.calif.agrop.y pesqueros (018)",289,,,288,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",48,,25,20,1,2,
"Obreros construc.,conf.,papel, fab., instr. (020)",49,,20,28,,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",120,9,68,5,,33,5
"Otra (022)",9,9,,,,,
"Ocupación no especificada (023)",82,15,6,34,2,25,
"Mujeres (024)",229,96,21,49,5,55,3
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",4,4,,,,,
"Profes., científicos e intelectuales (026)",58,57,,1,,,
"Técnicos de nivel medio y trab. asimilados (027)",1,1,,,,,
"Jefes y empleados de oficina (028)",25,25,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",33,2,1,22,1,7,
"Agricult.trabaj.calif.agrop.y pesqueros (030)",14,,,14,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",3,,1,2,,,
"Obreros construc.,conf.,papel, fab., instr. (032)",3,,3,,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",64,2,16,9,,34,3
"Ocupación no especificada (035)",24,5,,1,4,14,
,,,,,,,
"URBANA (036)",470,214,93,129,1,27,6
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",6,6,,,,,
"Profes., científicos e intelectuales (038)",85,83,,2,,,
"Técnicos de nivel medio y trab. asimilados (039)",21,19,,2,,,
"Jefes y empleados de oficina (040)",78,78,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",65,10,1,41,1,12,
"Agricult.trabaj.calif.agrop.y pesqueros (042)",29,,,29,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (043)",39,,21,16,,2,
"Obreros construc.,conf.,papel, fab., instr. (044)",40,,15,24,,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (045)",94,9,53,14,,12,6
"Otra (046)",9,9,,,,,
"Ocupación no especificada (047)",4,,3,1,,,
"Hombres (048)",332,144,76,94,,15,3
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",4,4,,,,,
"Profes., científicos e intelectuales (050)",47,45,,2,,,
"Técnicos de nivel medio y trab. asimilados (051)",20,18,,2,,,
"Jefes y empleados de oficina (052)",53,53,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",32,8,,19,,5,
"Agricult.trabaj.calif.agrop.y pesqueros (054)",27,,,27,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (055)",37,,21,14,,2,
"Obreros construc.,conf.,papel, fab., instr. (056)",38,,13,24,,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (057)",61,7,39,5,,7,3
"Otra (058)",9,9,,,,,
"Ocupación no especificada (059)",4,,3,1,,,
"Mujeres (060)",138,70,17,35,1,12,3
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",2,2,,,,,
"Profes., científicos e intelectuales (062)",38,38,,,,,
"Técnicos de nivel medio y trab. asimilados (063)",1,1,,,,,
"Jefes y empleados de oficina (064)",25,25,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",33,2,1,22,1,7,
"Agricult.trabaj.calif.agrop.y pesqueros (066)",2,,,2,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (067)",2,,,2,,,
"Obreros construc.,conf.,papel, fab., instr. (068)",2,,2,,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (069)",33,2,14,9,,5,3
,,,,,,,
"RURAL (072)",583,108,47,324,8,94,2
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",3,3,,,,,
"Profes., científicos e intelectuales (074)",76,70,,6,,,
"Técnicos de nivel medio y trab. asimilados (075)",7,7,,,,,
"Jefes y empleados de oficina (076)",3,3,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",4,3,,1,,,
"Agricult.trabaj.calif.agrop.y pesqueros (078)",274,,,273,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (079)",12,,5,6,1,,
"Obreros construc.,conf.,papel, fab., instr. (080)",12,,8,4,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (081)",90,2,31,,,55,2
"Ocupación no especificada (083)",102,20,3,34,6,39,
"Hombres (084)",492,82,43,310,4,51,2
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",1,1,,,,,
"Profes., científicos e intelectuales (086)",56,51,,5,,,
"Técnicos de nivel medio y trab. asimilados (087)",7,7,,,,,
"Jefes y empleados de oficina (088)",3,3,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",4,3,,1,,,
"Agricult.trabaj.calif.agrop.y pesqueros (090)",262,,,261,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (091)",11,,4,6,1,,
"Obreros construc.,conf.,papel, fab., instr. (092)",11,,7,4,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (093)",59,2,29,,,26,2
"Ocupación no especificada (095)",78,15,3,33,2,25,
"Mujeres (096)",91,26,4,14,4,43,
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (097)",2,2,,,,,
"Profes., científicos e intelectuales (098)",20,19,,1,,,
"Agricult.trabaj.calif.agrop.y pesqueros (102)",12,,,12,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (103)",1,,1,,,,
"Obreros construc.,conf.,papel, fab., instr. (104)",1,,1,,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (105)",31,,2,,,29,
"Ocupación no especificada (107)",24,5,,1,4,14,
