"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia HUAMALIES (000)",61670,3537,8718,9955,6574,9208,7750,12059,3869
"Sin nivel (001)",10389,3537,1320,90,146,440,724,2485,1647
"Educación inicial (002)",1726,,1645,24,12,21,24,,
"Primaria (003)",32053,,5753,7670,1957,3649,4024,6963,2037
"Secundaria (004)",14418,,,2171,4301,3974,2074,1780,118
"Superior no univ. incompleto (005)",859,,,,134,438,143,130,14
"Superior no univ. completo (006)",1141,,,,,402,382,327,30
"Superior univ. incompleto (007)",314,,,,24,126,78,82,4
"Superior univ. completo (008)",770,,,,,158,301,292,19
"Hombres (010)",31249,1787,4445,5132,3494,4627,3809,6116,1839
"Sin nivel (011)",3993,1787,679,56,59,169,225,625,393
"Educación inicial (012)",877,,841,15,6,7,8,,
"Primaria (013)",16240,,2925,3942,1003,1570,1810,3683,1307
"Secundaria (014)",8410,,,1119,2355,2310,1275,1262,89
"Superior no univ. incompleto (015)",446,,,,67,218,74,79,8
"Superior no univ. completo (016)",614,,,,,189,201,201,23
"Superior univ. incompleto (017)",196,,,,4,73,55,61,3
"Superior univ. completo (018)",473,,,,,91,161,205,16
"Mujeres (020)",30421,1750,4273,4823,3080,4581,3941,5943,2030
"Sin nivel (021)",6396,1750,641,34,87,271,499,1860,1254
"Educación inicial (022)",849,,804,9,6,14,16,,
"Primaria (023)",15813,,2828,3728,954,2079,2214,3280,730
"Secundaria (024)",6008,,,1052,1946,1664,799,518,29
"Superior no univ. incompleto (025)",413,,,,67,220,69,51,6
"Superior no univ. completo (026)",527,,,,,213,181,126,7
"Superior univ. incompleto (027)",118,,,,20,53,23,21,1
"Superior univ. completo (028)",297,,,,,67,140,87,3
,,,,,,,,,
"URBANA (030)",17444,893,2341,2812,1910,2485,2357,3509,1137
"Sin nivel (031)",2247,893,269,10,15,71,117,485,387
"Educación inicial (032)",499,,462,17,2,7,11,,
"Primaria (033)",7757,,1610,1947,335,615,917,1698,635
"Secundaria (034)",4804,,,838,1448,1070,681,705,62
"Superior no univ. incompleto (035)",529,,,,93,258,82,86,10
