"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SAN MIGUEL (000)",14924,13096,764,229,835
"Hombres (001)",12483,11135,602,174,572
"Mujeres (002)",2441,1961,162,55,263
"De 06 a 14 años (003)",182,174,6,1,1
"Hombres (004)",130,126,3,1,
"Mujeres (005)",52,48,3,,1
"De 15 a 29 años (006)",4281,3844,213,65,159
"Hombres (007)",3585,3242,183,52,108
"Mujeres (008)",696,602,30,13,51
"De 30 a 44 años (009)",5051,4202,312,102,435
"Hombres (010)",4141,3541,236,76,288
"Mujeres (011)",910,661,76,26,147
"De 45 a 64 años (012)",3787,3308,198,58,223
"Hombres (013)",3157,2806,147,44,160
"Mujeres (014)",630,502,51,14,63
"De 65 y más años (015)",1623,1568,35,3,17
"Hombres (016)",1470,1420,33,1,16
"Mujeres (017)",153,148,2,2,1
,,,,,
"URBANA (018)",3099,2168,277,135,519
"Hombres (019)",2104,1502,188,86,328
"Mujeres (020)",995,666,89,49,191
"De 06 a 14 años (021)",31,29,2,,
"Hombres (022)",19,18,1,,
"Mujeres (023)",12,11,1,,
"De 15 a 29 años (024)",745,561,61,31,92
"Hombres (025)",499,370,51,20,58
"Mujeres (026)",246,191,10,11,34
"De 30 a 44 años (027)",1221,753,132,62,274
"Hombres (028)",796,506,86,39,165
"Mujeres (029)",425,247,46,23,109
"De 45 a 64 años (030)",849,591,73,40,145
"Hombres (031)",589,423,42,27,97
"Mujeres (032)",260,168,31,13,48
"De 65 y más años (033)",253,234,9,2,8
"Hombres (034)",201,185,8,,8
"Mujeres (035)",52,49,1,2,
,,,,,
"RURAL (036)",11825,10928,487,94,316
"Hombres (037)",10379,9633,414,88,244
"Mujeres (038)",1446,1295,73,6,72
"De 06 a 14 años (039)",151,145,4,1,1
"Hombres (040)",111,108,2,1,
"Mujeres (041)",40,37,2,,1
"De 15 a 29 años (042)",3536,3283,152,34,67
"Hombres (043)",3086,2872,132,32,50
"Mujeres (044)",450,411,20,2,17
"De 30 a 44 años (045)",3830,3449,180,40,161
"Hombres (046)",3345,3035,150,37,123
"Mujeres (047)",485,414,30,3,38
"De 45 a 64 años (048)",2938,2717,125,18,78
"Hombres (049)",2568,2383,105,17,63
"Mujeres (050)",370,334,20,1,15
"De 65 y más años (051)",1370,1334,26,1,9
"Hombres (052)",1269,1235,25,1,8
"Mujeres (053)",101,99,1,,1
