"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia ABANCAY (000)",31055,89,4713,1480,1476,4866,4917,1521,2621,8474,215,683
"Agric., ganadería, caza y silvicultura (001)",9438,,30,31,2,,4908,1,3,4463,,
"Pesca (002)",11,,1,,,,9,,,1,,
"Explotación de minas y canteras (003)",134,,10,6,5,3,,67,8,35,,
"Industrias manufactureras (004)",1170,,22,53,18,14,,956,89,18,,
"Suministro de electricidad, gas y agua (005)",86,,14,27,16,,,16,3,10,,
"Construcción (006)",2156,1,79,93,5,,,84,1320,574,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",5176,3,41,139,17,3710,,369,24,873,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",405,1,8,22,1,78,,275,10,10,,
"Comercio al por mayor (009)",225,,4,15,3,175,,,12,16,,
"Comercio al por menor (010)",4546,2,29,102,13,3457,,94,2,847,,
"Hoteles y restaurantes (011)",1527,,3,93,34,807,,,,590,,
"Trans., almac. y comunicaciones (012)",1639,,21,72,87,8,,5,1094,352,,
"Intermediación financiera (013)",161,,29,20,106,,,,1,5,,
"Activid.inmobil., empres. y alquileres (014)",948,2,435,223,90,108,,2,10,78,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",1985,37,376,184,763,56,,13,54,287,215,
"Enseñanza (016)",3264,39,3014,38,106,,,1,2,64,,
"Servicios sociales y de salud (017)",1141,,535,321,83,45,,4,9,144,,
"Otras activ. serv.comun.soc y personales (018)",692,5,85,159,80,115,,3,3,242,,
"Hogares privados con servicio doméstico (019)",739,,,1,,,,,,738,,
"Organiz. y organos extraterritoriales (020)",1,,,,1,,,,,,,
"Actividad economica no especificada (021)",787,2,18,20,63,,,,1,,,683
"Hombres (022)",19782,69,2482,974,728,1503,4454,1274,2553,5193,208,344
"Agric., ganadería, caza y silvicultura (023)",8037,,30,26,,,4447,1,3,3530,,
"Pesca (024)",9,,1,,,,7,,,1,,
"Explotación de minas y canteras (025)",124,,9,4,3,,,66,8,34,,
"Industrias manufactureras (026)",887,,15,39,10,12,,736,63,12,,
"Suministro de electricidad, gas y agua (027)",74,,12,26,8,,,15,3,10,,
"Construcción (028)",2091,1,71,83,4,,,81,1301,550,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1932,2,27,96,9,1137,,350,24,287,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",360,,7,21,,53,,263,10,6,,
"Comercio al por mayor (031)",137,,2,8,3,97,,,12,15,,
"Comercio al por menor (032)",1435,2,18,67,6,987,,87,2,266,,
"Hoteles y restaurantes (033)",328,,2,46,15,142,,,,123,,
"Trans., almac. y comunicaciones (034)",1435,,13,41,40,6,,5,1074,256,,
"Intermediación financiera (035)",87,,15,14,53,,,,1,4,,
"Activid.inmobil., empres. y alquileres (036)",696,2,313,177,36,108,,2,9,49,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",1324,30,267,124,421,49,,11,52,162,208,
"Enseñanza (038)",1561,29,1438,21,35,,,1,2,35,,
"Servicios sociales y de salud (039)",422,,198,139,36,15,,3,9,22,,
"Otras activ. serv.comun.soc y personales (040)",328,4,58,125,34,34,,3,3,67,,
"Hogares privados con servicio doméstico (041)",51,,,,,,,,,51,,
"Actividad economica no especificada (043)",396,1,13,13,24,,,,1,,,344
"Mujeres (044)",11273,20,2231,506,748,3363,463,247,68,3281,7,339
"Agric., ganadería, caza y silvicultura (045)",1401,,,5,2,,461,,,933,,
"Pesca (046)",2,,,,,,2,,,,,
"Explotación de minas y canteras (047)",10,,1,2,2,3,,1,,1,,
"Industrias manufactureras (048)",283,,7,14,8,2,,220,26,6,,
"Suministro de electricidad, gas y agua (049)",12,,2,1,8,,,1,,,,
"Construcción (050)",65,,8,10,1,,,3,19,24,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",3244,1,14,43,8,2573,,19,,586,,
"Venta, mant.y rep. veh.autom.y motoc. (052)",45,1,1,1,1,25,,12,,4,,
"Comercio al por mayor (053)",88,,2,7,,78,,,,1,,
"Comercio al por menor (054)",3111,,11,35,7,2470,,7,,581,,
"Hoteles y restaurantes (055)",1199,,1,47,19,665,,,,467,,
"Trans., almac. y comunicaciones (056)",204,,8,31,47,2,,,20,96,,
"Intermediación financiera (057)",74,,14,6,53,,,,,1,,
"Activid.inmobil., empres. y alquileres (058)",252,,122,46,54,,,,1,29,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",661,7,109,60,342,7,,2,2,125,7,
"Enseñanza (060)",1703,10,1576,17,71,,,,,29,,
"Servicios sociales y de salud (061)",719,,337,182,47,30,,1,,122,,
"Otras activ. serv.comun.soc y personales (062)",364,1,27,34,46,81,,,,175,,
"Hogares privados con servicio doméstico (063)",688,,,1,,,,,,687,,
"Organiz. y organos extraterritoriales (064)",1,,,,1,,,,,,,
"Actividad economica no especificada (065)",391,1,5,7,39,,,,,,,339
,,,,,,,,,,,,
"URBANA (066)",21735,82,4508,1409,1427,4463,1043,1382,2261,4594,210,356
"Agric., ganadería, caza y silvicultura (067)",2120,,27,23,2,,1041,1,2,1024,,
"Pesca (068)",4,,1,,,,2,,,1,,
"Explotación de minas y canteras (069)",109,,9,6,5,2,,52,8,27,,
"Industrias manufactureras (070)",1053,,21,53,17,14,,847,84,17,,
"Suministro de electricidad, gas y agua (071)",83,,14,27,16,,,15,2,9,,
"Construcción (072)",1773,1,76,89,4,,,80,1087,436,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",4785,3,38,134,17,3418,,359,24,792,,
"Venta, mant.y rep. veh.autom.y motoc. (074)",392,1,8,19,1,75,,268,10,10,,
"Comercio al por mayor (075)",220,,3,15,3,172,,,12,15,,
"Comercio al por menor (076)",4173,2,27,100,13,3171,,91,2,767,,
"Hoteles y restaurantes (077)",1407,,3,91,32,719,,,,562,,
"Trans., almac. y comunicaciones (078)",1499,,20,72,86,6,,5,976,334,,
"Intermediación financiera (079)",161,,29,20,106,,,,1,5,,
"Activid.inmobil., empres. y alquileres (080)",908,2,428,212,89,100,,2,10,65,,
"Admin.pub. y defensa; p. segur.soc.afil (081)",1899,33,371,178,735,52,,13,52,255,210,
"Enseñanza (082)",3100,36,2866,37,101,,,1,2,57,,
"Servicios sociales y de salud (083)",1055,,506,296,79,40,,4,9,121,,
"Otras activ. serv.comun.soc y personales (084)",657,5,84,153,79,112,,3,3,218,,
"Hogares privados con servicio doméstico (085)",671,,,,,,,,,671,,
"Organiz. y organos extraterritoriales (086)",1,,,,1,,,,,,,
"Actividad economica no especificada (087)",450,2,15,18,58,,,,1,,,356
"Hombres (088)",12300,62,2379,927,698,1418,874,1149,2200,2203,203,187
"Agric., ganadería, caza y silvicultura (089)",1718,,27,19,,,873,1,2,796,,
"Pesca (090)",3,,1,,,,1,,,1,,
"Explotación de minas y canteras (091)",100,,8,4,3,,,51,8,26,,
"Industrias manufactureras (092)",787,,14,39,10,12,,641,60,11,,
"Suministro de electricidad, gas y agua (093)",71,,12,26,8,,,14,2,9,,
"Construcción (094)",1712,1,69,79,3,,,77,1069,414,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",1835,2,24,91,9,1080,,340,24,265,,
"Venta, mant.y rep. veh.autom.y motoc. (096)",347,,7,18,,50,,256,10,6,,
"Comercio al por mayor (097)",134,,1,8,3,96,,,12,14,,
"Comercio al por menor (098)",1354,2,16,65,6,934,,84,2,245,,
"Hoteles y restaurantes (099)",309,,2,45,14,131,,,,117,,
"Trans., almac. y comunicaciones (100)",1302,,12,41,39,5,,5,960,240,,
"Intermediación financiera (101)",87,,15,14,53,,,,1,4,,
"Activid.inmobil., empres. y alquileres (102)",668,2,308,171,36,100,,2,9,40,,
"Admin.pub. y defensa; p. segur.soc.afil (103)",1254,26,264,120,401,45,,11,50,134,203,
"Enseñanza (104)",1480,26,1366,20,33,,,1,2,32,,
"Servicios sociales y de salud (105)",393,,188,128,34,11,,3,9,20,,
"Otras activ. serv.comun.soc y personales (106)",312,4,58,119,33,34,,3,3,58,,
"Hogares privados con servicio doméstico (107)",36,,,,,,,,,36,,
"Actividad economica no especificada (109)",233,1,11,11,22,,,,1,,,187
"Mujeres (110)",9435,20,2129,482,729,3045,169,233,61,2391,7,169
"Agric., ganadería, caza y silvicultura (111)",402,,,4,2,,168,,,228,,
"Pesca (112)",1,,,,,,1,,,,,
"Explotación de minas y canteras (113)",9,,1,2,2,2,,1,,1,,
"Industrias manufactureras (114)",266,,7,14,7,2,,206,24,6,,
"Suministro de electricidad, gas y agua (115)",12,,2,1,8,,,1,,,,
"Construcción (116)",61,,7,10,1,,,3,18,22,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",2950,1,14,43,8,2338,,19,,527,,
"Venta, mant.y rep. veh.autom.y motoc. (118)",45,1,1,1,1,25,,12,,4,,
"Comercio al por mayor (119)",86,,2,7,,76,,,,1,,
"Comercio al por menor (120)",2819,,11,35,7,2237,,7,,522,,
"Hoteles y restaurantes (121)",1098,,1,46,18,588,,,,445,,
"Trans., almac. y comunicaciones (122)",197,,8,31,47,1,,,16,94,,
