"CUADRO Nº 15: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia HUACAYBAMBA (000)",4660,549,532,2615,22,622,83,237
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",22,22,,,,,,
"Profes., científicos e intelectuales (002)",395,378,,16,,1,,
"Técnicos de nivel medio y trab. asimilados (003)",43,31,,11,1,,,
"Jefes y empleados de oficina (004)",69,69,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",244,9,,199,1,35,,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",2207,2,,2187,18,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",78,,19,57,1,1,,
"Obreros construc.,conf.,papel, fab., instr. (008)",75,10,24,40,,1,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",1180,12,479,39,,567,83,
"Otra (010)",16,16,,,,,,
"Ocupaciñn no especificada (011)",94,,10,66,1,17,,
"Desocupado (012)",237,,,,,,,237
"Hombres (013)",3857,359,503,2314,19,458,17,187
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",19,19,,,,,,
"Profes., científicos e intelectuales (015)",239,227,,11,,1,,
"Técnicos de nivel medio y trab. asimilados (016)",30,21,,9,,,,
"Jefes y empleados de oficina (017)",53,53,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",108,5,,96,,7,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",2094,1,,2075,18,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",73,,19,53,,1,,
"Obreros construc.,conf.,papel, fab., instr. (021)",75,10,24,40,,1,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (022)",941,7,454,18,,445,17,
"Otra (023)",16,16,,,,,,
"Ocupaciñn no especificada (024)",22,,6,12,1,3,,
"Desocupado (025)",187,,,,,,,187
"Mujeres (026)",803,190,29,301,3,164,66,50
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",3,3,,,,,,
"Profes., científicos e intelectuales (028)",156,151,,5,,,,
"Técnicos de nivel medio y trab. asimilados (029)",13,10,,2,1,,,
"Jefes y empleados de oficina (030)",16,16,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",136,4,,103,1,28,,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",113,1,,112,,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",5,,,4,1,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (035)",239,5,25,21,,122,66,
"Ocupaciñn no especificada (037)",72,,4,54,,14,,
"Desocupado (038)",50,,,,,,,50
,,,,,,,,
"URBANA (039)",1122,359,121,428,10,109,42,53
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",19,19,,,,,,
"Profes., científicos e intelectuales (041)",242,235,,6,,1,,
"Técnicos de nivel medio y trab. asimilados (042)",28,20,,7,1,,,
"Jefes y empleados de oficina (043)",47,47,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",149,7,,115,1,26,,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",230,,,223,7,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",37,,7,29,1,,,
"Obreros construc.,conf.,papel, fab., instr. (047)",31,6,12,13,,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (048)",236,10,95,20,,69,42,
"Otra (049)",15,15,,,,,,
"Ocupaciñn no especificada (050)",35,,7,15,,13,,
"Desocupado (051)",53,,,,,,,53
"Hombres (052)",812,240,115,331,7,65,8,46
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",16,16,,,,,,
"Profes., científicos e intelectuales (054)",148,143,,4,,1,,
"Técnicos de nivel medio y trab. asimilados (055)",19,14,,5,,,,
"Jefes y empleados de oficina (056)",35,35,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",62,5,,53,,4,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",218,,,211,7,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",36,,7,29,,,,
"Obreros construc.,conf.,papel, fab., instr. (060)",31,6,12,13,,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (061)",173,6,91,10,,58,8,
"Otra (062)",15,15,,,,,,
"Ocupaciñn no especificada (063)",13,,5,6,,2,,
"Desocupado (064)",46,,,,,,,46
"Mujeres (065)",310,119,6,97,3,44,34,7
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",3,3,,,,,,
"Profes., científicos e intelectuales (067)",94,92,,2,,,,
"Técnicos de nivel medio y trab. asimilados (068)",9,6,,2,1,,,
"Jefes y empleados de oficina (069)",12,12,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",87,2,,62,1,22,,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",12,,,12,,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",1,,,,1,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (074)",63,4,4,10,,11,34,
"Ocupaciñn no especificada (076)",22,,2,9,,11,,
"Desocupado (077)",7,,,,,,,7
,,,,,,,,
"RURAL (078)",3538,190,411,2187,12,513,41,184
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",3,3,,,,,,
"Profes., científicos e intelectuales (080)",153,143,,10,,,,
"Técnicos de nivel medio y trab. asimilados (081)",15,11,,4,,,,
"Jefes y empleados de oficina (082)",22,22,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",95,2,,84,,9,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",1977,2,,1964,11,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",41,,12,28,,1,,
"Obreros construc.,conf.,papel, fab., instr. (086)",44,4,12,27,,1,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (087)",944,2,384,19,,498,41,
"Otra (088)",1,1,,,,,,
"Ocupaciñn no especificada (089)",59,,3,51,1,4,,
"Desocupado (090)",184,,,,,,,184
"Hombres (091)",3045,119,388,1983,12,393,9,141
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",3,3,,,,,,
"Profes., científicos e intelectuales (093)",91,84,,7,,,,
"Técnicos de nivel medio y trab. asimilados (094)",11,7,,4,,,,
"Jefes y empleados de oficina (095)",18,18,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (096)",46,,,43,,3,,
"Agricult.trabaj.calif.agrop.y pesqueros (097)",1876,1,,1864,11,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (098)",37,,12,24,,1,,
"Obreros construc.,conf.,papel, fab., instr. (099)",44,4,12,27,,1,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (100)",768,1,363,8,,387,9,
"Otra (101)",1,1,,,,,,
"Ocupaciñn no especificada (102)",9,,1,6,1,1,,
"Desocupado (103)",141,,,,,,,141
