"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia BELLAVISTA (000)",34901,5971,6885,7596,6394,3921,4134
"Conviviente (001)",13036,361,2777,4400,3200,1415,883
"Separado(a) (002)",742,10,96,151,179,144,162
"Casado(a) (003)",8999,45,537,1771,2416,1993,2237
"Viudo(a) (004)",850,1,5,22,56,108,658
"Divorciado(a) (005)",77,,5,7,16,22,27
"Soltero(a) (006)",11197,5554,3465,1245,527,239,167
"Hombres (008)",19021,3214,3636,4028,3650,2271,2222
"Conviviente (009)",6508,68,953,2227,1892,842,526
"Separado(a) (010)",340,3,15,59,87,83,93
"Casado(a) (011)",4545,15,135,775,1222,1109,1289
"Viudo(a) (012)",255,,4,6,17,40,188
"Divorciado(a) (013)",52,,3,2,14,14,19
"Soltero(a) (014)",7321,3128,2526,959,418,183,107
"Mujeres (016)",15880,2757,3249,3568,2744,1650,1912
"Conviviente (017)",6528,293,1824,2173,1308,573,357
"Separado(a) (018)",402,7,81,92,92,61,69
"Casado(a) (019)",4454,30,402,996,1194,884,948
"Viudo(a) (020)",595,1,1,16,39,68,470
"Divorciado(a) (021)",25,,2,5,2,8,8
"Soltero(a) (022)",3876,2426,939,286,109,56,60
,,,,,,,
"URBANA (024)",20033,3421,3730,4147,3803,2414,2518
"Conviviente (025)",7066,123,1293,2357,1887,858,548
"Separado(a) (026)",464,7,63,109,110,88,87
"Casado(a) (027)",5109,6,197,874,1437,1249,1346
"Viudo(a) (028)",518,1,1,16,36,50,414
"Divorciado(a) (029)",44,,3,4,5,14,18
"Soltero(a) (030)",6832,3284,2173,787,328,155,105
"Hombres (032)",10659,1842,1933,2108,2103,1367,1306
"Conviviente (033)",3492,31,404,1141,1089,512,315
"Separado(a) (034)",172,1,7,35,44,43,42
"Casado(a) (035)",2571,2,40,361,713,683,772
"Viudo(a) (036)",137,,1,4,12,15,105
"Divorciado(a) (037)",29,,1,,4,7,17
"Soltero(a) (038)",4258,1808,1480,567,241,107,55
"Mujeres (040)",9374,1579,1797,2039,1700,1047,1212
"Conviviente (041)",3574,92,889,1216,798,346,233
"Separado(a) (042)",292,6,56,74,66,45,45
"Casado(a) (043)",2538,4,157,513,724,566,574
"Viudo(a) (044)",381,1,,12,24,35,309
"Divorciado(a) (045)",15,,2,4,1,7,1
"Soltero(a) (046)",2574,1476,693,220,87,48,50
,,,,,,,
"RURAL (048)",14868,2550,3155,3449,2591,1507,1616
"Conviviente (049)",5970,238,1484,2043,1313,557,335
"Separado(a) (050)",278,3,33,42,69,56,75
"Casado(a) (051)",3890,39,340,897,979,744,891
"Viudo(a) (052)",332,,4,6,20,58,244
"Divorciado(a) (053)",33,,2,3,11,8,9
"Soltero(a) (054)",4365,2270,1292,458,199,84,62
"Hombres (056)",8362,1372,1703,1920,1547,904,916
"Conviviente (057)",3016,37,549,1086,803,330,211
"Separado(a) (058)",168,2,8,24,43,40,51
"Casado(a) (059)",1974,13,95,414,509,426,517
"Viudo(a) (060)",118,,3,2,5,25,83
"Divorciado(a) (061)",23,,2,2,10,7,2
"Soltero(a) (062)",3063,1320,1046,392,177,76,52
"Mujeres (064)",6506,1178,1452,1529,1044,603,700
"Conviviente (065)",2954,201,935,957,510,227,124
"Separado(a) (066)",110,1,25,18,26,16,24
"Casado(a) (067)",1916,26,245,483,470,318,374
"Viudo(a) (068)",214,,1,4,15,33,161
"Divorciado(a) (069)",10,,,1,1,1,7
"Soltero(a) (070)",1302,950,246,66,22,8,10
