"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia MARAÑON (000)",6103,26556,847,3943,5256,22613
"Casa independiente (001)",5333,23827,840,3915,4493,19912
"Vivienda en casa de vecindad (004)",5,23,5,23,,
"Choza o cabaña (005)",756,2673,,,756,2673
"Vivienda improvisada (006)",1,4,1,4,,
"Local no dest.para hab. humana (007)",4,15,1,1,3,14
"Otro tipo (008)",4,14,,,4,14
