"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia UCAYALI (000)",18885,18307,5499,1943,1969,1704,2754,1951,1229,1258,578,60788
"De 12 a 14 años (001)",2609,2574,2547,22,5,,,,,,35,32
"De 15 a 19 años (002)",3310,3182,2199,679,247,42,15,,,,128,1359
"De 20 a 24 años (003)",2354,2174,415,587,620,381,159,12,,,180,3716
"De 25 a 29 años (004)",2118,2024,148,298,518,448,510,91,11,,94,5544
"De 30 a 34 años (005)",1790,1748,49,140,241,329,616,294,67,12,42,6911
"De 35 a 39 años (006)",1601,1582,27,58,126,203,510,413,173,72,19,8070
"De 40 a 44 años (007)",1336,1325,28,59,70,127,345,333,228,135,11,7690
"De 45 a 49 años (008)",1043,1035,19,27,56,70,214,278,208,163,8,6750
"De 50 y más años (009)",2724,2663,67,73,86,104,385,530,542,876,61,20716
"Conviviente (010)",9123,8863,394,1283,1466,1246,1926,1229,704,615,260,37374
"De 12 a 14 años (011)",78,45,29,14,2,,,,,,33,18
"De 15 a 19 años (012)",1020,906,174,476,209,35,12,,,,114,1047
"De 20 a 24 años (013)",1545,1497,75,414,520,335,142,11,,,48,3127
"De 25 a 29 años (014)",1529,1505,41,194,391,366,434,71,8,,24,4458
"De 30 a 34 años (015)",1274,1264,14,82,167,235,478,224,54,10,10,5239
"De 35 a 39 años (016)",1092,1087,13,32,71,133,368,297,128,45,5,5675
"De 40 a 44 años (017)",845,844,14,25,38,62,221,232,158,94,1,5142
"De 45 a 49 años (018)",610,606,8,15,35,41,116,162,130,99,4,4015
"De 50 y más años (019)",1130,1109,26,31,33,39,155,232,226,367,21,8653
"Separado(a) (020)",498,468,14,96,83,69,84,60,36,26,30,1828
"De 12 a 14 años (021)",2,2,1,1,,,,,,,,1
"De 15 a 19 años (022)",56,51,4,31,14,2,,,,,5,65
