"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia GRAN CHIMU (000)",7368,29400,1636,6480,5732,22920
"Casa independiente (001)",7266,29027,1588,6268,5678,22759
"Departamento en edificio (002)",22,66,22,66,,
"Vivienda en quinta (003)",6,44,6,44,,
"Vivienda en casa de vecindad (004)",17,97,17,97,,
"Choza o cabaña (005)",53,160,,,53,160
"Vivienda improvisada (006)",2,3,2,3,,
"Local no dest.para hab. humana (007)",2,3,1,2,1,1
