"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PALLASCA (000)",7928,5809,726,674,719
"Hombres (001)",6296,4612,598,542,544
"Mujeres (002)",1632,1197,128,132,175
"De 06 a 14 años (003)",104,97,5,1,1
"Hombres (004)",77,70,5,1,1
"Mujeres (005)",27,27,,,
"De 15 a 29 años (006)",2488,1722,281,221,264
"Hombres (007)",1973,1352,240,188,193
"Mujeres (008)",515,370,41,33,71
"De 30 a 44 años (009)",2688,1803,299,299,287
"Hombres (010)",2075,1397,238,232,208
"Mujeres (011)",613,406,61,67,79
"De 45 a 64 años (012)",1951,1532,126,147,146
"Hombres (013)",1603,1263,101,115,124
"Mujeres (014)",348,269,25,32,22
"De 65 y más años (015)",697,655,15,6,21
"Hombres (016)",568,530,14,6,18
"Mujeres (017)",129,125,1,,3
,,,,,
"URBANA (018)",4358,2882,458,481,537
"Hombres (019)",3247,2112,376,367,392
"Mujeres (020)",1111,770,82,114,145
"De 06 a 14 años (021)",46,41,4,,1
"Hombres (022)",32,27,4,,1
"Mujeres (023)",14,14,,,
"De 15 a 29 años (024)",1302,806,175,147,174
"Hombres (025)",969,581,150,119,119
"Mujeres (026)",333,225,25,28,55
"De 30 a 44 años (027)",1546,923,186,218,219
"Hombres (028)",1105,643,149,162,151
"Mujeres (029)",441,280,37,56,68
"De 45 a 64 años (030)",1096,782,82,110,122
"Hombres (031)",859,613,63,80,103
"Mujeres (032)",237,169,19,30,19
"De 65 y más años (033)",368,330,11,6,21
"Hombres (034)",282,248,10,6,18
"Mujeres (035)",86,82,1,,3
,,,,,
"RURAL (036)",3570,2927,268,193,182
"Hombres (037)",3049,2500,222,175,152
"Mujeres (038)",521,427,46,18,30
"De 06 a 14 años (039)",58,56,1,1,
"Hombres (040)",45,43,1,1,
"Mujeres (041)",13,13,,,
"De 15 a 29 años (042)",1186,916,106,74,90
"Hombres (043)",1004,771,90,69,74
"Mujeres (044)",182,145,16,5,16
"De 30 a 44 años (045)",1142,880,113,81,68
"Hombres (046)",970,754,89,70,57
"Mujeres (047)",172,126,24,11,11
"De 45 a 64 años (048)",855,750,44,37,24
"Hombres (049)",744,650,38,35,21
"Mujeres (050)",111,100,6,2,3
"De 65 y más años (051)",329,325,4,,
"Hombres (052)",286,282,4,,
"Mujeres (053)",43,43,,,
