"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Otra (070)",5,,,,1,,2,2,
"Ocupación no especificada (071)",126,18,,38,49,4,6,6,5
,,,,,,,,,
"RURAL (072)",29292,4389,14,14202,9141,422,592,163,369
"Miembros p.ejec. y leg.direct., adm.pub.y emp (073)",43,1,,18,14,,5,,5
"Profes., científicos e intelectuales (074)",563,,,,65,40,254,22,182
"Técnicos de nivel medio ytrab.asimilados (075)",88,2,,10,21,13,30,4,8
"Jefes y empleados de oficina (076)",150,,,2,59,22,30,14,23
"Trab.de serv.pers.y vend.del comerc y mcdo. (077)",774,35,,267,416,16,23,7,10
"Agricult.trabaj. calif.agrop. y pesquros (078)",12762,1981,4,6839,3589,136,106,43,64
"Obreros y oper.minas, cant., ind.manuf.y otros (079)",1019,36,,312,602,26,22,10,11
"Obreros. construc., conf., papel, fab., instr (080)",637,10,,222,345,22,19,13,6
"Trabaj.no calif.serv. peon, vend., amb.,y afines (081)",12782,2244,9,6338,3865,133,93,45,55
"Otra (082)",5,,,,3,,1,,1
"Ocupación no especificada (083)",469,80,1,194,162,14,9,5,4
"Hombres (084)",17236,1247,5,7973,6702,355,500,137,317
"Miembros p.ejec. y leg.direct., adm.pub.y emp (085)",32,1,,12,13,,4,,2
"Profes., científicos e intelectuales (086)",475,,,,40,32,225,19,159
"Técnicos de nivel medio ytrab.asimilados (087)",70,1,,9,17,10,23,4,6
"Jefes y empleados de oficina (088)",126,,,1,47,19,27,12,20
"Trab.de serv.pers.y vend.del comerc y mcdo. (089)",371,8,,113,213,10,16,4,7
"Agricult.trabaj. calif.agrop. y pesquros (090)",9196,786,2,5066,3028,122,91,40,61
"Obreros y oper.minas, cant., ind.manuf.y otros (091)",827,15,,227,522,26,19,8,10
"Obreros. construc., conf., papel, fab., instr (092)",629,9,,220,340,22,19,13,6
"Trabaj.no calif.serv. peon, vend., amb.,y afines (093)",5298,410,3,2251,2386,103,70,33,42
"Otra (094)",5,,,,3,,1,,1
"Ocupación no especificada (095)",207,17,,74,93,11,5,4,3
"Mujeres (096)",12056,3142,9,6229,2439,67,92,26,52
"Miembros p.ejec. y leg.direct., adm.pub.y emp (097)",11,,,6,1,,1,,3
"Profes., científicos e intelectuales (098)",88,,,,25,8,29,3,23
"Técnicos de nivel medio ytrab.asimilados (099)",18,1,,1,4,3,7,,2
"Jefes y empleados de oficina (100)",24,,,1,12,3,3,2,3
"Trab.de serv.pers.y vend.del comerc y mcdo. (101)",403,27,,154,203,6,7,3,3
"Agricult.trabaj. calif.agrop. y pesquros (102)",3566,1195,2,1773,561,14,15,3,3
"Obreros y oper.minas, cant., ind.manuf.y otros (103)",192,21,,85,80,,3,2,1
"Obreros. construc., conf., papel, fab., instr (104)",8,1,,2,5,,,,
"Trabaj.no calif.serv. peon, vend., amb.,y afines (105)",7484,1834,6,4087,1479,30,23,12,13
"Ocupación no especificada (107)",262,63,1,120,69,3,4,1,1
