"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ALTO AMAZONAS (000)",33372,26639,3132,1771,1830
"Sin nivel (001)",2094,1955,118,15,6
"Educación inicial (002)",38,33,4,,1
"Primaria (003)",15421,13825,1103,291,202
"Secundaria (004)",10411,8358,986,518,549
"Superior no univ. incompleta (005)",1164,737,180,110,137
"Superior no univ. completa (006)",1749,746,311,334,358
"Superior univ. incompleta (007)",737,409,112,92,124
"Superior univ. completa (008)",1758,576,318,411,453
"De 06 a 14 años (010)",1100,980,98,19,3
"Sin nivel (011)",74,73,1,,
"Educación inicial (012)",15,15,,,
"Primaria (013)",822,728,78,15,1
"Secundaria (014)",189,164,19,4,2
"De 15 a 29 años (020)",11545,9411,1112,515,507
"Sin nivel (021)",372,344,23,3,2
"Educación inicial (022)",12,9,3,,
"Primaria (023)",4556,4079,334,81,62
"Secundaria (024)",4842,3989,456,223,174
"Superior no univ. incompleta (025)",567,391,90,36,50
"Superior no univ. completa (026)",511,249,91,73,98
"Superior univ. incompleta (027)",309,198,40,32,39
"Superior univ. completa (028)",376,152,75,67,82
"De 30 a 44 años (030)",11420,8615,1173,792,840
"Sin nivel (031)",648,602,41,4,1
"Educación inicial (032)",11,9,1,,1
"Primaria (033)",4815,4258,373,107,77
"Secundaria (034)",3512,2792,317,189,214
"Superior no univ. incompleta (035)",414,243,63,53,55
"Superior no univ. completa (036)",851,338,162,166,185
"Superior univ. incompleta (037)",280,129,52,45,54
"Superior univ. completa (038)",889,244,164,228,253
"De 45 a 64 años (040)",7855,6294,677,421,463
"Sin nivel (041)",746,689,47,7,3
"Primaria (043)",4184,3789,264,73,58
"Secundaria (044)",1767,1330,186,100,151
"Superior no univ. incompleta (045)",172,95,26,19,32
"Superior no univ. completa (046)",378,153,57,95,73
"Superior univ. incompleta (047)",138,74,19,15,30
"Superior univ. completa (048)",470,164,78,112,116
"De 65 y más años (050)",1452,1339,72,24,17
"Sin nivel (051)",254,247,6,1,
"Primaria (053)",1044,971,54,15,4
"Secundaria (054)",101,83,8,2,8
"Superior no univ. incompleta (055)",11,8,1,2,
"Superior no univ. completa (056)",9,6,1,,2
"Superior univ. incompleta (057)",10,8,1,,1
"Superior univ. completa (058)",23,16,1,4,2
