"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia RODRIGUEZ DE MENDOZA (000)",9588,8502,443,158,485
"Hombres (001)",7827,7096,323,116,292
"Mujeres (002)",1761,1406,120,42,193
"De 06 a 14 años (003)",285,263,19,3,
"Hombres (004)",214,197,14,3,
"Mujeres (005)",71,66,5,,
"De 15 a 29 años (006)",3155,2867,170,31,87
"Hombres (007)",2604,2402,130,23,49
"Mujeres (008)",551,465,40,8,38
"De 30 a 44 años (009)",3186,2696,158,75,257
"Hombres (010)",2502,2201,107,50,144
"Mujeres (011)",684,495,51,25,113
"De 45 a 64 años (012)",2269,1996,89,47,137
"Hombres (013)",1877,1678,66,38,95
"Mujeres (014)",392,318,23,9,42
"De 65 y más años (015)",693,680,7,2,4
"Hombres (016)",630,618,6,2,4
"Mujeres (017)",63,62,1,,
,,,,,
"URBANA (018)",3239,2520,191,121,407
"Hombres (019)",2283,1830,129,85,239
"Mujeres (020)",956,690,62,36,168
"De 06 a 14 años (021)",54,49,3,2,
"Hombres (022)",38,33,3,2,
"Mujeres (023)",16,16,,,
"De 15 a 29 años (024)",841,699,52,22,68
"Hombres (025)",592,502,37,17,36
"Mujeres (026)",249,197,15,5,32
"De 30 a 44 años (027)",1247,891,84,60,212
"Hombres (028)",828,623,52,36,117
"Mujeres (029)",419,268,32,24,95
"De 45 a 64 años (030)",870,660,49,36,125
"Hombres (031)",635,487,35,29,84
"Mujeres (032)",235,173,14,7,41
"De 65 y más años (033)",227,221,3,1,2
"Hombres (034)",190,185,2,1,2
"Mujeres (035)",37,36,1,,
,,,,,
"RURAL (036)",6349,5982,252,37,78
"Hombres (037)",5544,5266,194,31,53
"Mujeres (038)",805,716,58,6,25
"De 06 a 14 años (039)",231,214,16,1,
"Hombres (040)",176,164,11,1,
"Mujeres (041)",55,50,5,,
"De 15 a 29 años (042)",2314,2168,118,9,19
"Hombres (043)",2012,1900,93,6,13
"Mujeres (044)",302,268,25,3,6
"De 30 a 44 años (045)",1939,1805,74,15,45
"Hombres (046)",1674,1578,55,14,27
"Mujeres (047)",265,227,19,1,18
"De 45 a 64 años (048)",1399,1336,40,11,12
"Hombres (049)",1242,1191,31,9,11
"Mujeres (050)",157,145,9,2,1
"De 65 y más años (051)",466,459,4,1,2
"Hombres (052)",440,433,4,1,2
"Mujeres (053)",26,26,,,
