"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia SAN MARCOS (000)",47838,2206,5426,6385,5222,7690,6681,10297,3931
"Sabe leer y escribir (001)",36667,,3746,6261,4975,6847,5612,7265,1961
"No sabe leer y escribir (002)",11171,2206,1680,124,247,843,1069,3032,1970
"Hombres (004)",23995,1148,2811,3248,2699,3800,3276,5137,1876
"Sabe leer y escribir (005)",19956,,1956,3188,2601,3535,3001,4340,1335
"No sabe leer y escribir (006)",4039,1148,855,60,98,265,275,797,541
"Mujeres (008)",23843,1058,2615,3137,2523,3890,3405,5160,2055
"Sabe leer y escribir (009)",16711,,1790,3073,2374,3312,2611,2925,626
"No sabe leer y escribir (010)",7132,1058,825,64,149,578,794,2235,1429
,,,,,,,,,
"URBANA (012)",11017,410,964,1199,1188,1857,1804,2649,946
"Sabe leer y escribir (013)",9520,,731,1187,1170,1792,1709,2304,627
"No sabe leer y escribir (014)",1497,410,233,12,18,65,95,345,319
"Hombres (016)",5568,214,521,633,602,921,896,1331,450
"Sabe leer y escribir (017)",5016,,404,626,594,901,872,1252,367
"No sabe leer y escribir (018)",552,214,117,7,8,20,24,79,83
"Mujeres (020)",5449,196,443,566,586,936,908,1318,496
"Sabe leer y escribir (021)",4504,,327,561,576,891,837,1052,260
"No sabe leer y escribir (022)",945,196,116,5,10,45,71,266,236
,,,,,,,,,
"RURAL (024)",36821,1796,4462,5186,4034,5833,4877,7648,2985
"Sabe leer y escribir (025)",27147,,3015,5074,3805,5055,3903,4961,1334
"No sabe leer y escribir (026)",9674,1796,1447,112,229,778,974,2687,1651
"Hombres (028)",18427,934,2290,2615,2097,2879,2380,3806,1426
"Sabe leer y escribir (029)",14940,,1552,2562,2007,2634,2129,3088,968
"No sabe leer y escribir (030)",3487,934,738,53,90,245,251,718,458
"Mujeres (032)",18394,862,2172,2571,1937,2954,2497,3842,1559
"Sabe leer y escribir (033)",12207,,1463,2512,1798,2421,1774,1873,366
"No sabe leer y escribir (034)",6187,862,709,59,139,533,723,1969,1193
