"CUADRO Nº 11: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia VICTOR FAJARDO (000)",7409,91,245,605,982,1376,2193,1917
"De 12 a 14 años (001)",8,,,,,,,8
"De 15 a 19 años (002)",147,,,,,,99,48
"De 20 a 24 años (003)",573,,,,,,362,211
"De 25 a 29 años (004)",704,,,,,35,458,211
"De 30 a 34 años (005)",716,,,,,112,453,151
"De 35 a 39 años (006)",708,,,,4,204,381,119
"De 40 a 44 años (007)",662,,,,23,254,255,130
"De 45 a 49 años (008)",582,,,,73,268,144,97
"De 50 y más años (009)",3309,91,245,605,882,503,41,942
"Conviviente (010)",1224,2,5,9,30,121,726,331
"De 12 a 14 años (011)",5,,,,,,,5
"De 15 a 19 años (012)",83,,,,,,57,26
"De 20 a 24 años (013)",298,,,,,,208,90
"De 25 a 29 años (014)",277,,,,,15,182,80
"De 30 a 34 años (015)",195,,,,,19,136,40
"De 35 a 39 años (016)",117,,,,,21,72,24
"De 40 a 44 años (017)",90,,,,2,22,42,24
"De 45 a 49 años (018)",63,,,,5,20,27,11
"De 50 y más años (019)",96,2,5,9,23,24,2,31
"Separado(a) (020)",282,1,7,16,32,66,88,72
"De 15 a 19 años (022)",8,,,,,,7,1
"De 20 a 24 años (023)",34,,,,,,24,10
"De 25 a 29 años (024)",31,,,,,3,17,11
"De 30 a 34 años (025)",44,,,,,12,19,13
"De 35 a 39 años (026)",33,,,,,14,14,5
"De 40 a 44 años (027)",20,,,,1,11,2,6
"De 45 a 49 años (028)",19,,,,4,10,4,1
"De 50 y más años (029)",93,1,7,16,27,16,1,25
"Casado(a) (030)",3976,16,83,301,618,989,1155,814
"De 12 a 14 años (031)",2,,,,,,,2
"De 15 a 19 años (032)",19,,,,,,11,8
"De 20 a 24 años (033)",111,,,,,,76,35
"De 25 a 29 años (034)",286,,,,,10,211,65
"De 30 a 34 años (035)",409,,,,,69,271,69
"De 35 a 39 años (036)",467,,,,3,140,264,60
"De 40 a 44 años (037)",457,,,,14,184,191,68
"De 45 a 49 años (038)",413,,,,44,206,101,62
"De 50 y más años (039)",1812,16,83,301,557,380,30,445
"Viudo(a) (040)",1332,68,143,260,265,131,42,423
"De 20 a 24 años (043)",2,,,,,,2,
"De 25 a 29 años (044)",6,,,,,1,2,3
"De 30 a 34 años (045)",9,,,,,1,5,3
"De 35 a 39 años (046)",17,,,,,6,7,4
"De 40 a 44 años (047)",50,,,,2,20,12,16
"De 45 a 49 años (048)",62,,,,12,26,10,14
"De 50 y más años (049)",1186,68,143,260,251,77,4,383
"Divorciado(a) (050)",35,1,2,2,5,7,5,13
"De 20 a 24 años (053)",1,,,,,,,1
