"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia TAMBOPATA (000)",19105,74893,15845,62582,3260,12311
"Casa independiente (001)",15094,62348,12781,53425,2313,8923
"Departamento en edificio (002)",160,502,160,502,,
"Vivienda en quinta (003)",832,2443,832,2443,,
"Vivienda en casa de vecindad (004)",1833,5368,1833,5368,,
"Choza o cabaña (005)",923,3329,,,923,3329
"Vivienda improvisada (006)",168,649,168,649,,
"Local no dest.para hab. humana (007)",67,179,61,165,6,14
"Otro tipo (008)",28,75,10,30,18,45
