"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia SECHURA (000)",14059,61873,13190,58051,869,3822
"Casa independiente (001)",13157,58775,12593,56216,564,2559
"Departamento en edificio (002)",9,22,9,22,,
"Vivienda en quinta (003)",4,10,4,10,,
"Vivienda en casa de vecindad (004)",2,8,2,8,,
"Choza o cabaña (005)",304,1262,,,304,1262
"Vivienda improvisada (006)",571,1768,571,1768,,
"Local no dest.para hab. humana (007)",10,26,9,25,1,1
"Otro tipo (008)",2,2,2,2,,
