"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PACASMAYO (000)",27303,25505,89,5923,6211,4867,4956,2252,920,287,1798,79897
"De 12 a 14 años (001)",33,16,1,13,2,,,,,,17,17
"De 15 a 19 años (002)",654,558,6,492,47,10,3,,,,96,628
"De 20 a 24 años (003)",2472,1986,9,1400,476,86,13,2,,,486,2679
"De 25 a 29 años (004)",3277,2849,8,1312,1038,385,101,5,,,428,4999
"De 30 a 34 años (005)",3337,3118,8,862,1223,687,305,30,3,,219,6874
"De 35 a 39 años (006)",3331,3186,10,540,1071,888,567,97,10,3,145,8509
"De 40 a 44 años (007)",2980,2864,12,359,789,812,708,154,28,2,116,8654
"De 45 a 49 años (008)",2622,2542,5,281,555,655,714,245,74,13,80,8778
"De 50 y más años (009)",8597,8386,30,664,1010,1344,2545,1719,805,269,211,38759
"Conviviente (010)",10088,9864,34,2848,2705,1772,1633,609,212,51,224,26895
"De 12 a 14 años (011)",19,4,,4,,,,,,,15,4
"De 15 a 19 años (012)",483,401,3,351,39,6,2,,,,82,455
"De 20 a 24 años (013)",1409,1348,7,912,354,63,10,2,,,61,1865
"De 25 a 29 años (014)",1835,1807,4,779,696,252,73,3,,,28,3251
"De 30 a 34 años (015)",1642,1631,3,359,649,408,190,20,2,,11,3830
"De 35 a 39 años (016)",1388,1384,3,164,432,393,321,64,4,3,4,4057
"De 40 a 44 años (017)",1044,1035,5,108,231,279,300,90,21,1,9,3453
"De 45 a 49 años (018)",807,801,2,64,153,170,256,121,30,5,6,3080
"De 50 y más años (019)",1461,1453,7,107,151,201,481,309,155,42,8,6900
"Separado(a) (020)",2097,2066,6,705,466,331,343,154,52,9,31,5647
"De 12 a 14 años (021)",3,2,,2,,,,,,,1,2
