"CUADRO Nº 18: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia MARISCAL CACERES (000)",20003,2976,3196,10071,748,2203,809
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",43,42,,,1,,
"Profes., científicos e intelectuales (002)",1268,1126,,130,6,5,1
"Técnicos de nivel medio y trab. asimilados (003)",535,293,,199,32,11,
"Jefes y empleados de oficina (004)",565,556,,3,,6,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2041,382,34,1323,60,240,2
"Agricult.trabaj. calif.agrop. y pesqueros (006)",6979,5,3,6375,596,,
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",968,,345,579,28,16,
"Obreros construc.,conf., papel, fab., instr. (008)",1225,124,314,761,14,12,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (009)",5738,221,2411,464,1,1835,806
"Otra (010)",134,134,,,,,
"Ocupación no especificada (011)",507,93,89,237,10,78,
"Hombres (012)",14716,1688,2775,8218,662,1337,36
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",28,27,,,1,,
"Profes., científicos e intelectuales (014)",663,564,,88,6,4,1
"Técnicos de nivel medio y trab. asimilados (015)",374,197,,148,19,10,
"Jefes y empleados de oficina (016)",277,273,,2,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",915,214,8,590,31,71,1
"Agricult.trabaj. calif.agrop. y pesqueros (018)",6477,5,3,5906,563,,
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",834,,321,473,24,16,
"Obreros construc.,conf., papel, fab., instr. (020)",1209,124,307,752,14,12,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (021)",3602,117,2077,170,,1204,34
"Otra (022)",130,130,,,,,
"Ocupación no especificada (023)",207,37,59,89,4,18,
"Mujeres (024)",5287,1288,421,1853,86,866,773
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",15,15,,,,,
"Profes., científicos e intelectuales (026)",605,562,,42,,1,
"Técnicos de nivel medio y trab. asimilados (027)",161,96,,51,13,1,
"Jefes y empleados de oficina (028)",288,283,,1,,4,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1126,168,26,733,29,169,1
"Agricult.trabaj. calif.agrop. y pesqueros (030)",502,,,469,33,,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",134,,24,106,4,,
"Obreros construc.,conf., papel, fab., instr. (032)",16,,7,9,,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (033)",2136,104,334,294,1,631,772
"Otra (034)",4,4,,,,,
"Ocupación no especificada (035)",300,56,30,148,6,60,
,,,,,,,
"URBANA (036)",12634,2813,1653,6239,321,971,637
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",42,41,,,1,,
"Profes., científicos e intelectuales (038)",1164,1024,,128,6,5,1
"Técnicos de nivel medio y trab. asimilados (039)",512,281,,189,32,10,
"Jefes y empleados de oficina (040)",546,539,,3,,4,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",1818,371,33,1148,56,208,2
"Agricult.trabaj. calif.agrop. y pesqueros (042)",3139,2,1,2955,181,,
"Obreros y oper.minas, cant., ind.manuf.y otros (043)",918,,329,550,26,13,
"Obreros construc.,conf., papel, fab., instr. (044)",1150,122,294,711,11,12,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (045)",2879,216,925,428,1,675,634
"Otra (046)",134,134,,,,,
"Ocupación no especificada (047)",332,83,71,127,7,44,
"Hombres (048)",8607,1591,1405,4791,263,527,30
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",27,26,,,1,,
"Profes., científicos e intelectuales (050)",603,504,,88,6,4,1
"Técnicos de nivel medio y trab. asimilados (051)",356,189,,139,19,9,
"Jefes y empleados de oficina (052)",265,262,,2,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",815,209,8,504,31,62,1
"Agricult.trabaj. calif.agrop. y pesqueros (054)",2878,2,1,2706,169,,
"Obreros y oper.minas, cant., ind.manuf.y otros (055)",795,,305,454,23,13,
"Obreros construc.,conf., papel, fab., instr. (056)",1137,122,287,705,11,12,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (057)",1477,115,759,155,,420,28
"Otra (058)",130,130,,,,,
"Ocupación no especificada (059)",124,32,45,38,3,6,
"Mujeres (060)",4027,1222,248,1448,58,444,607
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",15,15,,,,,
"Profes., científicos e intelectuales (062)",561,520,,40,,1,
"Técnicos de nivel medio y trab. asimilados (063)",156,92,,50,13,1,
"Jefes y empleados de oficina (064)",281,277,,1,,3,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",1003,162,25,644,25,146,1
"Agricult.trabaj. calif.agrop. y pesqueros (066)",261,,,249,12,,
"Obreros y oper.minas, cant., ind.manuf.y otros (067)",123,,24,96,3,,
"Obreros construc.,conf., papel, fab., instr. (068)",13,,7,6,,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (069)",1402,101,166,273,1,255,606
"Otra (070)",4,4,,,,,
"Ocupación no especificada (071)",208,51,26,89,4,38,
,,,,,,,
"RURAL (072)",7369,163,1543,3832,427,1232,172
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",1,1,,,,,
"Profes., científicos e intelectuales (074)",104,102,,2,,,
"Técnicos de nivel medio y trab. asimilados (075)",23,12,,10,,1,
"Jefes y empleados de oficina (076)",19,17,,,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",223,11,1,175,4,32,
"Agricult.trabaj. calif.agrop. y pesqueros (078)",3840,3,2,3420,415,,
"Obreros y oper.minas, cant., ind.manuf.y otros (079)",50,,16,29,2,3,
"Obreros construc.,conf., papel, fab., instr. (080)",75,2,20,50,3,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (081)",2859,5,1486,36,,1160,172
"Ocupación no especificada (083)",175,10,18,110,3,34,
"Hombres (084)",6109,97,1370,3427,399,810,6
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",1,1,,,,,
"Profes., científicos e intelectuales (086)",60,60,,,,,
"Técnicos de nivel medio y trab. asimilados (087)",18,8,,9,,1,
"Jefes y empleados de oficina (088)",12,11,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",100,5,,86,,9,
"Agricult.trabaj. calif.agrop. y pesqueros (090)",3599,3,2,3200,394,,
"Obreros y oper.minas, cant., ind.manuf.y otros (091)",39,,16,19,1,3,
"Obreros construc.,conf., papel, fab., instr. (092)",72,2,20,47,3,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (093)",2125,2,1318,15,,784,6
"Ocupación no especificada (095)",83,5,14,51,1,12,
"Mujeres (096)",1260,66,173,405,28,422,166
"Profes., científicos e intelectuales (098)",44,42,,2,,,
"Técnicos de nivel medio y trab. asimilados (099)",5,4,,1,,,
"Jefes y empleados de oficina (100)",7,6,,,,1,
