"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CAJABAMBA (000)",19058,18225,70,3416,3203,2785,4129,2790,1391,441,833,70832
"De 12 a 14 años (001)",30,9,2,5,2,,,,,,21,9
"De 15 a 19 años (002)",656,569,4,499,60,5,1,,,,87,638
"De 20 a 24 años (003)",2070,1826,6,1004,586,177,51,2,,,244,2933
"De 25 a 29 años (004)",2303,2128,5,658,737,458,252,18,,,175,4689
"De 30 a 34 años (005)",2146,2068,7,369,491,505,549,131,14,2,78,6240
"De 35 a 39 años (006)",2185,2128,3,201,394,471,674,294,84,7,57,8011
"De 40 a 44 años (007)",1889,1845,8,134,268,322,593,348,130,42,44,8043
"De 45 a 49 años (008)",1610,1586,9,124,168,221,432,374,199,59,24,7748
"De 50 y más años (009)",6169,6066,26,422,497,626,1577,1623,964,331,103,32521
"Sin nivel (010)",5817,5666,17,501,589,698,1508,1360,753,240,151,28219
"De 12 a 14 años (011)",1,1,,,1,,,,,,,2
"De 15 a 19 años (012)",62,55,,47,4,3,1,,,,7,68
"De 20 a 24 años (013)",220,203,4,74,66,43,14,2,,,17,407
"De 25 a 29 años (014)",332,308,1,62,98,75,69,3,,,24,797
"De 30 a 34 años (015)",350,338,1,35,56,78,118,46,3,1,12,1239
"De 35 a 39 años (016)",451,438,,27,42,83,163,89,32,2,13,1942
"De 40 a 44 años (017)",413,403,,27,34,52,139,88,41,22,10,2022
"De 45 a 49 años (018)",425,415,1,24,26,36,112,114,76,26,10,2337
"De 50 y más años (019)",3563,3505,10,205,262,328,892,1018,601,189,58,19405
"Educacion Inicial (020)",28,25,,2,9,3,6,4,1,,3,87
"De 15 a 19 años (022)",1,1,,,1,,,,,,,2
