"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia DANIEL ALCIDES CARRION (000)",18308,46545,41312,,693,88.8,1.5
"De 12 a 14 años (001)",1698,14,13,,,92.9,
"De 15 a 19 años (002)",2708,256,253,64,98.8,25,
"De 20 a 24 años (003)",2270,1311,1271,174,96.9,13.3,
"De 25 a 29 años (004)",1935,2573,2462,175,95.7,6.8,
"De 30 a 34 años (005)",1563,3581,3404,127,95.1,3.5,
"De 35 a 39 años (006)",1574,5106,4784,95,93.7,1.9,
"De 40 a 44 años (007)",1249,5165,4753,46,92,0.9,
"De 45 a 49 años (008)",1161,5368,4911,11,91.5,0.2,
"De 50 y más años (009)",4150,23171,19461,1,84,,
"Sin nivel (010)",2902,15277,12719,33,83.3,0.2,
"De 12 a 14 años (011)",10,1,1,,100,,
"De 15 a 19 años (012)",23,13,13,3,100,23.1,
"De 20 a 24 años (013)",36,43,42,1,97.7,2.3,
"De 25 a 29 años (014)",50,100,89,1,89,1,
"De 30 a 34 años (015)",87,269,253,10,94.1,3.7,
"De 35 a 39 años (016)",150,575,536,9,93.2,1.6,
"De 40 a 44 años (017)",182,878,776,6,88.4,0.7,
"De 45 a 49 años (018)",235,1189,1089,3,91.6,0.3,
"De 50 y más años (019)",2129,12209,9920,,81.3,,
"Educacion Inicial (020)",51,79,70,8,88.6,10.1,
"De 12 a 14 años (021)",2,,,,,,
"De 15 a 19 años (022)",12,4,4,1,100,25,
"De 20 a 24 años (023)",7,4,4,2,100,50,
"De 25 a 29 años (024)",9,15,14,1,93.3,6.7,
"De 30 a 34 años (025)",9,13,11,2,84.6,15.4,
"De 35 a 39 años (026)",12,43,37,2,86,4.7,
"Primaria (030)",4665,18296,16295,174,89.1,1,
"De 12 a 14 años (031)",466,6,6,,100,,
"De 15 a 19 años (032)",179,67,67,9,100,13.4,
"De 20 a 24 años (033)",219,236,226,32,95.8,13.6,
"De 25 a 29 años (034)",302,621,586,33,94.4,5.3,
"De 30 a 34 años (035)",383,1120,1061,37,94.7,3.3,
"De 35 a 39 años (036)",556,2202,2042,37,92.7,1.7,
"De 40 a 44 años (037)",538,2557,2342,21,91.6,0.8,
"De 45 a 49 años (038)",516,2637,2369,4,89.8,0.2,
"De 50 y más años (039)",1506,8850,7596,1,85.8,,
