"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CARABAYA (000)",72425,29123,43302
"Casa independiente (001)",61844,28368,33476
"Vivienda en quinta (003)",15,15,
"Vivienda en casa de vecindad (004)",716,716,
"Choza o cabaña (005)",9763,,9763
"Vivienda improvisada (006)",9,9,
"Local no dest.para hab. humana (007)",16,15,1
"Otro tipo (008)",62,,62
