"CUADRO Nº 23: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia PASCO (000)",49019,12508,14080,17120,664,3926,721
"Agric., ganadería, caza y silvicultura (001)",11901,42,1564,7283,191,2821,
"Pesca (002)",16,1,3,9,1,2,
"Explotación de minas y canteras (003)",7910,1608,6144,126,23,9,
"Industrias manufactureras (004)",1773,80,718,853,51,71,
"Suministro de electricidad, gas y agua (005)",77,26,48,3,,,
"Construcción (006)",3631,236,2707,594,51,43,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",6082,856,478,4042,135,571,
"Venta, mant.y rep. veh.autom.y motoc. (008)",825,76,413,297,21,18,
"Comercio al por mayor (009)",237,76,8,109,14,30,
"Comercio al por menor (010)",5020,704,57,3636,100,523,
"Hoteles y restaurantes (011)",1800,562,163,925,48,102,
"Trans., almac. y comunicaciones (012)",3226,798,628,1669,59,72,
"Intermediación financiera (013)",75,72,2,,1,,
"Activid.inmobil., empres. y alquileres (014)",2333,1659,354,261,47,12,
"Admin.pub. y defensa; p. segur.soc.afil (015)",1623,1197,426,,,,
"Enseñanza (016)",3624,3516,1,92,3,12,
"Servicios sociales y de salud (017)",953,839,10,95,8,1,
"Otras activ. serv.comun.soc y personales (018)",1118,410,62,582,18,46,
"Hogares privados con servicio doméstico (019)",721,,,,,,721
"Organiz. y organos extraterritoriales (020)",1,1,,,,,
"Actividad economica no especificada (021)",2155,605,772,586,28,164,
"Hombres (022)",35763,7501,13141,12205,522,2272,122
"Agric., ganadería, caza y silvicultura (023)",9735,31,1261,6399,171,1873,
"Pesca (024)",12,,3,6,1,2,
"Explotación de minas y canteras (025)",7671,1454,6069,120,21,7,
"Industrias manufactureras (026)",1433,60,647,639,43,44,
"Suministro de electricidad, gas y agua (027)",72,21,48,3,,,
"Construcción (028)",3498,211,2612,583,49,43,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",2996,425,467,1888,77,139,
"Venta, mant.y rep. veh.autom.y motoc. (030)",787,67,406,282,18,14,
"Comercio al por mayor (031)",126,46,7,59,10,4,
"Comercio al por menor (032)",2083,312,54,1547,49,121,
"Hoteles y restaurantes (033)",629,237,111,222,22,37,
"Trans., almac. y comunicaciones (034)",2975,652,605,1602,55,61,
"Intermediación financiera (035)",38,37,1,,,,
"Activid.inmobil., empres. y alquileres (036)",1749,1188,322,196,39,4,
"Admin.pub. y defensa; p. segur.soc.afil (037)",1040,719,321,,,,
"Enseñanza (038)",1709,1653,1,47,3,5,
"Servicios sociales y de salud (039)",340,264,9,60,7,,
"Otras activ. serv.comun.soc y personales (040)",472,230,36,176,14,16,
"Hogares privados con servicio doméstico (041)",122,,,,,,122
"Organiz. y organos extraterritoriales (042)",1,1,,,,,
"Actividad economica no especificada (043)",1271,318,628,264,20,41,
"Mujeres (044)",13256,5007,939,4915,142,1654,599
"Agric., ganadería, caza y silvicultura (045)",2166,11,303,884,20,948,
"Pesca (046)",4,1,,3,,,
"Explotación de minas y canteras (047)",239,154,75,6,2,2,
"Industrias manufactureras (048)",340,20,71,214,8,27,
"Suministro de electricidad, gas y agua (049)",5,5,,,,,
"Construcción (050)",133,25,95,11,2,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",3086,431,11,2154,58,432,
"Venta, mant.y rep. veh.autom.y motoc. (052)",38,9,7,15,3,4,
"Comercio al por mayor (053)",111,30,1,50,4,26,
"Comercio al por menor (054)",2937,392,3,2089,51,402,
"Hoteles y restaurantes (055)",1171,325,52,703,26,65,
"Trans., almac. y comunicaciones (056)",251,146,23,67,4,11,
"Intermediación financiera (057)",37,35,1,,1,,
"Activid.inmobil., empres. y alquileres (058)",584,471,32,65,8,8,
"Admin.pub. y defensa; p. segur.soc.afil (059)",583,478,105,,,,
"Enseñanza (060)",1915,1863,,45,,7,
"Servicios sociales y de salud (061)",613,575,1,35,1,1,
"Otras activ. serv.comun.soc y personales (062)",646,180,26,406,4,30,
"Hogares privados con servicio doméstico (063)",599,,,,,,599
"Actividad economica no especificada (065)",884,287,144,322,8,123,
,,,,,,,
"URBANA (066)",37525,11476,11014,11975,509,1907,644
"Agric., ganadería, caza y silvicultura (067)",4487,38,633,2847,61,908,
"Pesca (068)",10,1,2,5,,2,
"Explotación de minas y canteras (069)",5902,1074,4692,108,19,9,
"Industrias manufactureras (070)",1679,73,680,809,49,68,
"Suministro de electricidad, gas y agua (071)",67,24,40,3,,,
"Construcción (072)",3356,229,2475,560,50,42,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",5816,833,453,3856,129,545,
"Venta, mant.y rep. veh.autom.y motoc. (074)",782,73,393,280,20,16,
"Comercio al por mayor (075)",228,76,8,101,13,30,
"Comercio al por menor (076)",4806,684,52,3475,96,499,
"Hoteles y restaurantes (077)",1634,509,110,876,46,93,
"Trans., almac. y comunicaciones (078)",2870,747,532,1478,52,61,
"Intermediación financiera (079)",73,70,2,,1,,
"Activid.inmobil., empres. y alquileres (080)",2225,1585,330,252,47,11,
"Admin.pub. y defensa; p. segur.soc.afil (081)",1526,1164,362,,,,
"Enseñanza (082)",3480,3378,,87,3,12,
"Servicios sociales y de salud (083)",903,795,10,89,8,1,
"Otras activ. serv.comun.soc y personales (084)",1070,397,51,560,18,44,
"Hogares privados con servicio doméstico (085)",644,,,,,,644
"Organiz. y organos extraterritoriales (086)",1,1,,,,,
"Actividad economica no especificada (087)",1782,558,642,445,26,111,
"Hombres (088)",26318,6708,10361,7832,384,926,107
"Agric., ganadería, caza y silvicultura (089)",3630,28,512,2472,54,564,
"Pesca (090)",7,,2,3,,2,
"Explotación de minas y canteras (091)",5725,963,4635,103,17,7,
"Industrias manufactureras (092)",1368,54,620,612,41,41,
"Suministro de electricidad, gas y agua (093)",62,19,40,3,,,
"Construcción (094)",3236,206,2391,549,48,42,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",2855,413,443,1797,73,129,
"Venta, mant.y rep. veh.autom.y motoc. (096)",747,66,387,265,17,12,
"Comercio al por mayor (097)",123,46,7,56,10,4,
"Comercio al por menor (098)",1985,301,49,1476,46,113,
"Hoteles y restaurantes (099)",542,216,64,207,22,33,
"Trans., almac. y comunicaciones (100)",2625,602,510,1415,48,50,
"Intermediación financiera (101)",38,37,1,,,,
"Activid.inmobil., empres. y alquileres (102)",1660,1126,300,191,39,4,
"Admin.pub. y defensa; p. segur.soc.afil (103)",962,696,266,,,,
"Enseñanza (104)",1639,1585,,46,3,5,
"Servicios sociales y de salud (105)",314,244,9,54,7,,
"Otras activ. serv.comun.soc y personales (106)",460,224,31,175,14,16,
"Hogares privados con servicio doméstico (107)",107,,,,,,107
"Organiz. y organos extraterritoriales (108)",1,1,,,,,
"Actividad economica no especificada (109)",1087,294,537,205,18,33,
"Mujeres (110)",11207,4768,653,4143,125,981,537
"Agric., ganadería, caza y silvicultura (111)",857,10,121,375,7,344,
"Pesca (112)",3,1,,2,,,
