"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia SANCHEZ CARRION (000)",46943,137770,121834,,3514,88.4,2.6
"De 12 a 14 años (001)",5828,35,35,,6,100,17.1
"De 15 a 19 años (002)",7023,1196,1155,422,96.6,35.3,
"De 20 a 24 años (003)",5699,5772,5581,882,96.7,15.3,
"De 25 a 29 años (004)",4624,9456,9076,734,96,7.8,
"De 30 a 34 años (005)",4252,13406,12783,661,95.4,4.9,
"De 35 a 39 años (006)",4054,16909,15859,503,93.8,3,
"De 40 a 44 años (007)",3300,16531,15227,257,92.1,1.6,
"De 45 a 49 años (008)",2637,14931,13416,49,89.9,0.3,
"De 50 y más años (009)",9526,59534,48702,,81.8,,
"Sin nivel (010)",19879,89343,76865,1528,86,1.7,
"De 12 a 14 años (011)",630,4,4,,100,,
"De 15 a 19 años (012)",1259,359,343,123,95.5,34.3,
"De 20 a 24 años (013)",1575,2006,1926,299,96,14.9,
"De 25 a 29 años (014)",1683,4154,3956,325,95.2,7.8,
"De 30 a 34 años (015)",1845,6498,6172,322,95,5,
"De 35 a 39 años (016)",1960,8939,8344,271,93.3,3,
"De 40 a 44 años (017)",1776,9673,8824,154,91.2,1.6,
"De 45 a 49 años (018)",1593,9490,8426,34,88.8,0.4,
"De 50 y más años (019)",7558,48220,38870,,80.6,,
"Educacion Inicial (020)",189,196,184,18,93.9,9.2,
"De 12 a 14 años (021)",75,,,,,,
"De 15 a 19 años (022)",24,3,3,1,100,33.3,
"De 20 a 24 años (023)",31,40,36,6,90,15,
"De 25 a 29 años (024)",28,67,62,6,92.5,9,
"De 30 a 34 años (025)",22,64,61,4,95.3,6.3,
"De 35 a 39 años (026)",9,22,22,1,100,4.5,
"Primaria (030)",18504,39196,36082,1562,92.1,4,
"De 12 a 14 años (031)",3875,23,23,4,100,17.4,
"De 15 a 19 años (032)",3462,639,615,234,96.2,36.6,
"De 20 a 24 años (033)",2620,2899,2803,432,96.7,14.9,
"De 25 a 29 años (034)",1939,4116,3958,317,96.2,7.7,
"De 30 a 34 años (035)",1708,5562,5293,272,95.2,4.9,
"De 35 a 39 años (036)",1505,6494,6084,202,93.7,3.1,
"De 40 a 44 años (037)",1062,5415,5007,88,92.5,1.6,
"De 45 a 49 años (038)",769,4476,4068,13,90.9,0.3,
