"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia ILO (000)",26018,72,2761,2405,1718,4838,1721,2940,3345,5129,278,811
"Agric., ganadería, caza y silvicultura (001)",298,,6,6,2,,121,1,1,161,,
"Pesca (002)",2153,1,24,37,20,,1600,15,33,423,,
"Explotación de minas y canteras (003)",979,2,144,133,71,2,,526,59,42,,
"Industrias manufactureras (004)",1965,2,87,130,92,16,,1413,112,113,,
"Suministro de electricidad, gas y agua (005)",199,,31,45,33,,,32,39,19,,
"Construcción (006)",2389,3,72,179,36,,,219,1234,646,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",5549,7,112,363,84,3298,,647,66,972,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",839,,63,121,19,70,,523,28,15,,
"Comercio al por mayor (009)",292,6,5,68,21,154,,1,12,25,,
"Comercio al por menor (010)",4418,1,44,174,44,3074,,123,26,932,,
"Hoteles y restaurantes (011)",1643,1,13,146,74,721,,1,2,685,,
"Trans., almac. y comunicaciones (012)",2650,3,26,249,232,3,,17,1609,511,,
"Intermediación financiera (013)",235,3,20,64,143,,,,,5,,
"Activid.inmobil., empres. y alquileres (014)",1857,4,385,401,195,530,,52,104,186,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",1337,23,148,139,341,44,,15,62,287,278,
"Enseñanza (016)",1420,18,1309,13,47,,,,8,25,,
"Servicios sociales y de salud (017)",618,,276,215,33,44,,1,8,41,,
"Otras activ. serv.comun.soc y personales (018)",847,4,52,175,72,180,,1,1,362,,
"Hogares privados con servicio doméstico (019)",641,,,1,,,,,,640,,
"Actividad economica no especificada (021)",1238,1,56,109,243,,,,7,11,,811
"Hombres (022)",16382,49,1285,1531,745,1859,1658,2637,3274,2618,261,465
"Agric., ganadería, caza y silvicultura (023)",195,,5,5,1,,85,1,1,97,,
"Pesca (024)",2082,1,13,33,9,,1573,15,33,405,,
"Explotación de minas y canteras (025)",935,2,128,130,53,1,,522,59,40,,
"Industrias manufactureras (026)",1541,2,66,87,69,2,,1130,95,90,,
"Suministro de electricidad, gas y agua (027)",177,,25,41,22,,,32,39,18,,
"Construcción (028)",2298,3,65,158,20,,,216,1214,622,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",2415,2,84,243,22,1061,,636,66,301,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",787,,59,114,7,51,,517,28,11,,
"Comercio al por mayor (031)",147,2,4,33,11,62,,1,12,22,,
"Comercio al por menor (032)",1481,,21,96,4,948,,118,26,268,,
"Hoteles y restaurantes (033)",378,,5,39,20,182,,1,2,129,,
"Trans., almac. y comunicaciones (034)",2335,2,18,179,145,1,,16,1584,390,,
"Intermediación financiera (035)",105,2,13,22,63,,,,,5,,
"Activid.inmobil., empres. y alquileres (036)",1323,4,237,250,61,521,,52,101,97,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",919,15,98,85,148,44,,14,61,193,261,
"Enseñanza (038)",421,12,368,8,11,,,,3,19,,
"Servicios sociales y de salud (039)",157,,88,49,8,2,,1,8,1,,
"Otras activ. serv.comun.soc y personales (040)",396,3,31,121,21,45,,1,1,173,,
"Hogares privados con servicio doméstico (041)",32,,,,,,,,,32,,
"Actividad economica no especificada (043)",673,1,41,81,72,,,,7,6,,465
"Mujeres (044)",9636,23,1476,874,973,2979,63,303,71,2511,17,346
"Agric., ganadería, caza y silvicultura (045)",103,,1,1,1,,36,,,64,,
"Pesca (046)",71,,11,4,11,,27,,,18,,
"Explotación de minas y canteras (047)",44,,16,3,18,1,,4,,2,,
"Industrias manufactureras (048)",424,,21,43,23,14,,283,17,23,,
"Suministro de electricidad, gas y agua (049)",22,,6,4,11,,,,,1,,
"Construcción (050)",91,,7,21,16,,,3,20,24,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",3134,5,28,120,62,2237,,11,,671,,
"Venta, mant.y rep. veh.autom.y motoc. (052)",52,,4,7,12,19,,6,,4,,
"Comercio al por mayor (053)",145,4,1,35,10,92,,,,3,,
"Comercio al por menor (054)",2937,1,23,78,40,2126,,5,,664,,
"Hoteles y restaurantes (055)",1265,1,8,107,54,539,,,,556,,
"Trans., almac. y comunicaciones (056)",315,1,8,70,87,2,,1,25,121,,
"Intermediación financiera (057)",130,1,7,42,80,,,,,,,
"Activid.inmobil., empres. y alquileres (058)",534,,148,151,134,9,,,3,89,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",418,8,50,54,193,,,1,1,94,17,
"Enseñanza (060)",999,6,941,5,36,,,,5,6,,
"Servicios sociales y de salud (061)",461,,188,166,25,42,,,,40,,
"Otras activ. serv.comun.soc y personales (062)",451,1,21,54,51,135,,,,189,,
"Hogares privados con servicio doméstico (063)",609,,,1,,,,,,608,,
"Actividad economica no especificada (065)",565,,15,28,171,,,,,5,,346
,,,,,,,,,,,,
"URBANA (066)",25683,68,2747,2389,1708,4811,1663,2924,3324,5056,190,803
"Agric., ganadería, caza y silvicultura (067)",219,,5,6,2,,72,1,1,132,,
"Pesca (068)",2140,1,24,35,19,,1591,14,33,423,,
"Explotación de minas y canteras (069)",974,2,143,133,71,2,,522,59,42,,
"Industrias manufactureras (070)",1952,2,87,130,92,16,,1411,112,102,,
"Suministro de electricidad, gas y agua (071)",199,,31,45,33,,,32,39,19,,
"Construcción (072)",2359,3,71,179,36,,,217,1225,628,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",5531,7,112,362,84,3288,,642,65,971,,
"Venta, mant.y rep. veh.autom.y motoc. (074)",833,,63,121,19,70,,519,27,14,,
"Comercio al por mayor (075)",292,6,5,68,21,154,,1,12,25,,
"Comercio al por menor (076)",4406,1,44,173,44,3064,,122,26,932,,
"Hoteles y restaurantes (077)",1639,1,13,146,74,719,,1,2,683,,
"Trans., almac. y comunicaciones (078)",2640,3,26,249,232,3,,17,1600,510,,
"Intermediación financiera (079)",235,3,20,64,143,,,,,5,,
"Activid.inmobil., empres. y alquileres (080)",1837,4,384,399,194,518,,51,104,183,,
"Admin.pub. y defensa; p. segur.soc.afil (081)",1225,21,145,133,335,42,,14,60,285,190,
"Enseñanza (082)",1412,16,1303,13,47,,,,8,25,,
"Servicios sociales y de salud (083)",615,,275,213,33,44,,1,8,41,,
"Otras activ. serv.comun.soc y personales (084)",839,4,52,172,72,179,,1,1,358,,
"Hogares privados con servicio doméstico (085)",639,,,1,,,,,,638,,
"Actividad economica no especificada (087)",1228,1,56,109,241,,,,7,11,,803
"Hombres (088)",16110,47,1277,1519,739,1838,1617,2623,3253,2559,178,460
"Agric., ganadería, caza y silvicultura (089)",142,,4,5,1,,53,1,1,77,,
"Pesca (090)",2070,1,13,31,9,,1564,14,33,405,,
"Explotación de minas y canteras (091)",930,2,127,130,53,1,,518,59,40,,
"Industrias manufactureras (092)",1529,2,66,87,69,2,,1129,95,79,,
"Suministro de electricidad, gas y agua (093)",177,,25,41,22,,,32,39,18,,
"Construcción (094)",2268,3,64,158,20,,,214,1205,604,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",2403,2,84,243,22,1056,,631,65,300,,
"Venta, mant.y rep. veh.autom.y motoc. (096)",781,,59,114,7,51,,513,27,10,,
"Comercio al por mayor (097)",147,2,4,33,11,62,,1,12,22,,
"Comercio al por menor (098)",1475,,21,96,4,943,,117,26,268,,
"Hoteles y restaurantes (099)",375,,5,39,20,181,,1,2,127,,
"Trans., almac. y comunicaciones (100)",2325,2,18,179,145,1,,16,1575,389,,
