"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia SAN ROMAN (000)",227319,9700,24646,28061,26767,47370,36176,45336,9263
"Sin nivel (001)",20648,9700,1912,128,98,341,542,4006,3921
"Educación inicial (002)",5125,,4906,107,28,42,42,,
"Primaria (003)",67492,,17828,14944,1288,4289,7605,17710,3828
"Secundaria (004)",80182,,,12882,19913,19626,13924,12932,905
"Superior no univ. incompleto (005)",10776,,,,1984,5454,2069,1213,56
"Superior no univ. completo (006)",10569,,,,,4375,3687,2334,173
"Superior univ. incompleto (007)",15753,,,,3456,8254,2219,1768,56
"Superior univ. completo (008)",16774,,,,,4989,6088,5373,324
"Hombres (010)",111290,4862,12458,14346,13469,22779,16827,22207,4342
"Sin nivel (011)",7444,4862,989,65,35,119,130,479,765
"Educación inicial (012)",2558,,2459,58,15,12,14,,
"Primaria (013)",29490,,9010,7637,470,1105,1922,6898,2448
"Secundaria (014)",42110,,,6586,10243,9648,7165,7822,646
"Superior no univ. incompleto (015)",5728,,,,977,2781,1148,778,44
"Superior no univ. completo (016)",5389,,,,,2052,1772,1435,130
"Superior univ. incompleto (017)",9018,,,,1729,4705,1346,1192,46
"Superior univ. completo (018)",9553,,,,,2357,3330,3603,263
"Mujeres (020)",116029,4838,12188,13715,13298,24591,19349,23129,4921
"Sin nivel (021)",13204,4838,923,63,63,222,412,3527,3156
"Educación inicial (022)",2567,,2447,49,13,30,28,,
"Primaria (023)",38002,,8818,7307,818,3184,5683,10812,1380
"Secundaria (024)",38072,,,6296,9670,9978,6759,5110,259
"Superior no univ. incompleto (025)",5048,,,,1007,2673,921,435,12
"Superior no univ. completo (026)",5180,,,,,2323,1915,899,43
"Superior univ. incompleto (027)",6735,,,,1727,3549,873,576,10
"Superior univ. completo (028)",7221,,,,,2632,2758,1770,61
,,,,,,,,,
"URBANA (030)",208298,8840,22439,25618,24840,44504,34044,40924,7089
"Sin nivel (031)",16854,8840,1546,114,82,273,444,2957,2598
"Educación inicial (032)",4729,,4528,99,27,38,37,,
"Primaria (033)",58828,,16365,13311,975,3384,6541,15193,3059
