"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia YAROWILCA (000)",11315,11049,3630,1118,941,784,1538,1267,909,862,266,37752
"De 12 a 14 años (001)",1488,1480,1477,2,1,,,,,,8,4
"De 15 a 19 años (002)",1550,1527,1320,177,28,1,1,,,,23,240
"De 20 a 24 años (003)",1154,1073,378,413,184,70,25,3,,,81,1114
"De 25 a 29 años (004)",998,954,123,215,241,184,164,27,,,44,2126
"De 30 a 34 años (005)",945,909,50,90,151,168,319,98,28,5,36,3198
"De 35 a 39 años (006)",904,878,64,50,102,94,259,206,82,21,26,3916
"De 40 a 44 años (007)",833,822,34,39,48,65,201,199,146,90,11,4735
"De 45 a 49 años (008)",718,710,28,22,44,39,124,163,144,146,8,4651
"De 50 y más años (009)",2725,2696,156,110,142,163,445,571,509,600,29,17768
"Sin nivel (010)",2726,2694,201,121,157,199,520,563,446,487,32,16313
"De 12 a 14 años (011)",10,10,10,,,,,,,,,
"De 15 a 19 años (012)",26,26,21,1,4,,,,,,,9
"De 20 a 24 años (013)",53,51,14,10,11,10,4,2,,,2,92
"De 25 a 29 años (014)",68,66,5,11,8,17,20,5,,,2,198
"De 30 a 34 años (015)",139,136,5,7,10,18,64,19,10,3,3,598
"De 35 a 39 años (016)",172,168,10,9,10,18,46,44,21,10,4,855
"De 40 a 44 años (017)",251,248,15,8,10,17,55,64,51,28,3,1483
"De 45 a 49 años (018)",259,257,12,6,10,10,37,60,56,66,2,1822
"De 50 y más años (019)",1748,1732,109,69,94,109,294,369,308,380,16,11256
"Educacion Inicial (020)",25,21,5,4,2,3,3,1,1,2,4,63
"De 12 a 14 años (021)",1,1,1,,,,,,,,,
"De 15 a 19 años (022)",1,1,,1,,,,,,,,1
