"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia TALARA (000)",3615,40,1806,957,729,83
"Conviviente (001)",746,1,360,255,119,11
"Separado(a) (002)",144,,41,62,36,5
"Casado(a) (003)",921,,127,335,418,41
"Viudo(a) (004)",61,,2,15,30,14
"Divorciado(a) (005)",15,,2,4,9,
"Soltero(a) (006)",1728,39,1274,286,117,12
"Hombres (008)",2689,27,1261,703,621,77
"Conviviente (009)",558,1,247,200,100,10
"Separado(a) (010)",75,,18,29,23,5
"Casado(a) (011)",746,,90,243,373,40
"Viudo(a) (012)",35,,1,5,17,12
"Divorciado(a) (013)",14,,2,3,9,
"Soltero(a) (014)",1261,26,903,223,99,10
"Mujeres (016)",926,13,545,254,108,6
"Conviviente (017)",188,,113,55,19,1
"Separado(a) (018)",69,,23,33,13,
"Casado(a) (019)",175,,37,92,45,1
"Viudo(a) (020)",26,,1,10,13,2
"Divorciado(a) (021)",1,,,1,,
"Soltero(a) (022)",467,13,371,63,18,2
,,,,,,
"AREA URBANA (024)",3570,37,1781,948,724,80
"Conviviente (025)",739,1,357,252,118,11
"Separado(a) (026)",144,,41,62,36,5
"Casado(a) (027)",916,,126,335,416,39
"Viudo(a) (028)",60,,2,15,30,13
"Divorciado(a) (029)",15,,2,4,9,
"Soltero(a) (030)",1696,36,1253,280,115,12
"Hombres (032)",2650,24,1240,696,616,74
"Conviviente (033)",552,1,245,197,99,10
"Separado(a) (034)",75,,18,29,23,5
"Casado(a) (035)",741,,89,243,371,38
"Viudo(a) (036)",34,,1,5,17,11
"Divorciado(a) (037)",14,,2,3,9,
"Soltero(a) (038)",1234,23,885,219,97,10
"Mujeres (040)",920,13,541,252,108,6
"Conviviente (041)",187,,112,55,19,1
"Separado(a) (042)",69,,23,33,13,
"Casado(a) (043)",175,,37,92,45,1
"Viudo(a) (044)",26,,1,10,13,2
"Divorciado(a) (045)",1,,,1,,
"Soltero(a) (046)",462,13,368,61,18,2
,,,,,,
"AREA RURAL (048)",45,3,25,9,5,3
"Conviviente (049)",7,,3,3,1,
"Casado(a) (051)",5,,1,,2,2
"Viudo(a) (052)",1,,,,,1
"Soltero(a) (054)",32,3,21,6,2,
"Hombres (056)",39,3,21,7,5,3
"Conviviente (057)",6,,2,3,1,
"Casado(a) (059)",5,,1,,2,2
"Viudo(a) (060)",1,,,,,1
"Soltero(a) (062)",27,3,18,4,2,
"Mujeres (064)",6,,4,2,,
"Conviviente (065)",1,,1,,,
"Soltero(a) (070)",5,,3,2,,
