"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PARINACOCHAS (000)",10001,7612,1055,710,624
"Hombres (001)",6788,5093,753,539,403
"Mujeres (002)",3213,2519,302,171,221
"De 06 a 14 años (003)",198,177,15,6,
"Hombres (004)",126,109,12,5,
"Mujeres (005)",72,68,3,1,
"De 15 a 29 años (006)",2992,2294,329,213,156
"Hombres (007)",2085,1566,257,166,96
"Mujeres (008)",907,728,72,47,60
"De 30 a 44 años (009)",3331,2304,454,312,261
"Hombres (010)",2245,1544,300,226,175
"Mujeres (011)",1086,760,154,86,86
"De 45 a 64 años (012)",2545,1952,223,169,201
"Hombres (013)",1701,1277,161,135,128
"Mujeres (014)",844,675,62,34,73
"De 65 y más años (015)",935,885,34,10,6
"Hombres (016)",631,597,23,7,4
"Mujeres (017)",304,288,11,3,2
,,,,,
"URBANA (018)",6061,4269,686,546,560
"Hombres (019)",3920,2721,464,386,349
"Mujeres (020)",2141,1548,222,160,211
"De 06 a 14 años (021)",128,113,10,5,
"Hombres (022)",84,70,10,4,
"Mujeres (023)",44,43,,1,
"De 15 a 29 años (024)",1845,1393,189,131,132
"Hombres (025)",1237,923,147,90,77
"Mujeres (026)",608,470,42,41,55
"De 30 a 44 años (027)",2124,1331,310,249,234
"Hombres (028)",1345,840,187,166,152
"Mujeres (029)",779,491,123,83,82
"De 45 a 64 años (030)",1506,1006,158,154,188
"Hombres (031)",949,607,105,121,116
"Mujeres (032)",557,399,53,33,72
"De 65 y más años (033)",458,426,19,7,6
"Hombres (034)",305,281,15,5,4
"Mujeres (035)",153,145,4,2,2
,,,,,
"RURAL (036)",3940,3343,369,164,64
"Hombres (037)",2868,2372,289,153,54
"Mujeres (038)",1072,971,80,11,10
"De 06 a 14 años (039)",70,64,5,1,
"Hombres (040)",42,39,2,1,
"Mujeres (041)",28,25,3,,
"De 15 a 29 años (042)",1147,901,140,82,24
"Hombres (043)",848,643,110,76,19
"Mujeres (044)",299,258,30,6,5
"De 30 a 44 años (045)",1207,973,144,63,27
"Hombres (046)",900,704,113,60,23
"Mujeres (047)",307,269,31,3,4
"De 45 a 64 años (048)",1039,946,65,15,13
"Hombres (049)",752,670,56,14,12
"Mujeres (050)",287,276,9,1,1
"De 65 y más años (051)",477,459,15,3,
"Hombres (052)",326,316,8,2,
"Mujeres (053)",151,143,7,1,
