"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia OTUZCO (000)",29728,7265,22463
"Casa independiente (001)",29287,7118,22169
"Departamento en edificio (002)",24,24,
"Vivienda en quinta (003)",32,32,
"Vivienda en casa de vecindad (004)",77,77,
"Choza o cabaña (005)",291,,291
"Vivienda improvisada (006)",11,11,
"Local no dest.para hab. humana (007)",2,1,1
"Otro tipo (008)",4,2,2
