"CUADRO Nº 11: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA POTABLE, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA POTABLE",,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)"
,,,,
"Provincia UTCUBAMBA",,,,
"Viviendas particulares (001)",10504,6837,3172,495
"Ocupantes presentes (002)",42635,27200,13221,2214
"Casa independiente",,,,
"Viviendas particulares (004)",9735,6370,2873,492
"Ocupantes presentes (005)",40398,25824,12377,2197
"Departamento en edificio",,,,
"Viviendas particulares (007)",73,71,2,
"Ocupantes presentes (008)",187,181,6,
"Vivienda en quinta",,,,
"Viviendas particulares (010)",559,313,246,
"Ocupantes presentes (011)",1614,940,674,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (013)",121,71,47,3
"Ocupantes presentes (014)",379,210,152,17
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (019)",5,3,2,
"Ocupantes presentes (020)",21,14,7,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (022)",11,9,2,
"Ocupantes presentes (023)",36,31,5,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (028)",6725,4340,2196,189
"Ocupantes presentes (029)",27380,17310,9132,938
"Casa independiente",,,,
"Viviendas particulares (031)",6253,4066,1999,188
"Ocupantes presentes (032)",26050,16510,8608,932
"Departamento en edificio",,,,
"Viviendas particulares (034)",53,52,1,
"Ocupantes presentes (035)",138,133,5,
"Vivienda en quinta",,,,
"Viviendas particulares (037)",337,172,165,
"Ocupantes presentes (038)",934,514,420,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (040)",73,45,27,1
"Ocupantes presentes (041)",223,130,87,6
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (046)",4,2,2,
"Ocupantes presentes (047)",20,13,7,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (049)",5,3,2,
"Ocupantes presentes (050)",15,10,5,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (055)",3779,2497,976,306
"Ocupantes presentes (056)",15255,9890,4089,1276
"Casa independiente",,,,
"Viviendas particulares (058)",3482,2304,874,304
"Ocupantes presentes (059)",14348,9314,3769,1265
"Departamento en edificio",,,,
"Viviendas particulares (061)",20,19,1,
"Ocupantes presentes (062)",49,48,1,
"Vivienda en quinta",,,,
"Viviendas particulares (064)",222,141,81,
"Ocupantes presentes (065)",680,426,254,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (067)",48,26,20,2
"Ocupantes presentes (068)",156,80,65,11
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (073)",1,1,,
"Ocupantes presentes (074)",1,1,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (076)",6,6,,
"Ocupantes presentes (077)",21,21,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
URBANA,,,,
"Viviendas particulares (109)",8106,5851,1987,268
"Ocupantes presentes (110)",31892,22939,7872,1081
"Casa independiente",,,,
"Viviendas particulares (112)",7337,5384,1688,265
"Ocupantes presentes (113)",29655,21563,7028,1064
"Departamento en edificio",,,,
"Viviendas particulares (115)",73,71,2,
"Ocupantes presentes (116)",187,181,6,
"Vivienda en quinta",,,,
"Viviendas particulares (118)",559,313,246,
"Ocupantes presentes (119)",1614,940,674,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (121)",121,71,47,3
"Ocupantes presentes (122)",379,210,152,17
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (127)",5,3,2,
"Ocupantes presentes (128)",21,14,7,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (130)",11,9,2,
"Ocupantes presentes (131)",36,31,5,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (136)",4814,3531,1205,78
"Ocupantes presentes (137)",18857,13819,4686,352
"Casa independiente",,,,
"Viviendas particulares (139)",4342,3257,1008,77
"Ocupantes presentes (140)",17527,13019,4162,346
"Departamento en edificio",,,,
"Viviendas particulares (142)",53,52,1,
"Ocupantes presentes (143)",138,133,5,
"Vivienda en quinta",,,,
"Viviendas particulares (145)",337,172,165,
"Ocupantes presentes (146)",934,514,420,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (148)",73,45,27,1
"Ocupantes presentes (149)",223,130,87,6
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (154)",4,2,2,
"Ocupantes presentes (155)",20,13,7,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (157)",5,3,2,
"Ocupantes presentes (158)",15,10,5,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (163)",3292,2320,782,190
"Ocupantes presentes (164)",13035,9120,3186,729
"Casa independiente",,,,
"Viviendas particulares (166)",2995,2127,680,188
"Ocupantes presentes (167)",12128,8544,2866,718
"Departamento en edificio",,,,
"Viviendas particulares (169)",20,19,1,
"Ocupantes presentes (170)",49,48,1,
"Vivienda en quinta",,,,
"Viviendas particulares (172)",222,141,81,
"Ocupantes presentes (173)",680,426,254,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (175)",48,26,20,2
"Ocupantes presentes (176)",156,80,65,11
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (181)",1,1,,
"Ocupantes presentes (182)",1,1,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (184)",6,6,,
"Ocupantes presentes (185)",21,21,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
RURAL,,,,
"Viviendas particulares (217)",2398,986,1185,227
"Ocupantes presentes (218)",10743,4261,5349,1133
"Casa independiente",,,,
"Viviendas particulares (220)",2398,986,1185,227
"Ocupantes presentes (221)",10743,4261,5349,1133
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (244)",1911,809,991,111
"Ocupantes presentes (245)",8523,3491,4446,586
"Casa independiente",,,,
"Viviendas particulares (247)",1911,809,991,111
"Ocupantes presentes (248)",8523,3491,4446,586
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (271)",487,177,194,116
"Ocupantes presentes (272)",2220,770,903,547
"Casa independiente",,,,
"Viviendas particulares (274)",487,177,194,116
"Ocupantes presentes (275)",2220,770,903,547
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
