"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CHUPACA (000)",49021,2198,5027,6104,5280,8133,6514,11112,4653
"Sin nivel (001)",5153,2198,357,33,29,105,156,985,1290
"Educación inicial (002)",1130,,1077,32,,10,11,,
"Primaria (003)",16144,,3593,3497,318,799,1309,4157,2471
"Secundaria (004)",17959,,,2542,4158,3781,2964,3887,627
"Superior no univ. incompleto (005)",2347,,,,507,1095,400,295,50
"Superior no univ. completo (006)",2742,,,,,1101,864,694,83
"Superior univ. incompleto (007)",1424,,,,268,675,197,254,30
"Superior univ. completo (008)",2122,,,,,567,613,840,102
"Hombres (010)",23634,1105,2559,3070,2753,4036,2982,5076,2053
"Sin nivel (011)",1674,1105,181,21,16,47,50,119,135
"Educación inicial (012)",588,,563,17,,4,4,,
"Primaria (013)",6886,,1815,1760,138,306,375,1277,1215
"Secundaria (014)",9822,,,1272,2238,2006,1493,2328,485
"Superior no univ. incompleto (015)",1239,,,,230,547,226,194,42
"Superior no univ. completo (016)",1343,,,,,475,391,410,67
"Superior univ. incompleto (017)",834,,,,131,389,117,173,24
"Superior univ. completo (018)",1248,,,,,262,326,575,85
"Mujeres (020)",25387,1093,2468,3034,2527,4097,3532,6036,2600
"Sin nivel (021)",3479,1093,176,12,13,58,106,866,1155
"Educación inicial (022)",542,,514,15,,6,7,,
"Primaria (023)",9258,,1778,1737,180,493,934,2880,1256
"Secundaria (024)",8137,,,1270,1920,1775,1471,1559,142
"Superior no univ. incompleto (025)",1108,,,,277,548,174,101,8
"Superior no univ. completo (026)",1399,,,,,626,473,284,16
"Superior univ. incompleto (027)",590,,,,137,286,80,81,6
"Superior univ. completo (028)",874,,,,,305,287,265,17
,,,,,,,,,
"URBANA (030)",29666,1227,2877,3528,3173,5147,4165,6842,2707
"Sin nivel (031)",2746,1227,147,21,15,64,88,500,684
"Educación inicial (032)",670,,633,22,,5,10,,
"Primaria (033)",8969,,2097,1986,159,404,677,2223,1423
"Secundaria (034)",10770,,,1499,2456,2192,1774,2447,402
"Superior no univ. incompleto (035)",1619,,,,328,731,300,228,32
