"CUADRO Nº 16: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia SATIPO (000)",70533,7219,14140,33546,2354,10444,1017,1813
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",72,63,,,9,,,
"Profes., científicos e intelectuales (002)",3075,2705,,325,37,8,,
"Técnicos de nivel medio y trab. asimilados (003)",1149,592,,462,76,19,,
"Jefes y empleados de oficina (004)",713,705,,2,,6,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",4957,994,73,3196,162,532,,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",26065,1,6,24181,1877,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",2356,,946,1224,83,103,,
"Obreros construc.,conf.,papel, fab., instr. (008)",3183,351,776,1959,58,39,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (009)",25284,1073,12157,1475,21,9541,1017,
"Otra (010)",544,544,,,,,,
"Ocupación no especificada (011)",1322,191,182,722,31,196,,
"Desocupado (012)",1813,,,,,,,1813
"Hombres (013)",54122,4069,12528,27564,2070,6592,70,1229
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",50,43,,,7,,,
"Profes., científicos e intelectuales (015)",1624,1380,,213,27,4,,
"Técnicos de nivel medio y trab. asimilados (016)",735,372,,302,53,8,,
"Jefes y empleados de oficina (017)",327,324,,1,,2,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",1877,476,15,1195,82,109,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",24025,1,6,22271,1747,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",2050,,884,1029,80,57,,
"Obreros construc.,conf.,papel, fab., instr. (021)",3092,346,744,1908,58,36,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (022)",18332,589,10783,531,8,6351,70,
"Otra (023)",454,454,,,,,,
"Ocupación no especificada (024)",327,84,96,114,8,25,,
"Desocupado (025)",1229,,,,,,,1229
"Mujeres (026)",16411,3150,1612,5982,284,3852,947,584
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",22,20,,,2,,,
"Profes., científicos e intelectuales (028)",1451,1325,,112,10,4,,
"Técnicos de nivel medio y trab. asimilados (029)",414,220,,160,23,11,,
"Jefes y empleados de oficina (030)",386,381,,1,,4,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",3080,518,58,2001,80,423,,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",2040,,,1910,130,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",306,,62,195,3,46,,
"Obreros construc.,conf.,papel, fab., instr. (034)",91,5,32,51,,3,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (035)",6952,484,1374,944,13,3190,947,
"Otra (036)",90,90,,,,,,
"Ocupación no especificada (037)",995,107,86,608,23,171,,
"Desocupado (038)",584,,,,,,,584
,,,,,,,,
"URBANA (039)",21696,5378,3376,9450,634,1508,581,769
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",43,37,,,6,,,
"Profes., científicos e intelectuales (041)",2187,1907,,248,27,5,,
"Técnicos de nivel medio y trab. asimilados (042)",919,428,,416,59,16,,
"Jefes y empleados de oficina (043)",553,546,,2,,5,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",3709,749,28,2393,130,409,,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",3104,,1,2830,273,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",1504,,495,901,58,50,,
"Obreros construc.,conf.,papel, fab., instr. (047)",2056,255,476,1253,45,27,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (048)",5790,844,2272,1150,18,925,581,
"Otra (049)",476,476,,,,,,
"Ocupación no especificada (050)",586,136,104,257,18,71,,
"Desocupado (051)",769,,,,,,,769
"Hombres (052)",14256,3080,2957,6415,490,774,36,504
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",27,23,,,4,,,
"Profes., científicos e intelectuales (054)",1164,978,,164,19,3,,
"Técnicos de nivel medio y trab. asimilados (055)",571,261,,266,37,7,,
"Jefes y empleados de oficina (056)",244,241,,1,,2,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",1488,390,8,943,66,81,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",2790,,1,2536,253,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",1344,,461,787,55,41,,
"Obreros construc.,conf.,papel, fab., instr. (060)",2012,251,456,1235,45,25,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (061)",3502,478,1966,417,6,599,36,
"Otra (062)",390,390,,,,,,
"Ocupación no especificada (063)",220,68,65,66,5,16,,
"Desocupado (064)",504,,,,,,,504
"Mujeres (065)",7440,2298,419,3035,144,734,545,265
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",16,14,,,2,,,
"Profes., científicos e intelectuales (067)",1023,929,,84,8,2,,
"Técnicos de nivel medio y trab. asimilados (068)",348,167,,150,22,9,,
"Jefes y empleados de oficina (069)",309,305,,1,,3,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",2221,359,20,1450,64,328,,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",314,,,294,20,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",160,,34,114,3,9,,
"Obreros construc.,conf.,papel, fab., instr. (073)",44,4,20,18,,2,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (074)",2288,366,306,733,12,326,545,
"Otra (075)",86,86,,,,,,
"Ocupación no especificada (076)",366,68,39,191,13,55,,
"Desocupado (077)",265,,,,,,,265
,,,,,,,,
"RURAL (078)",48837,1841,10764,24096,1720,8936,436,1044
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",29,26,,,3,,,
"Profes., científicos e intelectuales (080)",888,798,,77,10,3,,
"Técnicos de nivel medio y trab. asimilados (081)",230,164,,46,17,3,,
"Jefes y empleados de oficina (082)",160,159,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",1248,245,45,803,32,123,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",22961,1,5,21351,1604,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",852,,451,323,25,53,,
"Obreros construc.,conf.,papel, fab., instr. (086)",1127,96,300,706,13,12,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (087)",19494,229,9885,325,3,8616,436,
"Otra (088)",68,68,,,,,,
"Ocupación no especificada (089)",736,55,78,465,13,125,,
"Desocupado (090)",1044,,,,,,,1044
"Hombres (091)",39866,989,9571,21149,1580,5818,34,725
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",23,20,,,3,,,
"Profes., científicos e intelectuales (093)",460,402,,49,8,1,,
"Técnicos de nivel medio y trab. asimilados (094)",164,111,,36,16,1,,
"Jefes y empleados de oficina (095)",83,83,,,,,,
