"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia RODRIGUEZ DE MENDOZA (000)",8941,2647,6294
"Casa independiente (001)",8690,2613,6077
"Vivienda en quinta (003)",20,20,
"Vivienda en casa de vecindad (004)",2,2,
"Choza o cabaña (005)",215,,215
"Vivienda improvisada (006)",9,9,
"Local no dest.para hab. humana (007)",3,2,1
"Otro tipo (008)",2,1,1
