"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CHEPEN (000)",71668,2996,6926,8373,7441,12030,10947,17195,5760
"Sabe leer y escribir (001)",63197,,5534,8261,7333,11666,10489,15610,4304
"No sabe leer y escribir (002)",8471,2996,1392,112,108,364,458,1585,1456
"Hombres (004)",35760,1573,3533,4248,3815,5956,5202,8487,2946
"Sabe leer y escribir (005)",32358,,2816,4195,3761,5828,5075,8127,2556
"No sabe leer y escribir (006)",3402,1573,717,53,54,128,127,360,390
"Mujeres (008)",35908,1423,3393,4125,3626,6074,5745,8708,2814
"Sabe leer y escribir (009)",30839,,2718,4066,3572,5838,5414,7483,1748
"No sabe leer y escribir (010)",5069,1423,675,59,54,236,331,1225,1066
,,,,,,,,,
"URBANA (012)",58736,2379,5519,6776,6097,9687,9110,14322,4846
"Sabe leer y escribir (013)",52304,,4438,6695,6017,9438,8781,13201,3734
"No sabe leer y escribir (014)",6432,2379,1081,81,80,249,329,1121,1112
"Hombres (016)",28923,1239,2822,3385,3102,4714,4252,6975,2434
"Sabe leer y escribir (017)",26311,,2259,3354,3059,4619,4154,6723,2143
"No sabe leer y escribir (018)",2612,1239,563,31,43,95,98,252,291
"Mujeres (020)",29813,1140,2697,3391,2995,4973,4858,7347,2412
"Sabe leer y escribir (021)",25993,,2179,3341,2958,4819,4627,6478,1591
"No sabe leer y escribir (022)",3820,1140,518,50,37,154,231,869,821
,,,,,,,,,
"RURAL (024)",12932,617,1407,1597,1344,2343,1837,2873,914
"Sabe leer y escribir (025)",10893,,1096,1566,1316,2228,1708,2409,570
"No sabe leer y escribir (026)",2039,617,311,31,28,115,129,464,344
"Hombres (028)",6837,334,711,863,713,1242,950,1512,512
"Sabe leer y escribir (029)",6047,,557,841,702,1209,921,1404,413
"No sabe leer y escribir (030)",790,334,154,22,11,33,29,108,99
"Mujeres (032)",6095,283,696,734,631,1101,887,1361,402
"Sabe leer y escribir (033)",4846,,539,725,614,1019,787,1005,157
"No sabe leer y escribir (034)",1249,283,157,9,17,82,100,356,245
