"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CANCHIS (000)",713,710,3
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",135,135,
"Hospital, clinica (004)",87,86,1
"Cárcel, centro de readaptación social (005)",74,74,
"Aldea infantil, orfelinato, etc (007)",49,49,
"Otro (008)",119,117,2
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",249,249,
