"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia HUAMANGA (000)",70472,178,10569,3795,3039,12425,9160,5641,6876,15958,708,2123
"Agric., ganadería, caza y silvicultura (001)",15028,1,107,66,6,,9158,5,35,5650,,
"Pesca (002)",13,,3,3,,,2,,2,3,,
"Explotación de minas y canteras (003)",207,,62,14,4,,,69,13,45,,
"Industrias manufactureras (004)",5041,9,75,122,27,43,,4167,512,86,,
"Suministro de electricidad, gas y agua (005)",146,1,18,20,35,,,28,23,21,,
"Construcción (006)",4768,4,320,192,31,,,164,2425,1632,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",14313,8,129,439,62,9619,,1127,96,2833,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",1347,1,14,66,7,278,,897,71,13,,
"Comercio al por mayor (009)",749,3,23,88,19,548,,3,14,51,,
"Comercio al por menor (010)",12217,4,92,285,36,8793,,227,11,2769,,
"Hoteles y restaurantes (011)",3677,4,20,193,108,1963,,5,1,1383,,
"Trans., almac. y comunicaciones (012)",5109,3,45,201,165,28,,17,3553,1097,,
"Intermediación financiera (013)",398,3,54,76,251,,,1,2,11,,
"Activid.inmobil., empres. y alquileres (014)",3178,3,1260,876,375,326,,22,76,240,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",3305,66,609,239,1049,83,,6,79,466,708,
"Enseñanza (016)",6749,65,6298,63,196,,,2,6,119,,
"Servicios sociales y de salud (017)",2169,,1130,636,165,50,,17,23,148,,
"Otras activ. serv.comun.soc y personales (018)",2175,11,341,565,177,311,,11,29,730,,
"Hogares privados con servicio doméstico (019)",1482,,,2,,2,,,,1478,,
"Organiz. y organos extraterritoriales (020)",2,,,,1,,,,1,,,
"Actividad economica no especificada (021)",2712,,98,88,387,,,,,16,,2123
"Hombres (022)",42882,122,5501,2475,1549,4303,7824,4556,6645,8092,648,1167
"Agric., ganadería, caza y silvicultura (023)",11454,1,89,56,3,,7822,3,35,3445,,
"Pesca (024)",11,,2,2,,,2,,2,3,,
"Explotación de minas y canteras (025)",198,,59,12,4,,,67,13,43,,
"Industrias manufactureras (026)",3757,7,52,87,10,27,,3128,383,63,,
"Suministro de electricidad, gas y agua (027)",121,1,17,16,23,,,25,22,17,,
"Construcción (028)",4572,4,300,178,19,,,162,2370,1539,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",5730,5,68,287,28,3213,,1098,94,937,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",1202,1,12,50,3,177,,882,69,8,,
"Comercio al por mayor (031)",410,2,13,47,9,279,,3,14,43,,
"Comercio al por menor (032)",4118,2,43,190,16,2757,,213,11,886,,
"Hoteles y restaurantes (033)",1078,3,12,95,47,587,,5,1,328,,
"Trans., almac. y comunicaciones (034)",4707,2,31,114,104,17,,15,3514,910,,
"Intermediación financiera (035)",229,2,35,43,138,,,1,2,8,,
"Activid.inmobil., empres. y alquileres (036)",2250,3,905,649,149,318,,19,74,133,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",2281,49,423,166,611,67,,6,76,235,648,
"Enseñanza (038)",3125,36,2877,29,90,,,2,6,85,,
"Servicios sociales y de salud (039)",753,,364,226,88,13,,14,23,25,,
"Otras activ. serv.comun.soc y personales (040)",1100,9,208,450,84,60,,11,29,249,,
"Hogares privados con servicio doméstico (041)",61,,,,,1,,,,60,,
"Organiz. y organos extraterritoriales (042)",1,,,,,,,,1,,,
"Actividad economica no especificada (043)",1454,,59,65,151,,,,,12,,1167
"Mujeres (044)",27590,56,5068,1320,1490,8122,1336,1085,231,7866,60,956
"Agric., ganadería, caza y silvicultura (045)",3574,,18,10,3,,1336,2,,2205,,
"Pesca (046)",2,,1,1,,,,,,,,
"Explotación de minas y canteras (047)",9,,3,2,,,,2,,2,,
"Industrias manufactureras (048)",1284,2,23,35,17,16,,1039,129,23,,
"Suministro de electricidad, gas y agua (049)",25,,1,4,12,,,3,1,4,,
"Construcción (050)",196,,20,14,12,,,2,55,93,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",8583,3,61,152,34,6406,,29,2,1896,,
"Venta, mant.y rep. veh.autom.y motoc. (052)",145,,2,16,4,101,,15,2,5,,
"Comercio al por mayor (053)",339,1,10,41,10,269,,,,8,,
"Comercio al por menor (054)",8099,2,49,95,20,6036,,14,,1883,,
"Hoteles y restaurantes (055)",2599,1,8,98,61,1376,,,,1055,,
"Trans., almac. y comunicaciones (056)",402,1,14,87,61,11,,2,39,187,,
"Intermediación financiera (057)",169,1,19,33,113,,,,,3,,
"Activid.inmobil., empres. y alquileres (058)",928,,355,227,226,8,,3,2,107,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",1024,17,186,73,438,16,,,3,231,60,
"Enseñanza (060)",3624,29,3421,34,106,,,,,34,,
"Servicios sociales y de salud (061)",1416,,766,410,77,37,,3,,123,,
"Otras activ. serv.comun.soc y personales (062)",1075,2,133,115,93,251,,,,481,,
"Hogares privados con servicio doméstico (063)",1421,,,2,,1,,,,1418,,
"Organiz. y organos extraterritoriales (064)",1,,,,1,,,,,,,
"Actividad economica no especificada (065)",1258,,39,23,236,,,,,4,,956
,,,,,,,,,,,,
"URBANA (066)",57296,166,10361,3737,2985,11912,2801,5334,6392,11488,707,1413
"Agric., ganadería, caza y silvicultura (067)",4878,1,107,61,6,,2801,2,18,1882,,
"Pesca (068)",8,,3,3,,,,,1,1,,
"Explotación de minas y canteras (069)",180,,62,14,4,,,49,13,38,,
"Industrias manufactureras (070)",4768,9,75,121,23,43,,3913,500,84,,
"Suministro de electricidad, gas y agua (071)",141,1,18,20,34,,,27,22,19,,
"Construcción (072)",4250,4,320,191,29,,,159,2162,1385,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",13788,8,128,430,62,9241,,1108,91,2720,,
"Venta, mant.y rep. veh.autom.y motoc. (074)",1314,1,14,65,7,267,,880,67,13,,
"Comercio al por mayor (075)",726,3,23,87,19,528,,2,14,50,,
"Comercio al por menor (076)",11748,4,91,278,36,8446,,226,10,2657,,
"Hoteles y restaurantes (077)",3529,4,20,191,107,1851,,5,1,1350,,
"Trans., almac. y comunicaciones (078)",4857,3,45,199,162,27,,16,3381,1024,,
"Intermediación financiera (079)",397,3,54,76,251,,,1,2,10,,
"Activid.inmobil., empres. y alquileres (080)",3137,3,1252,871,371,314,,20,72,234,,
"Admin.pub. y defensa; p. segur.soc.afil (081)",3201,58,608,238,1025,82,,5,72,406,707,
"Enseñanza (082)",6549,61,6114,62,193,,,2,5,112,,
"Servicios sociales y de salud (083)",2110,,1118,618,163,46,,17,22,126,,
"Otras activ. serv.comun.soc y personales (084)",2104,11,339,554,177,306,,10,29,678,,
"Hogares privados con servicio doméstico (085)",1407,,,2,,2,,,,1403,,
"Organiz. y organos extraterritoriales (086)",2,,,,1,,,,1,,,
"Actividad economica no especificada (087)",1990,,98,86,377,,,,,16,,1413
"Hombres (088)",33024,113,5380,2438,1505,4155,2184,4295,6167,5307,647,833
"Agric., ganadería, caza y silvicultura (089)",3459,1,89,51,3,,2184,2,18,1111,,
"Pesca (090)",6,,2,2,,,,,1,1,,
"Explotación de minas y canteras (091)",171,,59,12,4,,,47,13,36,,
"Industrias manufactureras (092)",3530,7,52,86,8,27,,2916,373,61,,
"Suministro de electricidad, gas y agua (093)",117,1,17,16,22,,,25,21,15,,
"Construcción (094)",4080,4,300,177,17,,,157,2111,1314,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",5539,5,67,283,28,3098,,1080,89,889,,
"Venta, mant.y rep. veh.autom.y motoc. (096)",1177,1,12,50,3,172,,866,65,8,,
"Comercio al por mayor (097)",399,2,13,47,9,269,,2,14,43,,
"Comercio al por menor (098)",3963,2,42,186,16,2657,,212,10,838,,
"Hoteles y restaurantes (099)",1054,3,12,95,46,570,,5,1,322,,
"Trans., almac. y comunicaciones (100)",4459,2,31,113,101,16,,14,3342,840,,
"Intermediación financiera (101)",228,2,35,43,138,,,1,2,7,,
"Activid.inmobil., empres. y alquileres (102)",2213,3,897,647,146,306,,17,70,127,,
"Admin.pub. y defensa; p. segur.soc.afil (103)",2197,43,422,165,591,66,,5,69,189,647,
"Enseñanza (104)",3009,33,2775,28,88,,,2,5,78,,
"Servicios sociales y de salud (105)",728,,356,217,86,11,,14,22,22,,
"Otras activ. serv.comun.soc y personales (106)",1065,9,207,440,84,60,,10,29,226,,
"Hogares privados con servicio doméstico (107)",58,,,,,1,,,,57,,
"Organiz. y organos extraterritoriales (108)",1,,,,,,,,1,,,
"Actividad economica no especificada (109)",1110,,59,63,143,,,,,12,,833
"Mujeres (110)",24272,53,4981,1299,1480,7757,617,1039,225,6181,60,580
"Agric., ganadería, caza y silvicultura (111)",1419,,18,10,3,,617,,,771,,
"Pesca (112)",2,,1,1,,,,,,,,
"Explotación de minas y canteras (113)",9,,3,2,,,,2,,2,,
"Industrias manufactureras (114)",1238,2,23,35,15,16,,997,127,23,,
"Suministro de electricidad, gas y agua (115)",24,,1,4,12,,,2,1,4,,
"Construcción (116)",170,,20,14,12,,,2,51,71,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",8249,3,61,147,34,6143,,28,2,1831,,
"Venta, mant.y rep. veh.autom.y motoc. (118)",137,,2,15,4,95,,14,2,5,,
"Comercio al por mayor (119)",327,1,10,40,10,259,,,,7,,
"Comercio al por menor (120)",7785,2,49,92,20,5789,,14,,1819,,
"Hoteles y restaurantes (121)",2475,1,8,96,61,1281,,,,1028,,
"Trans., almac. y comunicaciones (122)",398,1,14,86,61,11,,2,39,184,,
"Intermediación financiera (123)",169,1,19,33,113,,,,,3,,
"Activid.inmobil., empres. y alquileres (124)",924,,355,224,225,8,,3,2,107,,
"Admin.pub. y defensa; p. segur.soc.afil (125)",1004,15,186,73,434,16,,,3,217,60,
"Enseñanza (126)",3540,28,3339,34,105,,,,,34,,
"Servicios sociales y de salud (127)",1382,,762,401,77,35,,3,,104,,
"Otras activ. serv.comun.soc y personales (128)",1039,2,132,114,93,246,,,,452,,
"Hogares privados con servicio doméstico (129)",1349,,,2,,1,,,,1346,,
"Organiz. y organos extraterritoriales (130)",1,,,,1,,,,,,,
"Actividad economica no especificada (131)",880,,39,23,234,,,,,4,,580
,,,,,,,,,,,,
"RURAL (132)",13176,12,208,58,54,513,6359,307,484,4470,1,710
"Agric., ganadería, caza y silvicultura (133)",10150,,,5,,,6357,3,17,3768,,
"Pesca (134)",5,,,,,,2,,1,2,,
"Explotación de minas y canteras (135)",27,,,,,,,20,,7,,
"Industrias manufactureras (136)",273,,,1,4,,,254,12,2,,
"Suministro de electricidad, gas y agua (137)",5,,,,1,,,1,1,2,,
"Construcción (138)",518,,,1,2,,,5,263,247,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (139)",525,,1,9,,378,,19,5,113,,
"Venta, mant.y rep. veh.autom.y motoc. (140)",33,,,1,,11,,17,4,,,
"Comercio al por mayor (141)",23,,,1,,20,,1,,1,,
"Comercio al por menor (142)",469,,1,7,,347,,1,1,112,,
"Hoteles y restaurantes (143)",148,,,2,1,112,,,,33,,
"Trans., almac. y comunicaciones (144)",252,,,2,3,1,,1,172,73,,
"Intermediación financiera (145)",1,,,,,,,,,1,,
"Activid.inmobil., empres. y alquileres (146)",41,,8,5,4,12,,2,4,6,,
"Admin.pub. y defensa; p. segur.soc.afil (147)",104,8,1,1,24,1,,1,7,60,1,
"Enseñanza (148)",200,4,184,1,3,,,,1,7,,
"Servicios sociales y de salud (149)",59,,12,18,2,4,,,1,22,,
"Otras activ. serv.comun.soc y personales (150)",71,,2,11,,5,,1,,52,,
"Hogares privados con servicio doméstico (151)",75,,,,,,,,,75,,
"Actividad economica no especificada (153)",722,,,2,10,,,,,,,710
"Hombres (154)",9858,9,121,37,44,148,5640,261,478,2785,1,334
"Agric., ganadería, caza y silvicultura (155)",7995,,,5,,,5638,1,17,2334,,
"Pesca (156)",5,,,,,,2,,1,2,,
"Explotación de minas y canteras (157)",27,,,,,,,20,,7,,
"Industrias manufactureras (158)",227,,,1,2,,,212,10,2,,
"Suministro de electricidad, gas y agua (159)",4,,,,1,,,,1,2,,
"Construcción (160)",492,,,1,2,,,5,259,225,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (161)",191,,1,4,,115,,18,5,48,,
"Venta, mant.y rep. veh.autom.y motoc. (162)",25,,,,,5,,16,4,,,
"Comercio al por mayor (163)",11,,,,,10,,1,,,,
"Comercio al por menor (164)",155,,1,4,,100,,1,1,48,,
"Hoteles y restaurantes (165)",24,,,,1,17,,,,6,,
"Trans., almac. y comunicaciones (166)",248,,,1,3,1,,1,172,70,,
"Intermediación financiera (167)",1,,,,,,,,,1,,
"Activid.inmobil., empres. y alquileres (168)",37,,8,2,3,12,,2,4,6,,
"Admin.pub. y defensa; p. segur.soc.afil (169)",84,6,1,1,20,1,,1,7,46,1,
"Enseñanza (170)",116,3,102,1,2,,,,1,7,,
"Servicios sociales y de salud (171)",25,,8,9,2,2,,,1,3,,
"Otras activ. serv.comun.soc y personales (172)",35,,1,10,,,,1,,23,,
"Hogares privados con servicio doméstico (173)",3,,,,,,,,,3,,
"Actividad economica no especificada (175)",344,,,2,8,,,,,,,334
"Mujeres (176)",3318,3,87,21,10,365,719,46,6,1685,,376
"Agric., ganadería, caza y silvicultura (177)",2155,,,,,,719,2,,1434,,
"Industrias manufactureras (180)",46,,,,2,,,42,2,,,
"Suministro de electricidad, gas y agua (181)",1,,,,,,,1,,,,
"Construcción (182)",26,,,,,,,,4,22,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (183)",334,,,5,,263,,1,,65,,
"Venta, mant.y rep. veh.autom.y motoc. (184)",8,,,1,,6,,1,,,,
"Comercio al por mayor (185)",12,,,1,,10,,,,1,,
"Comercio al por menor (186)",314,,,3,,247,,,,64,,
"Hoteles y restaurantes (187)",124,,,2,,95,,,,27,,
"Trans., almac. y comunicaciones (188)",4,,,1,,,,,,3,,
"Activid.inmobil., empres. y alquileres (190)",4,,,3,1,,,,,,,
"Admin.pub. y defensa; p. segur.soc.afil (191)",20,2,,,4,,,,,14,,
"Enseñanza (192)",84,1,82,,1,,,,,,,
"Servicios sociales y de salud (193)",34,,4,9,,2,,,,19,,
"Otras activ. serv.comun.soc y personales (194)",36,,1,1,,5,,,,29,,
"Hogares privados con servicio doméstico (195)",72,,,,,,,,,72,,
"Actividad economica no especificada (197)",378,,,,2,,,,,,,376
