"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia CALCA (000)",23422,65085,57078,,1076,87.7,1.7
"De 12 a 14 años (001)",2621,15,15,,1,100,6.7
"De 15 a 19 años (002)",3027,363,360,99,99.2,27.3,
"De 20 a 24 años (003)",2535,2335,2270,269,97.2,11.5,
"De 25 a 29 años (004)",2267,4270,4098,225,96,5.3,
"De 30 a 34 años (005)",2200,6170,5863,247,95,4,
"De 35 a 39 años (006)",2083,7457,6973,147,93.5,2,
"De 40 a 44 años (007)",1846,8107,7357,72,90.7,0.9,
"De 45 a 49 años (008)",1552,7751,6899,16,89,0.2,
"De 50 y más años (009)",5291,28617,23243,,81.2,,
"PEA (010)",6738,19193,17232,265,89.8,1.4,
"De 12 a 14 años (011)",136,,,,,,
"De 15 a 19 años (012)",544,91,89,22,97.8,24.2,
"De 20 a 24 años (013)",857,665,652,63,98,9.5,
"De 25 a 29 años (014)",847,1271,1231,54,96.9,4.2,
"De 30 a 34 años (015)",805,1741,1677,63,96.3,3.6,
"De 35 a 39 años (016)",786,2395,2247,43,93.8,1.8,
"De 40 a 44 años (017)",700,2648,2481,16,93.7,0.6,
"De 45 a 49 años (018)",599,2684,2434,4,90.7,0.1,
"De 50 y más años (019)",1464,7698,6421,,83.4,,
"Ocupada (020)",6584,18962,17008,254,89.7,1.3,
"De 12 a 14 años (021)",131,,,,,,
"De 15 a 19 años (022)",516,91,89,22,97.8,24.2,
"De 20 a 24 años (023)",822,654,641,62,98,9.5,
"De 25 a 29 años (024)",814,1220,1180,48,96.7,3.9,
"De 30 a 34 años (025)",789,1717,1653,62,96.3,3.6,
"De 35 a 39 años (026)",778,2362,2214,41,93.7,1.7,
"De 40 a 44 años (027)",689,2592,2426,15,93.6,0.6,
"De 45 a 49 años (028)",588,2644,2398,4,90.7,0.2,
"De 50 y más años (029)",1457,7682,6407,,83.4,,
"Desocupada (030)",154,231,224,11,97,4.8,
"De 12 a 14 años (031)",5,,,,,,
"De 15 a 19 años (032)",28,,,,,,
"De 20 a 24 años (033)",35,11,11,1,100,9.1,
"De 25 a 29 años (034)",33,51,51,6,100,11.8,
"De 30 a 34 años (035)",16,24,24,1,100,4.2,
"De 35 a 39 años (036)",8,33,33,2,100,6.1,
