"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia ACOMAYO (000)",7409,27217,4021,14352,3388,12865
"Casa independiente (001)",7168,26430,3995,14259,3173,12171
"Vivienda en quinta (003)",5,20,5,20,,
"Vivienda en casa de vecindad (004)",16,62,16,62,,
"Choza o cabaña (005)",215,694,,,215,694
"Vivienda improvisada (006)",1,1,1,1,,
"Local no dest.para hab. humana (007)",4,10,4,10,,
