"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia TALARA (000)",42659,24829,5135,4871,7824
"Agric., ganadería, caza y silvicultura (001)",456,364,45,31,16
"Pesca (002)",5021,3642,949,234,196
"Explotación de minas y canteras (003)",2276,5,7,174,2090
"Industrias manufactureras (004)",3052,1787,437,415,413
"Suministro de electricidad, gas y agua (005)",192,40,17,63,72
"Construcción (006)",3493,1893,612,596,392
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",7887,6571,723,412,181
"Venta, mant.y rep. veh.autom y motoc. (008)",1339,796,223,171,149
"Comercio al por mayor (009)",466,297,73,64,32
"Comercio al por menor (010)",6082,5478,427,177,
"Hoteles y restaurantes (011)",2665,1991,406,192,76
"Trans., almac. y comunicaciones (012)",5256,3444,513,547,752
"Intermediación financiera (013)",213,54,30,72,57
"Activid.inmobil., empres. y alquileres (014)",3926,1428,539,900,1059
"Admin.pub. y defensa; p. segur soc.afil (015)",1616,,,,1616
"Enseñanza (016)",1888,347,413,783,345
"Servicios sociales y de salud (017)",604,216,44,63,281
"Otras activ. serv.comun.soc y personales (018)",1898,1234,262,256,146
"Hogares privados con servicio doméstico (019)",974,974,,,
"Actividad economica no especificada (021)",1242,839,138,133,132
"Hombres (022)",31064,17107,3994,3598,6365
"Agric., ganadería, caza y silvicultura (023)",414,331,41,27,15
"Pesca (024)",4909,3574,937,219,179
"Explotación de minas y canteras (025)",2161,3,7,168,1983
"Industrias manufactureras (026)",2482,1391,382,371,338
"Suministro de electricidad, gas y agua (027)",175,36,15,57,67
"Construcción (028)",3403,1851,604,577,371
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",4693,3668,527,330,168
"Venta, mant.y rep. veh.autom y motoc. (030)",1257,745,204,163,145
"Comercio al por mayor (031)",299,172,55,49,23
"Comercio al por menor (032)",3137,2751,268,118,
"Hoteles y restaurantes (033)",985,628,192,106,59
"Trans., almac. y comunicaciones (034)",4913,3242,474,491,706
"Intermediación financiera (035)",90,25,12,33,20
"Activid.inmobil., empres. y alquileres (036)",3045,1033,391,702,919
"Admin.pub. y defensa; p. segur soc.afil (037)",1124,,,,1124
"Enseñanza (038)",558,96,108,230,124
"Servicios sociales y de salud (039)",202,75,22,16,89
"Otras activ. serv.comun.soc y personales (040)",1191,708,195,180,108
