"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia TARATA (000)",2377,2275,19,493,509,387,515,245,94,13,102,7434
"De 12 a 14 años (001)",1,1,1,,,,,,,,,
"De 15 a 19 años (002)",59,54,,48,5,1,,,,,5,61
"De 20 a 24 años (003)",192,166,3,109,44,9,1,,,,26,228
"De 25 a 29 años (004)",250,216,3,105,65,35,7,,1,,34,378
"De 30 a 34 años (005)",232,217,1,60,98,36,19,2,1,,15,468
"De 35 a 39 años (006)",238,230,1,44,88,44,46,6,1,,8,594
"De 40 a 44 años (007)",214,211,2,26,54,65,41,19,4,,3,662
"De 45 a 49 años (008)",203,200,1,21,45,36,65,27,5,,3,722
"De 50 y más años (009)",988,980,7,80,110,161,336,191,82,13,8,4321
"Conviviente (010)",826,805,4,246,247,133,116,41,15,3,21,2071
"De 12 a 14 años (011)",1,1,1,,,,,,,,,
"De 15 a 19 años (012)",38,33,,29,4,,,,,,5,37
"De 20 a 24 años (013)",132,127,,82,40,5,,,,,5,177
"De 25 a 29 años (014)",143,137,1,62,40,27,6,,1,,6,257
"De 30 a 34 años (015)",117,117,,29,61,19,8,,,,,243
"De 35 a 39 años (016)",111,109,,17,50,24,17,1,,,2,266
"De 40 a 44 años (017)",81,80,,8,20,30,15,7,,,1,248
"De 45 a 49 años (018)",52,51,,5,14,6,16,8,2,,1,188
"De 50 y más años (019)",151,150,2,14,18,22,54,25,12,3,1,655
"Separado(a) (020)",128,127,2,39,25,16,30,7,8,,1,376
"De 20 a 24 años (023)",8,8,,6,2,,,,,,,10
"De 25 a 29 años (024)",15,15,,11,4,,,,,,,19
"De 30 a 34 años (025)",14,14,,6,5,1,1,1,,,,29
"De 35 a 39 años (026)",17,17,,4,4,1,8,,,,,48
