"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia TACNA (000)",105507,182637,171773,,3638,94.1,2
"De 12 a 14 años (001)",7626,53,51,,1,96.2,1.9
"De 15 a 19 años (002)",13173,1159,1141,318,98.4,27.4,
"De 20 a 24 años (003)",13623,6440,6323,818,98.2,12.7,
"De 25 a 29 años (004)",13408,13531,13287,994,98.2,7.3,
"De 30 a 34 años (005)",11965,19080,18697,834,98,4.4,
"De 35 a 39 años (006)",10932,22840,22261,508,97.5,2.2,
"De 40 a 44 años (007)",8928,22561,21802,148,96.6,0.7,
"De 45 a 49 años (008)",6984,20580,19531,17,94.9,0.1,
"De 50 y más años (009)",18868,76393,68680,,89.9,,
"Conviviente (010)",25692,50342,48401,2094,96.1,4.2,
"De 12 a 14 años (011)",72,21,19,,90.5,,
"De 15 a 19 años (012)",1395,737,726,211,98.5,28.6,
"De 20 a 24 años (013)",4489,4223,4145,556,98.2,13.2,
"De 25 a 29 años (014)",5465,7590,7462,608,98.3,8,
"De 30 a 34 años (015)",4806,9194,9000,431,97.9,4.7,
"De 35 a 39 años (016)",3716,8865,8643,231,97.5,2.6,
"De 40 a 44 años (017)",2352,6535,6322,55,96.7,0.8,
"De 45 a 49 años (018)",1362,4467,4203,2,94.1,,
"De 50 y más años (019)",2035,8710,7881,,90.5,,
"Separado(a) (020)",6641,17123,16184,205,94.5,1.2,
"De 12 a 14 años (021)",7,,,,,,
"De 15 a 19 años (022)",87,62,62,16,100,25.8,
"De 20 a 24 años (023)",386,437,433,45,99.1,10.3,
"De 25 a 29 años (024)",802,1168,1141,49,97.7,4.2,
"De 30 a 34 años (025)",975,1824,1789,49,98.1,2.7,
"De 35 a 39 años (026)",1061,2418,2337,32,96.7,1.3,
"De 40 a 44 años (027)",943,2478,2401,10,96.9,0.4,
"De 45 a 49 años (028)",785,2376,2253,4,94.8,0.2,
"De 50 y más años (029)",1595,6360,5768,,90.7,,
"Casado(a) (030)",27981,83074,78261,994,94.2,1.2,
"De 12 a 14 años (031)",13,8,8,,100,,
"De 15 a 19 años (032)",124,84,84,18,100,21.4,
"De 20 a 24 años (033)",737,852,829,120,97.3,14.1,
"De 25 a 29 años (034)",2235,3238,3178,266,98.1,8.2,
"De 30 a 34 años (035)",3330,6272,6157,299,98.2,4.8,
