"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia SAN MARCOS (000)",51031,50082,666,283
"Hombres (001)",25581,25203,239,139
"Mujeres (002)",25450,24879,427,144
"Menores de 1 año (003)",965,768,128,69
"Hombres (004)",473,383,61,29
"Mujeres (005)",492,385,67,40
"De 1 a 5 años (006)",5502,5166,163,173
"Hombres (007)",2790,2623,74,93
"Mujeres (008)",2712,2543,89,80
"De 6 a 14 años (009)",10743,10716,18,9
"Hombres (010)",5530,5520,4,6
"Mujeres (011)",5213,5196,14,3
"De 15 a 29 años (012)",12912,12885,23,4
"Hombres (013)",6499,6487,12,
"Mujeres (014)",6413,6398,11,4
"De 30 a 44 años (015)",9525,9485,36,4
"Hombres (016)",4750,4736,13,1
"Mujeres (017)",4775,4749,23,3
"De 45 a 64 años (018)",7453,7358,86,9
"Hombres (019)",3663,3636,23,4
"Mujeres (020)",3790,3722,63,5
"De 65 a más años (021)",3931,3704,212,15
"Hombres (022)",1876,1818,52,6
"Mujeres (023)",2055,1886,160,9
,,,,
"URBANA (024)",11641,11507,77,57
"Hombres (025)",5864,5810,27,27
"Mujeres (026)",5777,5697,50,30
"Menores de 1 año (027)",186,168,9,9
"Hombres (028)",89,80,5,4
"Mujeres (029)",97,88,4,5
"De 1 a 5 años (030)",1044,989,15,40
"Hombres (031)",514,484,8,22
"Mujeres (032)",530,505,7,18
"De 6 a 14 años (033)",1967,1966,,1
"Hombres (034)",1061,1060,,1
"Mujeres (035)",906,906,,
"De 15 a 29 años (036)",3045,3039,6,
"Hombres (037)",1523,1519,4,
"Mujeres (038)",1522,1520,2,
"De 30 a 44 años (039)",2606,2603,3,
"Hombres (040)",1324,1323,1,
"Mujeres (041)",1282,1280,2,
"De 45 a 64 años (042)",1847,1836,9,2
"Hombres (043)",903,900,3,
"Mujeres (044)",944,936,6,2
"De 65 a más años (045)",946,906,35,5
"Hombres (046)",450,444,6,
"Mujeres (047)",496,462,29,5
,,,,
"RURAL (048)",39390,38575,589,226
"Hombres (049)",19717,19393,212,112
"Mujeres (050)",19673,19182,377,114
"Menores de 1 año (051)",779,600,119,60
"Hombres (052)",384,303,56,25
"Mujeres (053)",395,297,63,35
"De 1 a 5 años (054)",4458,4177,148,133
"Hombres (055)",2276,2139,66,71
"Mujeres (056)",2182,2038,82,62
"De 6 a 14 años (057)",8776,8750,18,8
"Hombres (058)",4469,4460,4,5
"Mujeres (059)",4307,4290,14,3
"De 15 a 29 años (060)",9867,9846,17,4
"Hombres (061)",4976,4968,8,
"Mujeres (062)",4891,4878,9,4
"De 30 a 44 años (063)",6919,6882,33,4
"Hombres (064)",3426,3413,12,1
"Mujeres (065)",3493,3469,21,3
"De 45 a 64 años (066)",5606,5522,77,7
"Hombres (067)",2760,2736,20,4
"Mujeres (068)",2846,2786,57,3
"De 65 a más años (069)",2985,2798,177,10
"Hombres (070)",1426,1374,46,6
"Mujeres (071)",1559,1424,131,4
