"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CASTROVIRREYNA (000)",18352,914,2232,2278,1632,2570,2440,4383,1903
"Sin nivel (001)",2557,914,247,12,27,61,94,544,658
"Educación inicial (002)",498,,472,16,3,4,3,,
"Primaria (003)",7466,,1513,1603,211,425,665,2009,1040
"Secundaria (004)",5790,,,647,1327,1434,1046,1189,147
"Superior no univ. incompleto (005)",502,,,,46,183,135,128,10
"Superior no univ. completo (006)",733,,,,,240,259,206,28
"Superior univ. incompleto (007)",198,,,,18,80,48,50,2
"Superior univ. completo (008)",608,,,,,143,190,257,18
"Hombres (010)",9605,470,1141,1125,855,1445,1358,2376,835
"Sin nivel (011)",843,470,125,7,10,24,25,96,86
"Educación inicial (012)",269,,257,8,2,1,1,,
"Primaria (013)",3650,,759,787,106,158,261,979,600
"Secundaria (014)",3513,,,323,707,860,666,848,109
"Superior no univ. incompleto (015)",338,,,,21,118,91,101,7
"Superior no univ. completo (016)",446,,,,,141,157,131,17
"Superior univ. incompleto (017)",143,,,,9,57,40,35,2
"Superior univ. completo (018)",403,,,,,86,117,186,14
"Mujeres (020)",8747,444,1091,1153,777,1125,1082,2007,1068
"Sin nivel (021)",1714,444,122,5,17,37,69,448,572
"Educación inicial (022)",229,,215,8,1,3,2,,
"Primaria (023)",3816,,754,816,105,267,404,1030,440
"Secundaria (024)",2277,,,324,620,574,380,341,38
"Superior no univ. incompleto (025)",164,,,,25,65,44,27,3
"Superior no univ. completo (026)",287,,,,,99,102,75,11
"Superior univ. incompleto (027)",55,,,,9,23,8,15,
"Superior univ. completo (028)",205,,,,,57,73,71,4
,,,,,,,,,
"URBANA (030)",5834,229,554,609,558,980,911,1457,536
"Sin nivel (031)",499,229,45,4,8,7,7,80,119
"Educación inicial (032)",134,,129,2,1,1,1,,
"Primaria (033)",1774,,380,391,30,82,129,458,304
"Secundaria (034)",2145,,,212,483,495,377,511,67
"Superior no univ. incompleto (035)",275,,,,25,98,75,69,8
"Superior no univ. completo (036)",458,,,,,144,156,138,20
"Superior univ. incompleto (037)",113,,,,11,53,23,24,2
"Superior univ. completo (038)",436,,,,,100,143,177,16
"Hombres (040)",3174,115,285,279,310,584,519,845,237
"Sin nivel (041)",176,115,25,2,1,3,2,21,7
"Educación inicial (042)",71,,67,1,1,1,1,,
"Primaria (043)",858,,193,179,19,42,55,213,157
"Secundaria (044)",1293,,,97,273,301,232,347,43
"Superior no univ. incompleto (045)",175,,,,10,60,47,53,5
"Superior no univ. completo (046)",249,,,,,86,77,75,11
"Superior univ. incompleto (047)",81,,,,6,39,18,16,2
"Superior univ. completo (048)",271,,,,,52,87,120,12
"Mujeres (050)",2660,114,269,330,248,396,392,612,299
"Sin nivel (051)",323,114,20,2,7,4,5,59,112
"Educación inicial (052)",63,,62,1,,,,,
"Primaria (053)",916,,187,212,11,40,74,245,147
"Secundaria (054)",852,,,115,210,194,145,164,24
"Superior no univ. incompleto (055)",100,,,,15,38,28,16,3
"Superior no univ. completo (056)",209,,,,,58,79,63,9
"Superior univ. incompleto (057)",32,,,,5,14,5,8,
"Superior univ. completo (058)",165,,,,,48,56,57,4
,,,,,,,,,
"RURAL (060)",12518,685,1678,1669,1074,1590,1529,2926,1367
"Sin nivel (061)",2058,685,202,8,19,54,87,464,539
"Educación inicial (062)",364,,343,14,2,3,2,,
"Primaria (063)",5692,,1133,1212,181,343,536,1551,736
"Secundaria (064)",3645,,,435,844,939,669,678,80
"Superior no univ. incompleto (065)",227,,,,21,85,60,59,2
"Superior no univ. completo (066)",275,,,,,96,103,68,8
"Superior univ. incompleto (067)",85,,,,7,27,25,26,
"Superior univ. completo (068)",172,,,,,43,47,80,2
"Hombres (070)",6431,355,856,846,545,861,839,1531,598
"Sin nivel (071)",667,355,100,5,9,21,23,75,79
"Educación inicial (072)",198,,190,7,1,,,,
"Primaria (073)",2792,,566,608,87,116,206,766,443
"Secundaria (074)",2220,,,226,434,559,434,501,66
"Superior no univ. incompleto (075)",163,,,,11,58,44,48,2
"Superior no univ. completo (076)",197,,,,,55,80,56,6
"Superior univ. incompleto (077)",62,,,,3,18,22,19,
"Superior univ. completo (078)",132,,,,,34,30,66,2
"Mujeres (080)",6087,330,822,823,529,729,690,1395,769
"Sin nivel (081)",1391,330,102,3,10,33,64,389,460
"Educación inicial (082)",166,,153,7,1,3,2,,
"Primaria (083)",2900,,567,604,94,227,330,785,293
"Secundaria (084)",1425,,,209,410,380,235,177,14
"Superior no univ. incompleto (085)",64,,,,10,27,16,11,
"Superior no univ. completo (086)",78,,,,,41,23,12,2
"Superior univ. incompleto (087)",23,,,,4,9,3,7,
"Superior univ. completo (088)",40,,,,,9,17,14,
