"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia CHINCHEROS (000)",11750,39,1167,179,201,764,4032,372,448,4150,68,330
"Agric., ganadería, caza y silvicultura (001)",7343,,1,17,,,4032,,2,3291,,
"Explotación de minas y canteras (003)",12,,1,,2,,,2,2,5,,
"Industrias manufactureras (004)",360,1,4,12,1,1,,317,19,5,,
"Suministro de electricidad, gas y agua (005)",7,,2,2,,,,,,3,,
"Construcción (006)",456,,7,4,1,,,9,243,192,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",873,,1,13,2,621,,42,2,192,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",45,,,2,,12,,29,1,1,,
"Comercio al por mayor (009)",25,,1,3,1,18,,,1,1,,
"Comercio al por menor (010)",803,,,8,1,591,,13,,190,,
"Hoteles y restaurantes (011)",241,1,1,5,1,114,,,,119,,
"Trans., almac. y comunicaciones (012)",227,,,6,10,,,2,167,42,,
"Intermediación financiera (013)",21,,2,2,16,,,,1,,,
"Activid.inmobil., empres. y alquileres (014)",91,,37,17,8,5,,,1,23,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",330,30,26,11,126,4,,,9,56,68,
"Enseñanza (016)",1013,7,989,,4,,,,,13,,
"Servicios sociales y de salud (017)",193,,88,77,7,5,,,2,14,,
"Otras activ. serv.comun.soc y personales (018)",95,,6,13,11,14,,,,51,,
"Hogares privados con servicio doméstico (019)",143,,,,,,,,,143,,
"Actividad economica no especificada (021)",345,,2,,12,,,,,1,,330
"Hombres (022)",9290,34,620,118,134,243,3819,302,441,3387,67,125
"Agric., ganadería, caza y silvicultura (023)",6800,,1,15,,,3819,,2,2963,,
"Explotación de minas y canteras (025)",11,,1,,1,,,2,2,5,,
"Industrias manufactureras (026)",282,1,4,10,,1,,247,15,4,,
"Suministro de electricidad, gas y agua (027)",7,,2,2,,,,,,3,,
"Construcción (028)",451,,7,4,1,,,9,241,189,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",341,,1,8,,211,,42,2,77,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",38,,,1,,7,,29,1,,,
"Comercio al por mayor (031)",15,,1,2,,10,,,1,1,,
"Comercio al por menor (032)",288,,,5,,194,,13,,76,,
"Hoteles y restaurantes (033)",37,,1,2,,19,,,,15,,
"Trans., almac. y comunicaciones (034)",213,,,3,6,,,2,166,36,,
"Intermediación financiera (035)",15,,2,,12,,,,1,,,
"Activid.inmobil., empres. y alquileres (036)",78,,34,13,6,5,,,1,19,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",272,27,22,10,89,3,,,9,45,67,
"Enseñanza (038)",529,6,508,,3,,,,,12,,
"Servicios sociales y de salud (039)",85,,30,41,5,2,,,2,5,,
"Otras activ. serv.comun.soc y personales (040)",28,,6,10,4,2,,,,6,,
"Hogares privados con servicio doméstico (041)",8,,,,,,,,,8,,
"Actividad economica no especificada (043)",133,,1,,7,,,,,,,125
"Mujeres (044)",2460,5,547,61,67,521,213,70,7,763,1,205
"Agric., ganadería, caza y silvicultura (045)",543,,,2,,,213,,,328,,
"Explotación de minas y canteras (047)",1,,,,1,,,,,,,
"Industrias manufactureras (048)",78,,,2,1,,,70,4,1,,
"Construcción (050)",5,,,,,,,,2,3,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",532,,,5,2,410,,,,115,,
"Venta, mant.y rep. veh.autom.y motoc. (052)",7,,,1,,5,,,,1,,
"Comercio al por mayor (053)",10,,,1,1,8,,,,,,
"Comercio al por menor (054)",515,,,3,1,397,,,,114,,
"Hoteles y restaurantes (055)",204,1,,3,1,95,,,,104,,
"Trans., almac. y comunicaciones (056)",14,,,3,4,,,,1,6,,
"Intermediación financiera (057)",6,,,2,4,,,,,,,
"Activid.inmobil., empres. y alquileres (058)",13,,3,4,2,,,,,4,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",58,3,4,1,37,1,,,,11,1,
"Enseñanza (060)",484,1,481,,1,,,,,1,,
"Servicios sociales y de salud (061)",108,,58,36,2,3,,,,9,,
"Otras activ. serv.comun.soc y personales (062)",67,,,3,7,12,,,,45,,
"Hogares privados con servicio doméstico (063)",135,,,,,,,,,135,,
"Actividad economica no especificada (065)",212,,1,,5,,,,,1,,205
,,,,,,,,,,,,
"URBANA (066)",4751,26,926,128,164,531,1052,186,241,1275,66,156
"Agric., ganadería, caza y silvicultura (067)",1827,,1,8,,,1052,,1,765,,
"Explotación de minas y canteras (069)",6,,1,,2,,,2,1,,,
"Industrias manufactureras (070)",182,,4,10,1,,,156,8,3,,
"Suministro de electricidad, gas y agua (071)",6,,2,2,,,,,,2,,
"Construcción (072)",177,,7,3,1,,,1,95,70,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",608,,1,12,1,430,,25,1,138,,
"Venta, mant.y rep. veh.autom.y motoc. (074)",29,,,2,,11,,16,,,,
"Comercio al por mayor (075)",18,,1,2,1,13,,,1,,,
"Comercio al por menor (076)",561,,,8,,406,,9,,138,,
"Hoteles y restaurantes (077)",179,1,1,5,1,82,,,,89,,
"Trans., almac. y comunicaciones (078)",166,,,5,9,,,2,124,26,,
"Intermediación financiera (079)",20,,2,2,15,,,,1,,,
"Activid.inmobil., empres. y alquileres (080)",70,,35,13,5,2,,,1,14,,
"Admin.pub. y defensa; p. segur.soc.afil (081)",274,20,25,7,107,2,,,7,40,66,
"Enseñanza (082)",773,5,759,,3,,,,,6,,
"Servicios sociales y de salud (083)",146,,80,51,5,3,,,2,5,,
"Otras activ. serv.comun.soc y personales (084)",68,,6,10,7,12,,,,33,,
"Hogares privados con servicio doméstico (085)",84,,,,,,,,,84,,
"Actividad economica no especificada (087)",165,,2,,7,,,,,,,156
"Hombres (088)",3228,21,490,81,106,168,977,160,236,863,65,61
"Agric., ganadería, caza y silvicultura (089)",1640,,1,8,,,977,,1,653,,
"Explotación de minas y canteras (091)",5,,1,,1,,,2,1,,,
"Industrias manufactureras (092)",149,,4,8,,,,130,5,2,,
"Suministro de electricidad, gas y agua (093)",6,,2,2,,,,,,2,,
"Construcción (094)",175,,7,3,1,,,1,94,69,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",227,,1,7,,148,,25,1,45,,
"Venta, mant.y rep. veh.autom.y motoc. (096)",23,,,1,,6,,16,,,,
"Comercio al por mayor (097)",9,,1,1,,6,,,1,,,
"Comercio al por menor (098)",195,,,5,,136,,9,,45,,
"Hoteles y restaurantes (099)",28,,1,2,,13,,,,12,,
"Trans., almac. y comunicaciones (100)",154,,,3,5,,,2,123,21,,
"Intermediación financiera (101)",14,,2,,11,,,,1,,,
"Activid.inmobil., empres. y alquileres (102)",62,,33,10,4,2,,,1,12,,
"Admin.pub. y defensa; p. segur.soc.afil (103)",220,17,21,6,73,1,,,7,30,65,
"Enseñanza (104)",394,4,382,,2,,,,,6,,
"Servicios sociales y de salud (105)",62,,28,24,4,2,,,2,2,,
"Otras activ. serv.comun.soc y personales (106)",22,,6,8,2,2,,,,4,,
"Hogares privados con servicio doméstico (107)",5,,,,,,,,,5,,
"Actividad economica no especificada (109)",65,,1,,3,,,,,,,61
"Mujeres (110)",1523,5,436,47,58,363,75,26,5,412,1,95
"Agric., ganadería, caza y silvicultura (111)",187,,,,,,75,,,112,,
"Explotación de minas y canteras (113)",1,,,,1,,,,,,,
"Industrias manufactureras (114)",33,,,2,1,,,26,3,1,,
"Construcción (116)",2,,,,,,,,1,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",381,,,5,1,282,,,,93,,
"Venta, mant.y rep. veh.autom.y motoc. (118)",6,,,1,,5,,,,,,
"Comercio al por mayor (119)",9,,,1,1,7,,,,,,
"Comercio al por menor (120)",366,,,3,,270,,,,93,,
"Hoteles y restaurantes (121)",151,1,,3,1,69,,,,77,,
"Trans., almac. y comunicaciones (122)",12,,,2,4,,,,1,5,,
"Intermediación financiera (123)",6,,,2,4,,,,,,,
"Activid.inmobil., empres. y alquileres (124)",8,,2,3,1,,,,,2,,
"Admin.pub. y defensa; p. segur.soc.afil (125)",54,3,4,1,34,1,,,,10,1,
"Enseñanza (126)",379,1,377,,1,,,,,,,
"Servicios sociales y de salud (127)",84,,52,27,1,1,,,,3,,
"Otras activ. serv.comun.soc y personales (128)",46,,,2,5,10,,,,29,,
"Hogares privados con servicio doméstico (129)",79,,,,,,,,,79,,
"Actividad economica no especificada (131)",100,,1,,4,,,,,,,95
,,,,,,,,,,,,
"RURAL (132)",6999,13,241,51,37,233,2980,186,207,2875,2,174
"Agric., ganadería, caza y silvicultura (133)",5516,,,9,,,2980,,1,2526,,
"Explotación de minas y canteras (135)",6,,,,,,,,1,5,,
"Industrias manufactureras (136)",178,1,,2,,1,,161,11,2,,
"Suministro de electricidad, gas y agua (137)",1,,,,,,,,,1,,
"Construcción (138)",279,,,1,,,,8,148,122,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (139)",265,,,1,1,191,,17,1,54,,
"Venta, mant.y rep. veh.autom.y motoc. (140)",16,,,,,1,,13,1,1,,
"Comercio al por mayor (141)",7,,,1,,5,,,,1,,
"Comercio al por menor (142)",242,,,,1,185,,4,,52,,
"Hoteles y restaurantes (143)",62,,,,,32,,,,30,,
"Trans., almac. y comunicaciones (144)",61,,,1,1,,,,43,16,,
"Intermediación financiera (145)",1,,,,1,,,,,,,
