"CUADRO Nº 31: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,,
,,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,,DESOCU-PADO
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA",
,,,,,,,,,,,,,
"Provincia CHUCUITO (000)",47622,62,1948,490,579,4246,17992,1717,3010,12375,246,774,4183
"Agric., ganadería, caza y silvicultura (001)",25083,,9,18,,,17740,1,19,7296,,,
"Pesca (002)",316,,2,,,,252,,,62,,,
"Explotación de minas y canteras (003)",64,,9,1,,,,25,1,28,,,
"Industrias manufactureras (004)",1440,,2,4,2,3,,1367,52,10,,,
"Suministro de electricidad, gas y agua (005)",19,,2,4,1,,,7,,5,,,
"Construcción (006)",1488,,18,15,4,,,59,907,485,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (007)",5168,,3,40,4,3589,,241,11,1280,,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",319,,,1,,125,,182,9,2,,,
"Comercio al por mayor (009)",164,,,2,2,159,,,,1,,,
"Comercio al por menor (010)",4685,,3,37,2,3305,,59,2,1277,,,
"Hoteles y restaurantes (011)",1205,,1,55,10,522,,,,617,,,
"Trans., almac. y comunicaciones (012)",3508,2,1,24,27,10,,6,1960,1478,,,
"Intermediación financiera (013)",48,,,1,32,,,,,15,,,
"Activid.inmobil., empres. y alquileres (014)",241,1,82,43,22,37,,2,20,34,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",988,43,75,50,400,25,,4,35,110,246,,
"Enseñanza (016)",1704,15,1634,1,28,,,,1,25,,,
"Servicios sociales y de salud (017)",308,,91,135,28,21,,3,3,27,,,
"Otras activ. serv.comun.soc y personales (018)",263,1,18,98,4,39,,2,1,100,,,
"Hogares privados con servicio doméstico (019)",803,,,,,,,,,803,,,
"Actividad economica no especificada (021)",793,,1,1,17,,,,,,,774,
"Desocupado (022)",4183,,,,,,,,,,,,4183
"Hombres (023)",29995,53,1439,334,407,1495,13235,969,2944,5454,244,366,3055
"Agric., ganadería, caza y silvicultura (024)",15766,,8,17,,,13054,,19,2668,,,
"Pesca (025)",231,,2,,,,181,,,48,,,
"Explotación de minas y canteras (026)",61,,8,1,,,,25,1,26,,,
"Industrias manufactureras (027)",663,,2,4,1,1,,624,23,8,,,
"Suministro de electricidad, gas y agua (028)",19,,2,4,1,,,7,,5,,,
"Construcción (029)",1464,,17,14,3,,,59,895,476,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (030)",2035,,3,19,3,1294,,238,11,467,,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",253,,,,,61,,181,9,2,,,
"Comercio al por mayor (032)",71,,,2,2,66,,,,1,,,
"Comercio al por menor (033)",1711,,3,17,1,1167,,57,2,464,,,
"Hoteles y restaurantes (034)",211,,1,17,7,95,,,,91,,,
"Trans., almac. y comunicaciones (035)",3385,1,1,14,18,6,,6,1936,1403,,,
"Intermediación financiera (036)",34,,,1,22,,,,,11,,,
"Activid.inmobil., empres. y alquileres (037)",207,,65,42,16,37,,1,20,26,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",814,37,65,36,279,25,,4,34,90,244,,
"Enseñanza (039)",1268,15,1205,1,25,,,,1,21,,,
"Servicios sociales y de salud (040)",167,,42,73,21,13,,3,3,12,,,
"Otras activ. serv.comun.soc y personales (041)",176,,17,90,3,24,,2,1,39,,,
"Hogares privados con servicio doméstico (042)",63,,,,,,,,,63,,,
"Actividad economica no especificada (044)",376,,1,1,8,,,,,,,366,
"Desocupado (045)",3055,,,,,,,,,,,,3055
"Mujeres (046)",17627,9,509,156,172,2751,4757,748,66,6921,2,408,1128
"Agric., ganadería, caza y silvicultura (047)",9317,,1,1,,,4686,1,,4628,,,
"Pesca (048)",85,,,,,,71,,,14,,,
"Explotación de minas y canteras (049)",3,,1,,,,,,,2,,,
"Industrias manufactureras (050)",777,,,,1,2,,743,29,2,,,
"Construcción (052)",24,,1,1,1,,,,12,9,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (053)",3133,,,21,1,2295,,3,,813,,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",66,,,1,,64,,1,,,,,
"Comercio al por mayor (055)",93,,,,,93,,,,,,,
"Comercio al por menor (056)",2974,,,20,1,2138,,2,,813,,,
"Hoteles y restaurantes (057)",994,,,38,3,427,,,,526,,,
"Trans., almac. y comunicaciones (058)",123,1,,10,9,4,,,24,75,,,
"Intermediación financiera (059)",14,,,,10,,,,,4,,,
"Activid.inmobil., empres. y alquileres (060)",34,1,17,1,6,,,1,,8,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",174,6,10,14,121,,,,1,20,2,,
"Enseñanza (062)",436,,429,,3,,,,,4,,,
"Servicios sociales y de salud (063)",141,,49,62,7,8,,,,15,,,
"Otras activ. serv.comun.soc y personales (064)",87,1,1,8,1,15,,,,61,,,
"Hogares privados con servicio doméstico (065)",740,,,,,,,,,740,,,
"Actividad economica no especificada (067)",417,,,,9,,,,,,,408,
"Desocupado (068)",1128,,,,,,,,,,,,1128
,,,,,,,,,,,,,
"URBANA (069)",14071,22,1109,334,343,2722,1593,748,1436,3341,228,328,1867
"Agric., ganadería, caza y silvicultura (070)",2190,,9,11,,,1534,1,4,631,,,
"Pesca (071)",72,,1,,,,59,,,12,,,
"Explotación de minas y canteras (072)",34,,4,1,,,,11,1,17,,,
"Industrias manufactureras (073)",589,,1,2,,1,,555,25,5,,,
"Suministro de electricidad, gas y agua (074)",16,,1,4,1,,,5,,5,,,
"Construcción (075)",600,,9,10,3,,,35,354,189,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (076)",3170,,2,34,2,2290,,130,6,706,,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",176,,,1,,70,,98,5,2,,,
"Comercio al por mayor (078)",111,,,1,2,107,,,,1,,,
"Comercio al por menor (079)",2883,,2,32,,2113,,32,1,703,,,
"Hoteles y restaurantes (080)",775,,1,49,10,347,,,,368,,,
"Trans., almac. y comunicaciones (081)",1981,2,1,20,24,10,,4,999,921,,,
"Intermediación financiera (082)",38,,,,24,,,,,14,,,
"Activid.inmobil., empres. y alquileres (083)",163,1,56,31,17,22,,1,13,22,,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",666,12,53,31,220,14,,3,31,74,228,,
"Enseñanza (085)",915,6,887,1,10,,,,1,10,,,
"Servicios sociales y de salud (086)",207,,69,84,19,13,,1,2,19,,,
"Otras activ. serv.comun.soc y personales (087)",176,1,14,56,3,25,,2,,75,,,
"Hogares privados con servicio doméstico (088)",273,,,,,,,,,273,,,
"Actividad economica no especificada (090)",339,,1,,10,,,,,,,328,
"Desocupado (091)",1867,,,,,,,,,,,,1867
"Hombres (092)",8734,17,763,205,216,949,1182,475,1405,1862,226,158,1276
"Agric., ganadería, caza y silvicultura (093)",1417,,8,10,,,1137,,4,258,,,
"Pesca (094)",54,,1,,,,45,,,8,,,
"Explotación de minas y canteras (095)",34,,4,1,,,,11,1,17,,,
"Industrias manufactureras (096)",303,,1,2,,,,285,10,5,,,
"Suministro de electricidad, gas y agua (097)",16,,1,4,1,,,5,,5,,,
"Construcción (098)",590,,9,9,2,,,35,351,184,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (099)",1234,,2,14,2,814,,129,6,267,,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",137,,,,,32,,98,5,2,,,
"Comercio al por mayor (101)",50,,,1,2,46,,,,1,,,
"Comercio al por menor (102)",1047,,2,13,,736,,31,1,264,,,
"Hoteles y restaurantes (103)",171,,1,15,7,72,,,,76,,,
"Trans., almac. y comunicaciones (104)",1896,1,1,11,15,6,,4,987,871,,,
"Intermediación financiera (105)",25,,,,15,,,,,10,,,
"Activid.inmobil., empres. y alquileres (106)",137,,44,30,12,22,,,13,16,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",545,10,46,21,135,14,,3,30,60,226,,
"Enseñanza (108)",624,6,599,1,8,,,,1,9,,,
"Servicios sociales y de salud (109)",98,,32,36,13,7,,1,2,7,,,
"Otras activ. serv.comun.soc y personales (110)",112,,13,51,2,14,,2,,30,,,
"Hogares privados con servicio doméstico (111)",39,,,,,,,,,39,,,
"Actividad economica no especificada (113)",163,,1,,4,,,,,,,158,
"Desocupado (114)",1276,,,,,,,,,,,,1276
"Mujeres (115)",5337,5,346,129,127,1773,411,273,31,1479,2,170,591
"Agric., ganadería, caza y silvicultura (116)",773,,1,1,,,397,1,,373,,,
"Pesca (117)",18,,,,,,14,,,4,,,
"Industrias manufactureras (119)",286,,,,,1,,270,15,,,,
"Construcción (121)",10,,,1,1,,,,3,5,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (122)",1936,,,20,,1476,,1,,439,,,
"Venta, mant.y rep. veh.autom.y motoc. (123)",39,,,1,,38,,,,,,,
"Comercio al por mayor (124)",61,,,,,61,,,,,,,
"Comercio al por menor (125)",1836,,,19,,1377,,1,,439,,,
"Hoteles y restaurantes (126)",604,,,34,3,275,,,,292,,,
"Trans., almac. y comunicaciones (127)",85,1,,9,9,4,,,12,50,,,
"Intermediación financiera (128)",13,,,,9,,,,,4,,,
"Activid.inmobil., empres. y alquileres (129)",26,1,12,1,5,,,1,,6,,,
"Admin.pub. y defensa; p. segur.soc.afil (130)",121,2,7,10,85,,,,1,14,2,,
"Enseñanza (131)",291,,288,,2,,,,,1,,,
"Servicios sociales y de salud (132)",109,,37,48,6,6,,,,12,,,
"Otras activ. serv.comun.soc y personales (133)",64,1,1,5,1,11,,,,45,,,
"Hogares privados con servicio doméstico (134)",234,,,,,,,,,234,,,
"Actividad economica no especificada (136)",176,,,,6,,,,,,,170,
"Desocupado (137)",591,,,,,,,,,,,,591
,,,,,,,,,,,,,
"RURAL (138)",33551,40,839,156,236,1524,16399,969,1574,9034,18,446,2316
"Agric., ganadería, caza y silvicultura (139)",22893,,,7,,,16206,,15,6665,,,
"Pesca (140)",244,,1,,,,193,,,50,,,
"Explotación de minas y canteras (141)",30,,5,,,,,14,,11,,,
"Industrias manufactureras (142)",851,,1,2,2,2,,812,27,5,,,
"Suministro de electricidad, gas y agua (143)",3,,1,,,,,2,,,,,
"Construcción (144)",888,,9,5,1,,,24,553,296,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (145)",1998,,1,6,2,1299,,111,5,574,,,
"Venta, mant.y rep. veh.autom.y motoc. (146)",143,,,,,55,,84,4,,,,
