"CUADRO Nº 1: POBLACIÓN TOTAL, POR ÁREA URBANA Y RURAL, Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",TOTAL,POBLACIÓN,,TOTAL,URBANA,,TOTAL,RURAL,
,,HOMBRES,MUJERES,,HOMBRES,MUJERES,,HOMBRES,MUJERES
,,,,,,,,,
"Provincia MARISCAL RAMON CASTILLA (000)",54829,29366,25463,16574,8635,7939,38255,20731,17524
"Menores de 1 año (001)",1890,942,948,522,237,285,1368,705,663
"Menores de 1 mes (002)",215,113,102,69,25,44,146,88,58
"De 1 a 11 meses (003)",1675,829,846,453,212,241,1222,617,605
"De 1 a 4 años (004)",7286,3756,3530,1998,1018,980,5288,2738,2550
"1 año (005)",1821,930,891,501,258,243,1320,672,648
"2 años (006)",2002,1067,935,527,271,256,1475,796,679
"3 años (007)",1851,902,949,498,233,265,1353,669,684
"4 años (008)",1612,857,755,472,256,216,1140,601,539
"De 5 a 9 años (009)",6839,3479,3360,1890,927,963,4949,2552,2397
"5 años (010)",1467,766,701,408,206,202,1059,560,499
"6 años (011)",1294,629,665,342,169,173,952,460,492
"7 años (012)",1301,663,638,350,151,199,951,512,439
"8 años (013)",1431,737,694,402,217,185,1029,520,509
"9 años (014)",1346,684,662,388,184,204,958,500,458
"De 10 a 14 años (015)",7044,3654,3390,2073,1051,1022,4971,2603,2368
"10 años (016)",1374,695,679,341,187,154,1033,508,525
"11 años (017)",1300,688,612,326,161,165,974,527,447
"12 años (018)",1585,861,724,437,236,201,1148,625,523
"13 años (019)",1437,711,726,490,224,266,947,487,460
"14 años (020)",1348,699,649,479,243,236,869,456,413
"De 15 a 19 años (021)",6293,3365,2928,2039,1095,944,4254,2270,1984
"15 años (022)",1392,722,670,475,254,221,917,468,449
"16 años (023)",1230,615,615,400,204,196,830,411,419
"17 años (024)",1257,669,588,404,218,186,853,451,402
"18 años (025)",1311,743,568,407,236,171,904,507,397
"19 años (026)",1103,616,487,353,183,170,750,433,317
"De 20 a 24 años (027)",5082,2768,2314,1553,797,756,3529,1971,1558
"20 años (028)",1199,665,534,358,197,161,841,468,373
"21 años (029)",823,438,385,259,134,125,564,304,260
"22 años (030)",1070,579,491,302,148,154,768,431,337
"23 años (031)",1014,562,452,298,151,147,716,411,305
"24 años (032)",976,524,452,336,167,169,640,357,283
"De 25 a 29 años (033)",4166,2220,1946,1341,684,657,2825,1536,1289
"25 años (034)",972,503,469,312,153,159,660,350,310
"26 años (035)",828,454,374,263,135,128,565,319,246
"27 años (036)",891,477,414,286,155,131,605,322,283
"28 años (037)",787,402,385,240,112,128,547,290,257
"29 años (038)",688,384,304,240,129,111,448,255,193
"De 30 a 34 años (039)",3278,1796,1482,1126,567,559,2152,1229,923
"30 años (040)",946,520,426,322,159,163,624,361,263
"31 años (041)",478,262,216,175,82,93,303,180,123
"32 años (042)",666,360,306,226,112,114,440,248,192
"33 años (043)",603,333,270,216,113,103,387,220,167
"34 años (044)",585,321,264,187,101,86,398,220,178
