"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia ASUNCION (000)",2370,24,685,879,568,214
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",3,,,2,1,
"Profes., científicos e intelectuales (002)",273,,52,182,39,
"Técnicos de nivel medio y trab.asimilados (003)",56,,23,24,9,
"Jefes y empleados de oficina (004)",45,,12,25,8,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",148,3,43,46,42,14
"Agricult.trabaj. calif. agrop. y pesqueros (006)",767,2,130,227,281,127
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",221,,93,105,18,5
"Obreros construc., conf., papel, fab., instr. (008)",108,1,35,52,17,3
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",536,18,218,148,110,42
"Otra (010)",6,,3,2,1,
"Ocupación no especificada (011)",115,,37,33,29,16
"Desocupado (012)",92,,39,33,13,7
"Hombres (013)",1771,16,491,641,454,169
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",2,,,2,,
"Profes., científicos e intelectuales (015)",141,,16,99,26,
"Técnicos de nivel medio y trab.asimilados (016)",31,,13,11,7,
"Jefes y empleados de oficina (017)",22,,4,12,6,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",58,,16,18,18,6
"Agricult.trabaj. calif. agrop. y pesqueros (019)",749,2,129,221,276,121
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",201,,88,92,17,4
"Obreros construc., conf., papel, fab., instr. (021)",107,1,35,52,17,2
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",348,13,153,97,64,21
"Otra (023)",6,,3,2,1,
"Ocupación no especificada (024)",29,,2,8,11,8
"Desocupado (025)",77,,32,27,11,7
"Mujeres (026)",599,8,194,238,114,45
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",1,,,,1,
"Profes., científicos e intelectuales (028)",132,,36,83,13,
"Técnicos de nivel medio y trab.asimilados (029)",25,,10,13,2,
"Jefes y empleados de oficina (030)",23,,8,13,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",90,3,27,28,24,8
"Agricult.trabaj. calif. agrop. y pesqueros (032)",18,,1,6,5,6
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",20,,5,13,1,1
"Obreros construc., conf., papel, fab., instr. (034)",1,,,,,1
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (035)",188,5,65,51,46,21
