"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CHUCUITO (000)",46602,44605,15855,5584,5684,4449,6396,3880,1875,882,1997,108888
"De 12 a 14 años (001)",4381,4361,4352,6,3,,,,,,20,12
"De 15 a 19 años (002)",6484,6382,5765,523,83,9,2,,,,102,724
"De 20 a 24 años (003)",5680,5108,2478,1567,812,201,42,8,,,572,4021
"De 25 a 29 años (004)",5257,4707,1078,1276,1338,697,293,22,3,,550,7440
"De 30 a 34 años (005)",4109,3839,536,650,1022,796,692,120,17,6,270,9026
"De 35 a 39 años (006)",3888,3746,368,452,766,759,1012,314,63,12,142,11322
"De 40 a 44 años (007)",3175,3093,259,250,471,520,936,482,148,27,82,11516
"De 45 a 49 años (008)",2810,2748,177,213,350,395,814,516,223,60,62,11555
"De 50 y más años (009)",10818,10621,842,647,839,1072,2605,2418,1421,777,197,53272
"Sin nivel (010)",6772,6601,637,392,497,614,1609,1467,888,497,171,32792
"De 12 a 14 años (011)",15,15,14,1,,,,,,,,1
"De 15 a 19 años (012)",42,42,32,6,3,1,,,,,,15
"De 20 a 24 años (013)",52,43,25,10,7,,1,,,,9,28
"De 25 a 29 años (014)",84,76,24,15,17,9,9,2,,,8,124
"De 30 a 34 años (015)",115,97,18,15,13,17,23,7,2,2,18,275
"De 35 a 39 años (016)",157,150,21,16,20,25,44,17,7,,7,495
"De 40 a 44 años (017)",274,267,21,18,20,19,98,59,29,3,7,1208
"De 45 a 49 años (018)",408,398,24,24,47,47,95,90,57,14,10,1895
"De 50 y más años (019)",5625,5513,458,287,370,496,1339,1292,793,478,112,28751
"Educacion Inicial (020)",41,37,16,5,5,3,5,2,,1,4,73
"De 12 a 14 años (021)",5,4,4,,,,,,,,1,
