"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"De 40 a 44 años (077)",4022,3944,179,425,1042,918,1014,270,83,13,78,12228
"De 45 a 49 años (078)",3178,3153,140,310,616,659,895,367,129,37,25,11260
"De 50 y más años (079)",5184,5149,158,389,663,771,1424,983,484,277,35,23859
"Ocupada (080)",34013,32232,7660,6009,6766,4393,4534,1814,722,334,1781,73890
"De 12 a 14 años (081)",345,344,339,5,,,,,,,1,5
"De 15 a 19 años (082)",2304,2259,2052,182,23,1,1,,,,45,235
"De 20 a 24 años (083)",4619,4022,2383,1218,341,54,18,8,,,597,2187
"De 25 a 29 años (084)",5129,4512,1419,1557,1071,328,123,9,5,,617,5297
"De 30 a 34 años (085)",5004,4721,706,1228,1587,740,408,45,7,,283,8701
"De 35 a 39 años (086)",4566,4458,312,731,1490,981,735,164,30,15,108,11275
"De 40 a 44 años (087)",3905,3830,171,411,1008,889,991,268,79,13,75,11908
"De 45 a 49 años (088)",3071,3049,128,300,595,643,863,358,126,36,22,10920
"De 50 y más años (089)",5070,5037,150,377,651,757,1395,962,475,270,33,23362
"Desocupada (090)",2448,2187,1094,401,300,177,145,42,19,9,261,2702
"De 12 a 14 años (091)",28,28,27,1,,,,,,,,1
"De 15 a 19 años (092)",369,364,339,23,2,,,,,,5,27
"De 20 a 24 años (093)",630,546,409,103,24,9,1,,,,84,182
"De 25 a 29 años (094)",537,414,196,126,64,22,5,,1,,123,350
"De 30 a 34 años (095)",330,298,68,69,89,46,22,3,,1,32,506
"De 35 a 39 años (096)",216,207,27,43,54,41,33,7,2,,9,479
"De 40 a 44 años (097)",117,114,8,14,34,29,23,2,4,,3,320
"De 45 a 49 años (098)",107,104,12,10,21,16,32,9,3,1,3,340
"De 50 y más años (099)",114,112,8,12,12,14,29,21,9,7,2,497
"No PEA (100)",49319,47496,21806,5917,6290,4427,5178,2314,1061,503,1823,83859
"De 12 a 14 años (101)",7378,7345,7319,24,2,,,,,,33,28
"De 15 a 19 años (102)",9634,9537,9047,426,40,14,10,,,,97,588
"De 20 a 24 años (103)",7068,6236,3678,1822,597,110,27,2,,,832,3471
"De 25 a 29 años (104)",5132,4664,915,1604,1462,507,169,7,,,468,6796
"De 30 a 34 años (105)",4368,4214,290,861,1509,925,549,70,6,4,154,9528
"De 35 a 39 años (106)",3683,3630,151,416,1070,893,867,196,30,7,53,10544
"De 40 a 44 años (107)",2794,2730,122,206,576,601,850,274,85,16,64,9533
"De 45 a 49 años (108)",2259,2230,58,159,334,430,732,340,125,52,29,9142
"De 50 y más años (109)",7003,6910,226,399,700,947,1974,1425,815,424,93,34229
,,,,,,,,,,,,
"RURAL (120)",8019,7841,2521,752,792,715,1263,883,593,322,178,24327
"De 12 a 14 años (121)",760,759,759,,,,,,,,1,
"De 15 a 19 años (122)",991,985,904,64,16,,1,,,,6,100
"De 20 a 24 años (123)",832,774,387,226,122,29,9,1,,,58,600
"De 25 a 29 años (124)",644,597,142,132,155,101,63,3,1,,47,1039
"De 30 a 34 años (125)",603,578,77,75,131,126,134,32,3,,25,1519
"De 35 a 39 años (126)",579,567,48,62,76,111,180,64,22,4,12,1967
"De 40 a 44 años (127)",552,545,37,47,60,90,166,84,48,13,7,2258
"De 45 a 49 años (128)",536,529,37,31,53,56,135,115,74,28,7,2575
"De 50 y más años (129)",2522,2507,130,115,179,202,575,584,445,277,15,14269
"PEA (130)",3707,3606,828,405,409,368,654,445,313,184,101,12737
"De 12 a 14 años (131)",45,45,45,,,,,,,,,
"De 15 a 19 años (132)",302,299,266,27,6,,,,,,3,39
"De 20 a 24 años (133)",435,404,222,114,53,12,3,,,,31,268
"De 25 a 29 años (134)",329,303,86,75,70,41,30,1,,,26,472
