"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ASUNCION (000)",2278,1781,149,217,131
"Agric., ganadería, caza y silvicultura (001)",1065,1031,26,5,3
"Explotación de minas y canteras (003)",9,5,1,,3
"Industrias manufactureras (004)",202,136,13,23,30
"Suministro de electricidad, gas y agua (005)",9,,2,7,
"Construcción (006)",123,65,22,30,6
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",154,147,7,,
"Venta, mant.y rep. veh.autom y motoc. (008)",17,13,4,,
"Comercio al por mayor (009)",3,3,,,
"Comercio al por menor (010)",134,131,3,,
"Hoteles y restaurantes (011)",57,54,2,1,
"Trans., almac. y comunicaciones (012)",27,23,1,2,1
"Intermediación financiera (013)",1,1,,,
"Activid.inmobil., empres. y alquileres (014)",53,25,9,15,4
"Admin.pub. y defensa; p. segur soc.afil (015)",32,,,,32
"Enseñanza (016)",233,68,52,110,3
"Servicios sociales y de salud (017)",58,6,4,3,45
"Otras activ. serv.comun.soc y personales (018)",70,41,6,19,4
"Hogares privados con servicio doméstico (019)",69,69,,,
"Actividad economica no especificada (021)",116,110,4,2,
"Hombres (022)",1694,1348,102,160,84
"Agric., ganadería, caza y silvicultura (023)",978,949,21,5,3
"Explotación de minas y canteras (025)",9,5,1,,3
"Industrias manufactureras (026)",180,121,8,21,30
"Suministro de electricidad, gas y agua (027)",9,,2,7,
"Construcción (028)",118,64,20,28,6
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",82,75,7,,
"Venta, mant.y rep. veh.autom y motoc. (030)",17,13,4,,
"Comercio al por mayor (031)",2,2,,,
"Comercio al por menor (032)",63,60,3,,
"Hoteles y restaurantes (033)",15,14,1,,
"Trans., almac. y comunicaciones (034)",23,21,,1,1
"Activid.inmobil., empres. y alquileres (036)",37,19,4,11,3
"Admin.pub. y defensa; p. segur soc.afil (037)",25,,,,25
"Enseñanza (038)",128,31,28,67,2
"Servicios sociales y de salud (039)",9,1,1,,7
"Otras activ. serv.comun.soc y personales (040)",46,18,6,18,4
"Hogares privados con servicio doméstico (041)",5,5,,,
"Actividad economica no especificada (043)",30,25,3,2,
"Mujeres (044)",584,433,47,57,47
"Agric., ganadería, caza y silvicultura (045)",87,82,5,,
"Industrias manufactureras (048)",22,15,5,2,
"Construcción (050)",5,1,2,2,
