"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia MOHO (000)",27342,7478,19864
"Casa independiente (001)",24317,7373,16944
"Departamento en edificio (002)",5,5,
"Vivienda en quinta (003)",13,13,
"Vivienda en casa de vecindad (004)",76,76,
"Choza o cabaña (005)",2908,,2908
"Local no dest.para hab. humana (007)",17,11,6
"Otro tipo (008)",6,,6
