"CUADRO Nº 18: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia VICTOR FAJARDO (000)",8126,1150,1770,3969,82,1098,57
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",44,44,,,,,
"Profes., científicos e intelectuales (002)",636,575,,59,2,,
"Técnicos de nivel medio y trab. asimilados (003)",164,141,,16,4,3,
"Jefes y empleados de oficina (004)",225,225,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",514,27,13,431,5,38,
"Agricult.trabaj. calif.agrop. y pesqueros (006)",3030,1,2,2971,56,,
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",433,,333,92,3,5,
"Obreros construc.,conf., papel, fab., instr. (008)",412,17,248,131,8,8,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (009)",2402,95,1139,135,1,975,57
"Otra (010)",1,1,,,,,
"Ocupación no especificada (011)",265,24,35,134,3,69,
"Hombres (012)",5453,765,1432,2706,55,495,
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",32,32,,,,,
"Profes., científicos e intelectuales (014)",409,384,,24,1,,
"Técnicos de nivel medio y trab. asimilados (015)",122,108,,12,1,1,
"Jefes y empleados de oficina (016)",145,145,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",124,13,6,96,2,7,
"Agricult.trabaj. calif.agrop. y pesqueros (018)",2324,1,1,2281,41,,
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",407,,327,74,2,4,
"Obreros construc.,conf., papel, fab., instr. (020)",399,17,241,127,7,7,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (021)",1395,52,838,44,,461,
"Otra (022)",1,1,,,,,
"Ocupación no especificada (023)",95,12,19,48,1,15,
"Mujeres (024)",2673,385,338,1263,27,603,57
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",12,12,,,,,
"Profes., científicos e intelectuales (026)",227,191,,35,1,,
"Técnicos de nivel medio y trab. asimilados (027)",42,33,,4,3,2,
"Jefes y empleados de oficina (028)",80,80,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",390,14,7,335,3,31,
"Agricult.trabaj. calif.agrop. y pesqueros (030)",706,,1,690,15,,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",26,,6,18,1,1,
"Obreros construc.,conf., papel, fab., instr. (032)",13,,7,4,1,1,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (033)",1007,43,301,91,1,514,57
"Ocupación no especificada (035)",170,12,16,86,2,54,
,,,,,,,
"URBANA (036)",6342,1035,1493,2853,72,834,55
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",42,42,,,,,
"Profes., científicos e intelectuales (038)",550,504,,44,2,,
"Técnicos de nivel medio y trab. asimilados (039)",152,131,,16,4,1,
"Jefes y empleados de oficina (040)",207,207,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",470,25,11,395,4,35,
"Agricult.trabaj. calif.agrop. y pesqueros (042)",2032,1,,1981,50,,
"Obreros y oper.minas, cant., ind.manuf.y otros (043)",408,,314,87,3,4,
"Obreros construc.,conf., papel, fab., instr. (044)",332,15,210,96,5,6,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (045)",1939,89,926,125,1,743,55
"Otra (046)",1,1,,,,,
"Ocupación no especificada (047)",209,20,32,109,3,45,
"Hombres (048)",4162,687,1220,1857,46,352,
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",30,30,,,,,
"Profes., científicos e intelectuales (050)",353,339,,13,1,,
"Técnicos de nivel medio y trab. asimilados (051)",116,103,,12,1,,
"Jefes y empleados de oficina (052)",128,128,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",108,11,4,86,1,6,
"Agricult.trabaj. calif.agrop. y pesqueros (054)",1540,1,,1504,35,,
"Obreros y oper.minas, cant., ind.manuf.y otros (055)",383,,308,70,2,3,
"Obreros construc.,conf., papel, fab., instr. (056)",324,15,206,92,5,6,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (057)",1100,48,686,38,,328,
"Otra (058)",1,1,,,,,
"Ocupación no especificada (059)",79,11,16,42,1,9,
"Mujeres (060)",2180,348,273,996,26,482,55
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",12,12,,,,,
"Profes., científicos e intelectuales (062)",197,165,,31,1,,
"Técnicos de nivel medio y trab. asimilados (063)",36,28,,4,3,1,
"Jefes y empleados de oficina (064)",79,79,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",362,14,7,309,3,29,
"Agricult.trabaj. calif.agrop. y pesqueros (066)",492,,,477,15,,
"Obreros y oper.minas, cant., ind.manuf.y otros (067)",25,,6,17,1,1,
"Obreros construc.,conf., papel, fab., instr. (068)",8,,4,4,,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (069)",839,41,240,87,1,415,55
"Ocupación no especificada (071)",130,9,16,67,2,36,
,,,,,,,
"RURAL (072)",1784,115,277,1116,10,264,2
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",2,2,,,,,
"Profes., científicos e intelectuales (074)",86,71,,15,,,
"Técnicos de nivel medio y trab. asimilados (075)",12,10,,,,2,
"Jefes y empleados de oficina (076)",18,18,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",44,2,2,36,1,3,
"Agricult.trabaj. calif.agrop. y pesqueros (078)",998,,2,990,6,,
"Obreros y oper.minas, cant., ind.manuf.y otros (079)",25,,19,5,,1,
"Obreros construc.,conf., papel, fab., instr. (080)",80,2,38,35,3,2,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (081)",463,6,213,10,,232,2
"Ocupación no especificada (083)",56,4,3,25,,24,
"Hombres (084)",1291,78,212,849,9,143,
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",2,2,,,,,
"Profes., científicos e intelectuales (086)",56,45,,11,,,
"Técnicos de nivel medio y trab. asimilados (087)",6,5,,,,1,
"Jefes y empleados de oficina (088)",17,17,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",16,2,2,10,1,1,
"Agricult.trabaj. calif.agrop. y pesqueros (090)",784,,1,777,6,,
"Obreros y oper.minas, cant., ind.manuf.y otros (091)",24,,19,4,,1,
"Obreros construc.,conf., papel, fab., instr. (092)",75,2,35,35,2,1,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (093)",295,4,152,6,,133,
"Ocupación no especificada (095)",16,1,3,6,,6,
"Mujeres (096)",493,37,65,267,1,121,2
"Profes., científicos e intelectuales (098)",30,26,,4,,,
"Técnicos de nivel medio y trab. asimilados (099)",6,5,,,,1,
"Jefes y empleados de oficina (100)",1,1,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (101)",28,,,26,,2,
"Agricult.trabaj. calif.agrop. y pesqueros (102)",214,,1,213,,,
