"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia TRUJILLO (000)",316229,198882,35640,35031,46676
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",990,129,309,250,302
"Profes., científicos e intelectuales (002)",40211,10916,5670,10076,13549
"Técnicos de nivel medio y trab. asimilados (003)",23352,11420,3079,3816,5037
"Jefes y empleados de oficina (004)",18184,4440,2563,3901,7280
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",62600,51969,5396,3298,1937
"Agricult.trabaj.calif.agrop.y pesqueros (006)",6920,6194,549,83,94
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",45824,28472,8177,4632,4543
"Obreros construc.,conf.,papel, fab., instr. (008)",42366,29520,4177,3866,4803
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",68309,52117,5096,4558,6538
"Otra (010)",1804,,,,1804
"Ocupación no especificada (011)",5669,3705,624,551,789
"Hombres (012)",197197,119763,24745,22718,29971
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",670,89,178,171,232
"Profes., científicos e intelectuales (014)",19878,6045,2532,4262,7039
"Técnicos de nivel medio y trab. asimilados (015)",14523,7349,1950,2424,2800
"Jefes y empleados de oficina (016)",8936,1873,1227,2079,3757
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",27304,20692,2957,2094,1561
"Agricult.trabaj.calif.agrop.y pesqueros (018)",6155,5527,473,72,83
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",36974,23255,6972,3826,2921
"Obreros construc.,conf.,papel, fab., instr. (020)",41090,28672,4060,3722,4636
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",36871,24441,3973,3700,4757
"Otra (022)",1677,,,,1677
"Ocupación no especificada (023)",3119,1820,423,368,508
"Mujeres (024)",119032,79119,10895,12313,16705
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",320,40,131,79,70
"Profes., científicos e intelectuales (026)",20333,4871,3138,5814,6510
"Técnicos de nivel medio y trab. asimilados (027)",8829,4071,1129,1392,2237
"Jefes y empleados de oficina (028)",9248,2567,1336,1822,3523
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",35296,31277,2439,1204,376
"Agricult.trabaj.calif.agrop.y pesqueros (030)",765,667,76,11,11
