"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia PAUCARTAMBO (000)",495,13,252,164,56,10
"Sin nivel (001)",39,,7,16,13,3
"Educación inicial (002)",4,1,1,2,,
"Primaria (003)",238,10,97,92,32,7
"Secundaria (004)",190,2,128,49,11,
"Superior no univ. incompleta (005)",4,,2,2,,
"Superior no univ. completa (006)",17,,14,3,,
"Superior univ. completa (008)",3,,3,,,
"Hombres (010)",388,7,180,142,52,7
"Sin nivel (011)",29,,5,13,11,
"Educación inicial (012)",2,,1,1,,
"Primaria (013)",193,5,68,83,30,7
"Secundaria (014)",150,2,95,42,11,
"Superior no univ. incompleta (015)",2,,2,,,
"Superior no univ. completa (016)",10,,7,3,,
"Superior univ. completa (018)",2,,2,,,
"Mujeres (020)",107,6,72,22,4,3
"Sin nivel (021)",10,,2,3,2,3
"Educación inicial (022)",2,1,,1,,
"Primaria (023)",45,5,29,9,2,
"Secundaria (024)",40,,33,7,,
"Superior no univ. incompleta (025)",2,,,2,,
"Superior no univ. completa (026)",7,,7,,,
"Superior univ. completa (028)",1,,1,,,
,,,,,,
"Area Urbana (030)",206,4,93,80,24,5
"Sin nivel (031)",12,,1,4,6,1
"Primaria (033)",74,2,19,40,9,4
"Secundaria (034)",102,2,59,32,9,
"Superior no univ. incompleta (035)",4,,2,2,,
"Superior no univ. completa (036)",11,,9,2,,
"Superior univ. completa (038)",3,,3,,,
"Hombres (040)",163,4,67,66,22,4
"Sin nivel (041)",8,,,3,5,
"Primaria (043)",61,2,13,34,8,4
"Secundaria (044)",83,2,45,27,9,
"Superior no univ. incompleta (045)",2,,2,,,
"Superior no univ. completa (046)",7,,5,2,,
"Superior univ. completa (048)",2,,2,,,
"Mujeres (050)",43,,26,14,2,1
"Sin nivel (051)",4,,1,1,1,1
"Primaria (053)",13,,6,6,1,
"Secundaria (054)",19,,14,5,,
"Superior no univ. incompleta (055)",2,,,2,,
"Superior no univ. completa (056)",4,,4,,,
"Superior univ. completa (058)",1,,1,,,
,,,,,,
"Area Rural (060)",289,9,159,84,32,5
"Sin nivel (061)",27,,6,12,7,2
"Educación inicial (062)",4,1,1,2,,
"Primaria (063)",164,8,78,52,23,3
"Secundaria (064)",88,,69,17,2,
"Superior no univ. completa (066)",6,,5,1,,
"Hombres (070)",225,3,113,76,30,3
"Sin nivel (071)",21,,5,10,6,
"Educación inicial (072)",2,,1,1,,
"Primaria (073)",132,3,55,49,22,3
"Secundaria (074)",67,,50,15,2,
"Superior no univ. completa (076)",3,,2,1,,
"Mujeres (080)",64,6,46,8,2,2
"Sin nivel (081)",6,,1,2,1,2
"Educación inicial (082)",2,1,,1,,
"Primaria (083)",32,5,23,3,1,
"Secundaria (084)",21,,19,2,,
"Superior no univ. completa (086)",3,,3,,,
