"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CUSCO (000)",154514,101703,16808,16179,19824
"Hombres (001)",85755,53625,10373,9522,12235
"Mujeres (002)",68759,48078,6435,6657,7589
"De 06 a 14 años (003)",2412,2180,177,44,11
"Hombres (004)",1277,1115,118,33,11
"Mujeres (005)",1135,1065,59,11,
"De 15 a 29 años (006)",53225,36307,7028,5373,4517
"Hombres (007)",28888,18955,4327,3102,2504
"Mujeres (008)",24337,17352,2701,2271,2013
"De 30 a 44 años (009)",58106,36009,6141,7013,8943
"Hombres (010)",32028,18800,3633,4019,5576
"Mujeres (011)",26078,17209,2508,2994,3367
"De 45 a 64 años (012)",35534,22823,3122,3524,6065
"Hombres (013)",20340,12208,2048,2186,3898
"Mujeres (014)",15194,10615,1074,1338,2167
"De 65 y más años (015)",5237,4384,340,225,288
"Hombres (016)",3222,2547,247,182,246
"Mujeres (017)",2015,1837,93,43,42
,,,,,
"URBANA (018)",149075,97226,16233,15956,19660
"Hombres (019)",81917,50570,9903,9339,12105
"Mujeres (020)",67158,46656,6330,6617,7555
"De 06 a 14 años (021)",2260,2037,170,42,11
"Hombres (022)",1186,1030,113,32,11
"Mujeres (023)",1074,1007,57,10,
"De 15 a 29 años (024)",51528,34980,6819,5272,4457
"Hombres (025)",27717,18083,4154,3024,2456
"Mujeres (026)",23811,16897,2665,2248,2001
"De 30 a 44 años (027)",56042,34321,5927,6928,8866
"Hombres (028)",30549,17626,3464,3944,5515
"Mujeres (029)",25493,16695,2463,2984,3351
"De 45 a 64 años (030)",34345,21810,3005,3491,6039
"Hombres (031)",19472,11489,1947,2158,3878
"Mujeres (032)",14873,10321,1058,1333,2161
"De 65 y más años (033)",4900,4078,312,223,287
"Hombres (034)",2993,2342,225,181,245
"Mujeres (035)",1907,1736,87,42,42
,,,,,
"RURAL (036)",5439,4477,575,223,164
"Hombres (037)",3838,3055,470,183,130
"Mujeres (038)",1601,1422,105,40,34
"De 06 a 14 años (039)",152,143,7,2,
"Hombres (040)",91,85,5,1,
"Mujeres (041)",61,58,2,1,
"De 15 a 29 años (042)",1697,1327,209,101,60
"Hombres (043)",1171,872,173,78,48
"Mujeres (044)",526,455,36,23,12
"De 30 a 44 años (045)",2064,1688,214,85,77
"Hombres (046)",1479,1174,169,75,61
"Mujeres (047)",585,514,45,10,16
"De 45 a 64 años (048)",1189,1013,117,33,26
"Hombres (049)",868,719,101,28,20
"Mujeres (050)",321,294,16,5,6
"De 65 y más años (051)",337,306,28,2,1
"Hombres (052)",229,205,22,1,1
"Mujeres (053)",108,101,6,1,
