"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUARAL (000)",65858,44339,7578,6212,7729
"Agric., ganadería, caza y silvicultura (001)",20852,14098,3628,2098,1028
"Pesca (002)",700,472,64,89,75
"Explotación de minas y canteras (003)",261,20,21,76,144
"Industrias manufactureras (004)",4311,2360,451,561,939
"Suministro de electricidad, gas y agua (005)",259,26,11,90,132
"Construcción (006)",3028,2214,429,251,134
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",12664,11311,786,366,201
"Venta, mant.y rep. veh.autom y motoc. (008)",1206,968,153,50,35
"Comercio al por mayor (009)",956,565,111,114,166
"Comercio al por menor (010)",10502,9778,522,202,
"Hoteles y restaurantes (011)",3055,2579,313,132,31
"Trans., almac. y comunicaciones (012)",6203,4728,478,520,477
"Intermediación financiera (013)",234,30,38,125,41
"Activid.inmobil., empres. y alquileres (014)",2756,1336,352,483,585
"Admin.pub. y defensa; p. segur soc.afil (015)",1647,,,,1647
"Enseñanza (016)",3241,418,448,989,1386
"Servicios sociales y de salud (017)",924,263,49,40,572
"Otras activ. serv.comun.soc y personales (018)",2443,1660,330,256,197
"Hogares privados con servicio doméstico (019)",1834,1834,,,
"Organiz. y organos extraterritoriales (020)",5,,3,,2
"Actividad economica no especificada (021)",1441,990,177,136,138
"Hombres (022)",43411,28889,5196,4271,5055
"Agric., ganadería, caza y silvicultura (023)",15710,11052,2471,1438,749
"Pesca (024)",686,465,61,87,73
"Explotación de minas y canteras (025)",251,18,20,75,138
"Industrias manufactureras (026)",3221,1727,353,453,688
"Suministro de electricidad, gas y agua (027)",240,23,11,83,123
"Construcción (028)",2983,2187,422,244,130
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",6412,5487,506,258,161
"Venta, mant.y rep. veh.autom y motoc. (030)",1119,913,131,41,34
"Comercio al por mayor (031)",597,312,71,87,127
"Comercio al por menor (032)",4696,4262,304,130,
"Hoteles y restaurantes (033)",997,765,141,73,18
"Trans., almac. y comunicaciones (034)",5834,4476,443,473,442
"Intermediación financiera (035)",125,17,16,73,19
"Activid.inmobil., empres. y alquileres (036)",2027,947,252,371,457
"Admin.pub. y defensa; p. segur soc.afil (037)",1084,,,,1084
"Enseñanza (038)",1196,130,150,360,556
"Servicios sociales y de salud (039)",293,96,15,8,174
