"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CHINCHEROS (000)",18268,17806,5374,1796,1724,1519,2511,2027,1490,1365,462,61971
"De 12 a 14 años (001)",2320,2309,2300,9,,,,,,,11,9
"De 15 a 19 años (002)",2466,2416,2106,258,48,3,1,,,,50,367
"De 20 a 24 años (003)",1717,1591,441,601,381,132,32,4,,,126,1920
"De 25 a 29 años (004)",1613,1512,154,321,444,345,227,21,,,101,3346
"De 30 a 34 años (005)",1596,1544,78,210,329,342,412,140,29,4,52,4854
"De 35 a 39 años (006)",1545,1512,44,101,173,238,518,320,98,20,33,6565
"De 40 a 44 años (007)",1298,1286,31,50,83,136,340,336,220,90,12,7145
"De 45 a 49 años (008)",1107,1096,23,38,49,71,255,266,218,176,11,7002
"De 50 y más años (009)",4606,4540,197,208,217,252,726,940,925,1075,66,30763
"Conviviente (010)",3095,3008,243,861,699,432,412,206,91,64,87,8162
"De 12 a 14 años (011)",17,8,4,4,,,,,,,9,4
"De 15 a 19 años (012)",303,264,79,152,32,1,,,,,39,219
"De 20 a 24 años (013)",784,761,69,367,235,78,11,1,,,23,1123
"De 25 a 29 años (014)",675,666,47,167,207,141,98,6,,,9,1457
"De 30 a 34 años (015)",503,497,13,97,119,111,116,36,5,,6,1443
"De 35 a 39 años (016)",313,313,8,37,62,52,85,50,16,3,,1173
"De 40 a 44 años (017)",170,170,1,11,20,26,44,43,17,8,,837
"De 45 a 49 años (018)",104,104,5,4,13,7,23,23,14,15,,590
"De 50 y más años (019)",226,225,17,22,11,16,35,47,39,38,1,1316
"Separado(a) (020)",663,650,10,208,138,68,99,70,36,21,13,2110
"De 12 a 14 años (021)",1,1,,1,,,,,,,,1
"De 15 a 19 años (022)",57,51,,46,5,,,,,,6,56
"De 20 a 24 años (023)",93,89,1,62,21,3,1,1,,,4,124
