"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia SANTA CRUZ (000)",26915,12450,276,598,12500,418,7,96,,570
"Hombres (001)",9939,6610,199,462,2005,221,5,54,,383
"Mujeres (002)",16976,5840,77,136,10495,197,2,42,,187
"De 06 a 14 años (003)",9860,9453,,,232,69,,6,,100
"Hombres (004)",5005,4859,,,56,38,,4,,48
"Mujeres (005)",4855,4594,,,176,31,,2,,52
"De 15 a 29 años (006)",6513,2933,4,131,3248,,2,33,,162
"Hombres (007)",2446,1724,3,104,492,,2,18,,103
"Mujeres (008)",4067,1209,1,27,2756,,,15,,59
"De 30 a 44 años (009)",3955,47,9,128,3627,,2,24,,118
"Hombres (010)",750,21,4,103,514,,1,16,,91
"Mujeres (011)",3205,26,5,25,3113,,1,8,,27
"De 45 a 64 años (012)",3643,15,72,134,3302,6,2,14,,98
"Hombres (013)",714,4,51,102,464,6,1,9,,77
"Mujeres (014)",2929,11,21,32,2838,,1,5,,21
"De 65 y más años (015)",2944,2,191,205,2091,343,1,19,,92
"Hombres (016)",1024,2,141,153,479,177,1,7,,64
"Mujeres (017)",1920,,50,52,1612,166,,12,,28
,,,,,,,,,,
"AREA URBANA (018)",4996,2614,96,103,1970,86,4,11,,112
"Hombres (019)",1936,1336,61,61,362,42,3,7,,64
"Mujeres (020)",3060,1278,35,42,1608,44,1,4,,48
"De 06 a 14 años (021)",1850,1788,,,35,12,,,,15
"Hombres (022)",937,911,,,14,4,,,,8
"Mujeres (023)",913,877,,,21,8,,,,7
"De 15 a 29 años (024)",1349,793,,13,506,,1,7,,29
"Hombres (025)",524,408,,5,90,,1,4,,16
"Mujeres (026)",825,385,,8,416,,,3,,13
"De 30 a 44 años (027)",648,27,3,16,578,,1,1,,22
"Hombres (028)",124,15,1,9,81,,1,1,,16
"Mujeres (029)",524,12,2,7,497,,,,,6
"De 45 a 64 años (030)",601,5,41,21,510,1,2,2,,19
"Hombres (031)",145,1,28,12,90,1,1,1,,11
"Mujeres (032)",456,4,13,9,420,,1,1,,8
"De 65 y más años (033)",548,1,52,53,341,73,,1,,27
"Hombres (034)",206,1,32,35,87,37,,1,,13
"Mujeres (035)",342,,20,18,254,36,,,,14
,,,,,,,,,,
"AREA RURAL (036)",21919,9836,180,495,10530,332,3,85,,458
"Hombres (037)",8003,5274,138,401,1643,179,2,47,,319
"Mujeres (038)",13916,4562,42,94,8887,153,1,38,,139
"De 06 a 14 años (039)",8010,7665,,,197,57,,6,,85
"Hombres (040)",4068,3948,,,42,34,,4,,40
"Mujeres (041)",3942,3717,,,155,23,,2,,45
"De 15 a 29 años (042)",5164,2140,4,118,2742,,1,26,,133
"Hombres (043)",1922,1316,3,99,402,,1,14,,87
"Mujeres (044)",3242,824,1,19,2340,,,12,,46
"De 30 a 44 años (045)",3307,20,6,112,3049,,1,23,,96
"Hombres (046)",626,6,3,94,433,,,15,,75
"Mujeres (047)",2681,14,3,18,2616,,1,8,,21
"De 45 a 64 años (048)",3042,10,31,113,2792,5,,12,,79
"Hombres (049)",569,3,23,90,374,5,,8,,66
"Mujeres (050)",2473,7,8,23,2418,,,4,,13
"De 65 y más años (051)",2396,1,139,152,1750,270,1,18,,65
"Hombres (052)",818,1,109,118,392,140,1,6,,51
"Mujeres (053)",1578,,30,34,1358,130,,12,,14
