"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia JAEN (000)",64858,62288,19793,8795,7901,6141,7919,4924,3446,3369,2570,177317
"De 12 a 14 años (001)",7152,7097,7065,30,2,,,,,,55,34
"De 15 a 19 años (002)",9502,9228,7746,1242,212,19,9,,,,274,1759
"De 20 a 24 años (003)",8107,7240,2690,2671,1345,403,120,11,,,867,7144
"De 25 a 29 años (004)",7088,6497,870,1957,1917,1071,591,78,13,,591,12119
"De 30 a 34 años (005)",6401,6123,435,1183,1574,1297,1246,314,64,10,278,16266
"De 35 a 39 años (006)",6012,5845,274,663,1162,1167,1606,694,219,60,167,20444
"De 40 a 44 años (007)",5031,4915,209,347,701,870,1356,825,403,204,116,21278
"De 45 a 49 años (008)",4083,4017,145,238,439,542,1044,783,480,346,66,20360
"De 50 y más años (009)",11482,11326,359,464,549,772,1947,2219,2267,2749,156,77913
"Sin nivel (010)",8711,8449,635,435,498,552,1333,1550,1530,1916,262,54188
"De 12 a 14 años (011)",75,73,71,2,,,,,,,2,2
"De 15 a 19 años (012)",209,195,140,36,15,2,2,,,,14,80
"De 20 a 24 años (013)",306,271,78,61,69,35,24,4,,,35,429
"De 25 a 29 años (014)",360,329,40,51,75,75,68,15,5,,31,859
"De 30 a 34 años (015)",409,380,28,32,49,62,121,64,22,2,29,1456
"De 35 a 39 años (016)",637,608,44,45,55,70,160,142,66,26,29,2836
"De 40 a 44 años (017)",719,695,47,28,39,53,165,174,123,66,24,3906
"De 45 a 49 años (018)",720,704,39,28,32,34,124,167,140,140,16,4561
"De 50 y más años (019)",5276,5194,148,152,164,221,669,984,1174,1682,82,40059
"Educacion Inicial (020)",83,76,26,10,9,8,16,6,1,,7,166
"De 12 a 14 años (021)",8,8,8,,,,,,,,,
