"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia LEONCIO PRADO (000)",44205,36952,2788,1865,2600
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",64,2,9,11,42
"Profes., científicos e intelectuales (002)",2581,614,448,742,777
"Técnicos de nivel medio y trab. asimilados (003)",1351,755,208,123,265
"Jefes y empleados de oficina (004)",1139,351,183,177,428
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",5952,5350,380,136,86
"Agricult.trabaj.calif.agrop.y pesqueros (006)",12001,11771,224,6,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",2113,1726,282,88,17
"Obreros construc.,conf.,papel, fab., instr. (008)",3453,2901,254,189,109
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",13955,12646,716,334,259
"Otra (010)",573,,,,573
"Ocupación no especificada (011)",1023,836,84,59,44
"Hombres (012)",31965,27066,1914,1181,1804
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",46,2,6,7,31
"Profes., científicos e intelectuales (014)",1405,359,235,380,431
"Técnicos de nivel medio y trab. asimilados (015)",893,524,148,98,123
"Jefes y empleados de oficina (016)",575,141,81,87,266
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",2589,2210,223,93,63
"Agricult.trabaj.calif.agrop.y pesqueros (018)",11047,10852,191,4,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",1725,1421,229,60,15
"Obreros construc.,conf.,papel, fab., instr. (020)",3363,2842,238,177,106
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",9258,8314,522,242,180
"Otra (022)",556,,,,556
"Ocupación no especificada (023)",508,401,41,33,33
"Mujeres (024)",12240,9886,874,684,796
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",18,,3,4,11
"Profes., científicos e intelectuales (026)",1176,255,213,362,346
"Técnicos de nivel medio y trab. asimilados (027)",458,231,60,25,142
"Jefes y empleados de oficina (028)",564,210,102,90,162
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",3363,3140,157,43,23
"Agricult.trabaj.calif.agrop.y pesqueros (030)",954,919,33,2,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",388,305,53,28,2
"Obreros construc.,conf.,papel, fab., instr. (032)",90,59,16,12,3
