"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia ANGARAES (000)",51723,3323,8546,7942,5415,7666,5815,9773,3243
"Sin nivel (001)",11965,3323,1012,71,83,474,954,3821,2227
"Educación inicial (002)",1999,,1912,13,7,29,38,,
"Primaria (003)",23173,,5622,5890,1148,2717,2763,4176,857
"Secundaria (004)",11543,,,1968,3937,3149,1267,1114,108
"Superior no univ. incompleto (005)",673,,,,114,366,115,72,6
"Superior no univ. completo (006)",561,,,,,198,175,175,13
"Superior univ. incompleto (007)",714,,,,126,436,91,58,3
"Superior univ. completo (008)",1095,,,,,297,412,357,29
"Hombres (010)",25232,1694,4278,4071,2725,3686,2717,4659,1402
"Sin nivel (011)",4082,1694,502,29,28,84,174,899,672
"Educación inicial (012)",935,,904,5,4,11,11,,
"Primaria (013)",11599,,2872,2980,352,981,1265,2534,615
"Secundaria (014)",6820,,,1057,2201,1873,822,789,78
"Superior no univ. incompleto (015)",413,,,,67,228,69,44,5
"Superior no univ. completo (016)",312,,,,,102,93,107,10
"Superior univ. incompleto (017)",431,,,,73,258,56,43,1
"Superior univ. completo (018)",640,,,,,149,227,243,21
"Mujeres (020)",26491,1629,4268,3871,2690,3980,3098,5114,1841
"Sin nivel (021)",7883,1629,510,42,55,390,780,2922,1555
"Educación inicial (022)",1064,,1008,8,3,18,27,,
"Primaria (023)",11574,,2750,2910,796,1736,1498,1642,242
"Secundaria (024)",4723,,,911,1736,1276,445,325,30
"Superior no univ. incompleto (025)",260,,,,47,138,46,28,1
"Superior no univ. completo (026)",249,,,,,96,82,68,3
"Superior univ. incompleto (027)",283,,,,53,178,35,15,2
"Superior univ. completo (028)",455,,,,,148,185,114,8
,,,,,,,,,
"URBANA (030)",15144,772,2050,2166,1640,2407,1979,3180,950
"Sin nivel (031)",2352,772,124,22,11,60,144,731,488
"Educación inicial (032)",510,,489,2,4,5,10,,
"Primaria (033)",5769,,1437,1391,198,472,648,1276,347
"Secundaria (034)",4190,,,751,1255,975,524,613,72
"Superior no univ. incompleto (035)",400,,,,71,184,84,56,5
"Superior no univ. completo (036)",442,,,,,142,146,143,11
