"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUAYTARA (000)",8037,7827,1980,882,834,768,1204,905,701,553,210,28129
"De 12 a 14 años (001)",686,683,679,3,1,,,,,,3,5
"De 15 a 19 años (002)",869,852,725,110,15,1,1,,,,17,147
"De 20 a 24 años (003)",786,725,216,274,165,50,14,6,,,61,852
"De 25 a 29 años (004)",663,616,84,165,167,109,81,8,2,,47,1236
"De 30 a 34 años (005)",687,660,53,80,120,156,182,58,11,,27,2049
"De 35 a 39 años (006)",648,629,23,60,103,115,187,96,33,12,19,2455
"De 40 a 44 años (007)",584,572,29,33,67,84,141,97,93,28,12,2751
"De 45 a 49 años (008)",526,520,22,30,50,55,112,102,91,58,6,2859
"De 50 y más años (009)",2588,2570,149,127,146,198,486,538,471,455,18,15775
"Conviviente (010)",1764,1708,126,383,344,262,320,153,81,39,56,5343
"De 12 a 14 años (011)",8,5,3,1,1,,,,,,3,3
"De 15 a 19 años (012)",123,108,39,57,11,,1,,,,15,83
"De 20 a 24 años (013)",354,341,33,164,99,34,8,3,,,13,516
"De 25 a 29 años (014)",310,303,9,90,105,56,40,3,,,7,657
"De 30 a 34 años (015)",303,296,9,31,58,74,93,27,4,,7,982
"De 35 a 39 años (016)",220,216,8,17,35,46,62,35,13,,4,825
"De 40 a 44 años (017)",152,147,6,8,17,23,42,28,19,4,5,675
"De 45 a 49 años (018)",82,81,1,4,4,11,24,15,14,8,1,452
"De 50 y más años (019)",212,211,18,11,14,18,50,42,31,27,1,1150
"Separado(a) (020)",335,333,12,103,71,44,57,26,18,2,2,969
"De 15 a 19 años (022)",13,13,1,10,1,1,,,,,,15
"De 20 a 24 años (023)",55,54,,33,15,4,1,1,,,1,87
"De 25 a 29 años (024)",41,40,1,18,15,4,1,1,,,1,70
