"CUADRO Nº 18: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CELENDIN (000)",23527,2755,3354,13468,334,2923,693
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",54,51,,,3,,
"Profes., científicos e intelectuales (002)",1780,1624,,145,2,9,
"Técnicos de nivel medio y trab. asimilados (003)",304,178,,104,14,7,1
"Jefes y empleados de oficina (004)",300,298,,1,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1480,190,7,1087,19,177,
"Agricult.trabaj. calif.agrop. y pesqueros (006)",9933,,,9701,232,,
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",1365,,230,1005,22,108,
"Obreros construc.,conf., papel, fab., instr. (008)",1119,92,311,675,22,19,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (009)",6387,203,2652,353,2,2485,692
"Otra (010)",29,29,,,,,
"Ocupación no especificada (011)",776,90,154,397,18,117,
"Hombres (012)",17894,1453,2873,11013,287,2242,26
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",45,43,,,2,,
"Profes., científicos e intelectuales (014)",889,806,,74,2,7,
"Técnicos de nivel medio y trab. asimilados (015)",202,110,,77,10,5,
"Jefes y empleados de oficina (016)",157,156,,1,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",545,74,4,430,9,28,
"Agricult.trabaj. calif.agrop. y pesqueros (018)",9586,,,9366,220,,
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",561,,151,369,16,25,
"Obreros construc.,conf., papel, fab., instr. (020)",827,89,300,406,21,11,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (021)",4751,100,2310,172,1,2142,26
"Otra (022)",28,28,,,,,
"Ocupación no especificada (023)",303,47,108,118,6,24,
"Mujeres (024)",5633,1302,481,2455,47,681,667
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",9,8,,,1,,
"Profes., científicos e intelectuales (026)",891,818,,71,,2,
"Técnicos de nivel medio y trab. asimilados (027)",102,68,,27,4,2,1
"Jefes y empleados de oficina (028)",143,142,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",935,116,3,657,10,149,
"Agricult.trabaj. calif.agrop. y pesqueros (030)",347,,,335,12,,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",804,,79,636,6,83,
"Obreros construc.,conf., papel, fab., instr. (032)",292,3,11,269,1,8,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (033)",1636,103,342,181,1,343,666
"Otra (034)",1,1,,,,,
"Ocupación no especificada (035)",473,43,46,279,12,93,
,,,,,,,
"URBANA (036)",7112,2285,906,3134,84,390,313
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",40,37,,,3,,
"Profes., científicos e intelectuales (038)",1494,1367,,121,2,4,
"Técnicos de nivel medio y trab. asimilados (039)",249,138,,92,12,6,1
"Jefes y empleados de oficina (040)",272,270,,1,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",1152,160,4,833,13,142,
"Agricult.trabaj. calif.agrop. y pesqueros (042)",886,,,873,13,,
"Obreros y oper.minas, cant., ind.manuf.y otros (043)",668,,130,493,16,29,
"Obreros construc.,conf., papel, fab., instr. (044)",702,80,228,374,15,5,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (045)",1409,153,516,247,2,179,312
"Otra (046)",28,28,,,,,
"Ocupación no especificada (047)",212,52,28,100,8,24,
"Hombres (048)",4303,1174,805,2042,59,215,8
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",32,30,,,2,,
"Profes., científicos e intelectuales (050)",733,659,,69,2,3,
"Técnicos de nivel medio y trab. asimilados (051)",165,85,,68,8,4,
"Jefes y empleados de oficina (052)",136,135,,1,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",438,64,3,344,6,21,
"Agricult.trabaj. calif.agrop. y pesqueros (054)",837,,,827,10,,
"Obreros y oper.minas, cant., ind.manuf.y otros (055)",417,,100,284,13,20,
"Obreros construc.,conf., papel, fab., instr. (056)",637,77,222,319,14,5,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (057)",786,70,456,99,1,152,8
"Otra (058)",27,27,,,,,
"Ocupación no especificada (059)",95,27,24,31,3,10,
"Mujeres (060)",2809,1111,101,1092,25,175,305
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",8,7,,,1,,
"Profes., científicos e intelectuales (062)",761,708,,52,,1,
"Técnicos de nivel medio y trab. asimilados (063)",84,53,,24,4,2,1
"Jefes y empleados de oficina (064)",136,135,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",714,96,1,489,7,121,
"Agricult.trabaj. calif.agrop. y pesqueros (066)",49,,,46,3,,
"Obreros y oper.minas, cant., ind.manuf.y otros (067)",251,,30,209,3,9,
"Obreros construc.,conf., papel, fab., instr. (068)",65,3,6,55,1,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (069)",623,83,60,148,1,27,304
"Otra (070)",1,1,,,,,
"Ocupación no especificada (071)",117,25,4,69,5,14,
,,,,,,,
"RURAL (072)",16415,470,2448,10334,250,2533,380
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",14,14,,,,,
"Profes., científicos e intelectuales (074)",286,257,,24,,5,
"Técnicos de nivel medio y trab. asimilados (075)",55,40,,12,2,1,
"Jefes y empleados de oficina (076)",28,28,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",328,30,3,254,6,35,
"Agricult.trabaj. calif.agrop. y pesqueros (078)",9047,,,8828,219,,
"Obreros y oper.minas, cant., ind.manuf.y otros (079)",697,,100,512,6,79,
"Obreros construc.,conf., papel, fab., instr. (080)",417,12,83,301,7,14,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (081)",4978,50,2136,106,,2306,380
"Otra (082)",1,1,,,,,
"Ocupación no especificada (083)",564,38,126,297,10,93,
"Hombres (084)",13591,279,2068,8971,228,2027,18
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",13,13,,,,,
"Profes., científicos e intelectuales (086)",156,147,,5,,4,
"Técnicos de nivel medio y trab. asimilados (087)",37,25,,9,2,1,
"Jefes y empleados de oficina (088)",21,21,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",107,10,1,86,3,7,
"Agricult.trabaj. calif.agrop. y pesqueros (090)",8749,,,8539,210,,
"Obreros y oper.minas, cant., ind.manuf.y otros (091)",144,,51,85,3,5,
"Obreros construc.,conf., papel, fab., instr. (092)",190,12,78,87,7,6,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (093)",3965,30,1854,73,,1990,18
"Otra (094)",1,1,,,,,
"Ocupación no especificada (095)",208,20,84,87,3,14,
"Mujeres (096)",2824,191,380,1363,22,506,362
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (097)",1,1,,,,,
"Profes., científicos e intelectuales (098)",130,110,,19,,1,
